year,sans_ADP être_VERB,sans_ADP etre_VERB,sans_ADP naître_VERB
1800,3.1089498520486814e-05,7.231578535993322e-08,3.144164484325529e-09
1801,3.130540875417864e-05,1.0000967165524344e-07,0.0
1802,2.898898191006083e-05,5.818384352096473e-08,0.0
1803,3.060862366055517e-05,5.070881914370773e-08,1.5602713787643552e-08
1804,3.37902013711755e-05,4.943701981119375e-08,0.0
1805,3.0475649225536472e-05,5.970043304159844e-08,1.421438877713399e-08
1806,3.330344827645604e-05,7.492339815229343e-08,3.7461699520235925e-08
1807,3.256916738791915e-05,6.263301344233696e-08,0.0
1808,3.1691043432147126e-05,5.6651849433819734e-08,6.798221985349073e-09
1809,3.12085068117085e-05,7.228897658251299e-08,0.0
1810,3.454962973137299e-05,7.254392642153107e-08,2.3401267590372754e-09
1811,2.8319939588072884e-05,4.011322829455821e-08,2.5070767684098882e-09
1812,3.373751553681359e-05,3.467370524035118e-08,2.6672082320544632e-09
1813,3.40401534231205e-05,2.8757416004054903e-08,0.0
1814,3.0239566967793508e-05,7.237357690925705e-08,0.0
1815,2.6637779171778675e-05,3.236668266737297e-08,1.8880564667256294e-08
1816,3.002455787282088e-05,3.9399267848239106e-08,0.0
1817,3.1160821208686684e-05,3.736496234640896e-08,4.670620334934483e-09
1818,3.2106116691466013e-05,3.5763533023924765e-08,3.5763532135746345e-09
1819,2.9891762835632107e-05,3.9333990287104825e-08,8.280840013696888e-09
1820,2.984182674481417e-05,2.7292905713238724e-08,5.933240565525466e-09
1821,3.0065705345805327e-05,2.859831660373402e-08,1.97229765852569e-09
1822,2.9370041374932043e-05,3.107940926838637e-08,3.0076847679083585e-09
1823,2.8466090725487447e-05,2.9648061450338048e-08,2.9648061783404955e-09
1824,2.785367234992009e-05,2.863178316658832e-08,3.3684450784221553e-09
1825,2.8868644676549593e-05,2.377469665582055e-08,3.522177216552791e-09
1826,2.8738692151364376e-05,2.0258363653269384e-08,8.807984341885344e-10
1827,2.9172669314903033e-05,1.935627425009301e-08,0.0
1828,2.8247936597836087e-05,2.109629271274116e-08,9.172301251858528e-10
1829,3.001811950298361e-05,3.0863434308248117e-08,0.0
1830,2.9919276869350142e-05,4.174734447026651e-08,3.1310507520032616e-09
1831,2.751536084133477e-05,4.521449681327283e-08,1.5591206103948707e-09
1832,2.7326479084877064e-05,2.4353944638733083e-08,0.0
1833,2.8421591196092777e-05,2.89590715851773e-08,3.4750886612755494e-09
1834,2.7299769044475397e-05,6.347480763224667e-08,0.0
1835,2.7607539720975183e-05,6.277362984974388e-08,6.050470346963266e-09
1836,2.5935374765140295e-05,6.922372575157709e-08,8.064899859050456e-09
1837,2.647894910978721e-05,5.775049638501173e-08,6.957890930081589e-10
1838,2.5838834176283854e-05,4.355391669541575e-08,1.009945904684173e-08
1839,2.5722335578848288e-05,5.2436064379435265e-08,6.9914751765765e-10
1840,2.696926088674445e-05,7.00665750974494e-08,3.1848443882154243e-09
1841,2.6223446923268057e-05,3.980739915476761e-08,1.926164561183441e-09
1842,2.6059596905270155e-05,4.427454936006825e-08,1.0062397137744483e-08
1843,2.5089605401262816e-05,5.906910982567126e-08,1.2995204023980023e-08
1844,2.5825327725215175e-05,5.653218076995259e-08,7.1351298203126134e-09
1845,2.5710900956710248e-05,5.1896120289995906e-08,1.0044410636567136e-08
1846,2.5846452047062485e-05,3.6883358811579114e-08,6.439951683034906e-09
1847,2.4781863260159298e-05,6.74152982327314e-08,1.0786447290911383e-08
1848,2.4084980793759314e-05,7.321151990202779e-08,1.6090443422100975e-09
1849,2.3489176612656593e-05,5.6142081650278897e-08,0.0
1850,2.4295100672588887e-05,4.412847509627227e-08,5.431196825611551e-09
1851,2.4024159586133464e-05,5.933483526732175e-08,1.2898877521649865e-09
1852,2.5010261197166983e-05,5.2735416478100205e-08,6.510545436100301e-09
1853,2.487011022367369e-05,3.4040013030534055e-08,4.180352064508952e-09
1854,2.4610823572857043e-05,7.585670369625319e-08,5.195664454227256e-10
1855,2.478551925833017e-05,4.8823821430232783e-08,1.5920811335945473e-09
1856,2.454557164810467e-05,5.228960953118644e-08,1.0872097000458325e-08
1857,2.5122687247858266e-05,4.490988247951577e-08,6.345961978126979e-09
1858,2.4839810521370964e-05,6.019221648889683e-08,4.893676130990343e-09
1859,2.5548452185830683e-05,4.43019092521979e-08,1.018434669930457e-08
1860,2.549674604779284e-05,5.0806743034925717e-08,1.0985241161165504e-08
1861,2.522050306197343e-05,4.433005740267504e-08,3.772770984511453e-09
1862,2.439577122004266e-05,4.9697849835439456e-08,9.035972858839614e-09
1863,2.3580603738082573e-05,5.8437064076599654e-08,2.9967726078439227e-09
1864,2.3536360913567478e-05,4.7467805242007444e-08,4.315255153208852e-09
1865,2.3919711907183228e-05,4.942186754286482e-08,6.589582213223366e-09
1866,2.4028828647715272e-05,4.2330832616954694e-08,4.379051787850585e-09
1867,2.3200805912892974e-05,4.998395830568825e-08,3.88224918879132e-09
1868,2.302080110894167e-05,5.384462853363914e-08,3.951899141263482e-09
1869,2.401714766619989e-05,8.399652717816508e-08,9.767038289254515e-10
1870,2.4071537382042152e-05,6.192772739055386e-08,4.013834153937523e-09
1871,2.256256652799493e-05,4.24847077518109e-08,1.3807530230280918e-08
1872,2.3104463934942032e-05,7.801067691826091e-08,1.8142017887967654e-09
1873,2.3174815851234598e-05,4.609223291929254e-08,7.183205141814142e-09
1874,2.2610908104070404e-05,2.7483201825440062e-08,2.3898436563030145e-09
1875,2.3042305429044063e-05,4.863297919932563e-08,9.726596139625343e-09
1876,2.2398670807888266e-05,2.9020870595530823e-08,6.04601479992084e-10
1877,2.1838584984834597e-05,3.525345027011184e-08,1.2369631985365004e-09
1878,2.2060186211092514e-05,4.710489037718091e-08,2.4156354694326865e-09
1879,2.241572519778856e-05,6.048232215061233e-08,6.10932526790009e-10
1880,2.189704991906183e-05,4.043243251317108e-08,3.8507077526617195e-09
1881,2.072298900657188e-05,3.5559789779426865e-08,6.972507571312292e-10
1882,2.1341823753573408e-05,3.593907904608784e-08,3.9932310791357395e-09
1883,2.107183604493912e-05,3.602023268545196e-08,6.319338941018771e-10
1884,2.1299714944689185e-05,3.4328825115892414e-08,1.9805090900604227e-09
1885,2.0299885818531038e-05,5.5432465728699754e-08,1.933690763067375e-09
