year,les_DET airs_NOUN,les_DET nerfs_NOUN
1800,1.3324968762162825e-05,1.1768607805606734e-05
1801,9.998585923653991e-06,1.1427294907662144e-05
1802,9.871112979453756e-06,1.2914575449940457e-05
1803,1.2858586558195384e-05,1.1760545589822868e-05
1804,1.5327947807008968e-05,1.2245549555700563e-05
1805,1.2190259582212093e-05,2.0772907646460226e-05
1806,1.3604359764940455e-05,1.0693873946365784e-05
1807,9.542993836930691e-06,5.884656332000304e-06
1808,1.1763189775138017e-05,6.17505151012665e-06
1809,9.46985633731856e-06,6.08356899078899e-06
1810,1.557588387868236e-05,6.259839267386269e-06
1811,1.0391833313860843e-05,4.733360924547014e-06
1812,1.0028703343323286e-05,1.49710401728953e-05
1813,1.183942828220097e-05,1.1905569976988772e-05
1814,1.101022309057953e-05,6.840875926172885e-06
1815,8.515134723552364e-06,1.5266285572579363e-05
1816,7.467319932175087e-06,8.804577419141424e-06
1817,9.496927731333926e-06,6.613598088733852e-06
1818,1.0029286769963619e-05,9.829010764406121e-06
1819,9.241417828320664e-06,7.87921942446701e-06
1820,1.0386730480149708e-05,7.02495691484728e-06
1821,9.884169799079245e-06,8.943383306814212e-06
1822,9.61155804191094e-06,6.581816961670484e-06
1823,8.369647432004967e-06,8.167052214957948e-06
1824,9.600068523241134e-06,1.0208915284692921e-05
1825,1.0828053007116978e-05,1.1005923511220317e-05
1826,9.133879913747478e-06,6.4139740629798325e-06
1827,6.846590473230663e-06,7.208829401861294e-06
1828,7.461666939434508e-06,9.108095468945976e-06
1829,8.055356147451675e-06,7.928473394258617e-06
1830,9.430724787762301e-06,7.825539512396062e-06
1831,8.018557679179139e-06,7.200018899311544e-06
1832,9.112434710800699e-06,7.3954811909970886e-06
1833,1.0465808713888691e-05,7.0868637180865335e-06
1834,8.686714238592685e-06,8.580300914218242e-06
1835,8.70738324465492e-06,7.119890938156459e-06
1836,8.332386045140083e-06,7.46339281931796e-06
1837,7.959827073023007e-06,1.198357563225727e-05
1838,7.293702950050829e-06,8.556766658784909e-06
1839,7.055097526631471e-06,8.28280059295139e-06
1840,6.677344650540817e-06,9.344333534500038e-06
1841,7.537724059147877e-06,8.010276133063599e-06
1842,6.920917101638224e-06,8.300136244088208e-06
1843,7.585655282582593e-06,1.0406795468043128e-05
1844,7.089025793050041e-06,7.517682490743027e-06
1845,6.053989366705537e-06,9.653236475060112e-06
1846,5.999107713705598e-06,5.992667468035506e-06
1847,5.701716169426163e-06,5.576054093126004e-06
1848,6.272859550904286e-06,5.162618890608428e-06
1849,6.230932918072085e-06,4.949720562308357e-06
1850,6.899656739278726e-06,6.252665173178684e-06
1851,6.306261127519974e-06,8.931827437663742e-06
1852,6.749482395207451e-06,7.491684698379686e-06
1853,6.968049916622476e-06,7.289937229870702e-06
1854,6.6852613400669725e-06,5.761472550602775e-06
1855,7.634559651137351e-06,7.322511805796239e-06
1856,6.480805353703545e-06,6.919313477737887e-06
1857,7.01619282494903e-06,6.679368709683331e-06
1858,6.3020758886978e-06,9.497157464011252e-06
1859,6.959473168421937e-06,6.776664292829082e-06
1860,7.022773090170631e-06,8.171188767391868e-06
1861,7.099411860167493e-06,6.779197804007708e-06
1862,6.448973493888843e-06,7.226970751617046e-06
1863,6.414591609882336e-06,4.809819984075148e-06
1864,6.506445842546782e-06,5.996286688514374e-06
1865,5.8444885695507764e-06,6.64512276671303e-06
1866,5.933615113917767e-06,1.02927170928524e-05
1867,6.235862642256507e-06,8.037711438646511e-06
1868,5.725807923795401e-06,9.593235404281586e-06
1869,5.786481651171016e-06,9.460353453505377e-06
1870,6.216282130822037e-06,8.746717924168479e-06
1871,5.228805733281661e-06,1.1457063919806387e-05
1872,5.312587347816589e-06,1.000048530386266e-05
1873,4.743908711191125e-06,1.0462338195793564e-05
1874,5.086184728497756e-06,1.1314715038679424e-05
1875,5.059546225538725e-06,9.716869271869655e-06
1876,5.622189149789847e-06,9.459595162297774e-06
1877,5.453770590690965e-06,1.0504909937480988e-05
1878,5.661645488430622e-06,1.0078030925342318e-05
1879,4.9705468612160075e-06,8.29402011959246e-06
1880,5.092560776631672e-06,7.87854827422052e-06
1881,4.6862222120580554e-06,7.825245120329782e-06
1882,4.654776411427974e-06,8.064329961143812e-06
1883,4.673151266842979e-06,7.68115626215149e-06
1884,4.776327870104069e-06,8.235617144691787e-06
1885,4.115538224880311e-06,7.213955370843905e-06
1886,4.749103958090473e-06,7.859028357870557e-06
1887,4.286238905137907e-06,8.690651611686917e-06
1888,4.136617135941378e-06,6.541612378896389e-06
1889,4.393740184127637e-06,7.302016911125975e-06
1890,3.71699246670687e-06,6.408878846286825e-06
1891,3.5829491729089114e-06,6.023000594268524e-06
