year,nouveaux_ADJ airs_NOUN,nouveaux_ADJ nerfs_NOUN
1800,3.144164395507687e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,1.2359254952798437e-08,1.9774807569206132e-08
1805,3.1271653710973624e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,2.8469550272802735e-08,2.8469551160981155e-09
1808,7.478044494746428e-08,2.039466551195801e-08
1809,9.036122072814123e-09,0.0
1810,4.212228077449254e-08,1.6380887757350138e-08
1811,1.2535384286138651e-08,0.0
1812,1.600324850414836e-08,0.0
1813,7.476928232108548e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,3.814776761146277e-08,1.3113295338484932e-08
1819,5.900098543065724e-08,5.175524897538253e-09
1820,2.7292905713238724e-08,7.119888678630559e-09
1821,2.5639868894700157e-08,0.0
1822,3.5089655625597516e-08,0.0
1823,2.3718449426723964e-08,3.9530747564242574e-09
1824,2.7789671008804362e-08,1.6842225392110777e-09
1825,2.0252519661312363e-08,1.3208164340028361e-08
1826,2.554315514657901e-08,5.284790383086602e-09
1827,1.8434546333878643e-08,3.6869092223668076e-09
1828,2.4765213879618386e-08,0.0
1829,2.6576845613135447e-08,0.0
1830,5.427154770032416e-08,2.0873671680021744e-09
1831,1.870944643656003e-08,0.0
1832,4.058990921151917e-09,0.0
1833,4.170106393530659e-08,4.6334514003376626e-09
1834,2.240287511057204e-08,1.8669061851994684e-09
1835,2.117664621437143e-08,3.025235173481633e-09
1836,1.747394939854985e-08,5.376600054063374e-09
1837,6.262101948095733e-09,2.7831563720326358e-09
1838,1.2624323808552163e-08,1.8936485712828244e-09
1839,1.3982949909063791e-08,0.0
1840,2.993753511759678e-08,4.458782232319436e-09
1841,1.9903700021473014e-08,1.2841097074556274e-09
1842,9.391571076378114e-09,3.3541325272778977e-09
1843,1.4176587015413133e-08,5.906910960362666e-09
