year,aurez_VERB ôté_VERB,aurez_VERB noté_VERB
1800,1.8864987794131594e-08,0.0
1801,4.524246932646747e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,2.842877711017877e-09,0.0
1806,1.729001475325731e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,2.039466551195801e-08,0.0
1809,2.710836710662079e-08,0.0
1810,1.8721014072298203e-08,7.020380277111826e-09
1811,1.504245972228091e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,5.463909147351842e-08,0.0
1814,9.44003133440674e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,7.879853569647821e-08,0.0
1817,5.1376822796100896e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,1.6561680027393777e-08,0.0
1820,4.390598107306687e-08,0.0
1821,1.577838126820552e-08,0.0
1822,6.015369535816717e-09,0.0
1823,1.3835761869529506e-08,0.0
1824,2.0210670470532932e-08,0.0
1825,1.0566531649658373e-08,0.0
1826,1.3211976401805714e-08,0.0
1827,1.566936447261469e-08,0.0
1828,2.0179061976932644e-08,0.0
1829,1.8860987438529264e-08,0.0
1830,2.2961039292113128e-08,0.0
1831,1.5591206548037917e-08,0.0
1832,2.705993873419743e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,2.14694217959277e-08,0.0
1835,1.0588323107185715e-08,0.0
1836,2.419469957715137e-08,1.3441500135158435e-09
1837,1.1828414692161004e-08,5.5663127440652715e-09
1838,4.418513555037862e-09,0.0
1839,3.635567225046543e-08,6.9914751765765e-10
1840,1.8472096741106725e-08,0.0
1841,1.1556987367100646e-08,0.0
1842,1.408735705865638e-08,1.341653010911159e-09
1843,1.0041748765843295e-08,0.0
1844,1.2074834465636286e-08,0.0
1845,1.0044410636567136e-08,0.0
1846,1.1123552745573306e-08,5.854501328173001e-10
1847,1.1325769655456952e-08,0.0
1848,5.63165514222419e-09,0.0
1849,2.8490010350878947e-08,0.0
1850,7.467895635215882e-09,0.0
1851,1.805842941848823e-08,0.0
1852,1.7578472011337e-08,0.0
1853,1.3735443005202796e-08,0.0
1854,1.1950028522278444e-08,0.0
