year,petits_ADJ oeufs_NOUN,petits_ADJ noeuds_NOUN
1800,4.7162465932615305e-08,3.144164484325529e-09
1801,5.2386017301842e-08,1.1905912700171939e-08
1802,2.9091921760482364e-08,1.3427040812530322e-08
1803,4.095712213825209e-08,1.3652374342143503e-08
1804,2.7190360185613827e-08,7.4155526164076946e-09
1805,1.421438877713399e-08,1.1371510844071508e-08
1806,2.881669125542885e-08,2.0171682990621775e-08
1807,3.4163463169534225e-08,2.8469551160981155e-09
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,7.020380277111826e-09
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,5.394447111228828e-09
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,0.0
1818,2.1458118837358597e-08,1.1921177378582115e-09
1819,1.449147024601416e-08,3.1053151161586356e-09
1820,4.746592452420373e-09,0.0
1821,2.9584463767662328e-09,9.86148829262845e-10
1822,7.017931125119503e-09,6.015369535816717e-09
1823,9.882686891060644e-10,0.0
1824,6.736890156844311e-09,0.0
1825,3.522177216552791e-09,0.0
1826,1.4973572604048968e-08,0.0
1827,1.8434546111834038e-09,0.0
1828,4.586150570418113e-09,9.172301251858528e-10
1829,5.143905745796928e-09,1.714635211591542e-09
1830,4.174734336004349e-09,0.0
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,5.791814139399776e-09,1.1583628500844156e-09
1834,2.8003592777992026e-09,0.0
1835,7.563087933704082e-10,0.0
1836,1.3441500135158435e-09,0.0
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,6.312161904276081e-10,6.312161904276081e-10
1839,4.194885327990505e-09,0.0
1840,0.0,0.0
1841,1.926164561183441e-09,0.0
1842,5.366612043644636e-09,0.0
1843,5.31621990873532e-09,0.0
1844,2.7442805805577564e-09,0.0
1845,2.7901139176833567e-09,1.674068439427856e-09
1846,5.854501328173001e-10,0.0
1847,2.6966118227278457e-09,5.393223645455691e-10
1848,0.0,0.0
1849,1.6758829879393033e-09,0.0
1850,2.7155984128057753e-09,1.3577992064028876e-09
1851,3.2247193804124663e-09,0.0
1852,5.208436348880241e-09,6.510545436100301e-10
1853,4.180352064508952e-09,3.0456853039595444e-08
1854,1.558699391779328e-09,5.195664454227256e-10
1855,0.0,5.306937111981824e-10
1856,1.5531567143511893e-09,5.177189232874468e-10
1857,0.0,0.0
1858,9.787352039936081e-10,0.0
1859,2.036869339860914e-09,5.092173349652285e-10
1860,4.577183909670879e-10,7.094634923987542e-08
1861,1.4147891747029462e-09,0.0
1862,0.0,4.517986262886353e-10
1863,9.989241656072068e-10,0.0
