year,trois_DET oies_NOUN,trois_DET noix_NOUN
1800,1.2576657937302116e-08,5.345079490126636e-08
1801,3.333655484993869e-08,3.333655707038474e-08
1802,3.5805442166747525e-08,5.370816325012129e-08
1803,5.655983681407406e-08,3.315576790896557e-08
1804,3.213406074564773e-08,1.2359254952798437e-08
1805,3.127165526528586e-08,4.264316544322355e-08
1806,8.645007376628655e-09,3.1698361269150155e-08
1807,0.0,1.1387820464392462e-08
1808,4.5321479902327155e-09,5.891792342893609e-08
1809,1.129515236897305e-08,2.259030518203531e-09
1810,3.042164919975221e-08,2.3401267590372754e-09
1811,0.0,2.5070767684098882e-09
1812,3.467370746079723e-08,2.6672082320544632e-09
1813,3.163315653864629e-08,2.0130190847567064e-08
1814,3.1466771410748606e-09,1.8880061958270744e-08
1815,0.0,3.236668177919455e-08
1816,6.952811659743929e-09,0.0
1817,2.490997452753163e-08,5.4490570278176165e-08
1818,5.960588467246453e-09,1.3113295338484932e-08
1819,4.140420006848444e-09,2.070210003424222e-09
1820,8.306536791735653e-09,2.610625848831205e-08
1821,8.875339574387908e-09,7.88919063410276e-09
1822,1.804610860745015e-08,1.0025615893027862e-09
1823,1.9765373782121287e-09,3.261286707356703e-08
1824,3.3684450784221553e-09,1.0105335235266466e-08
1825,1.7610886082763955e-09,8.805443485471187e-09
1826,0.0,6.1655889282974385e-09
1827,0.0,1.8434546111834038e-09
1828,9.172301140836225e-09,2.7516904310687096e-09
1829,1.2002446148073886e-08,5.143905745796928e-09
1830,0.0,1.3567886369969528e-08
1831,7.795603274018958e-09,4.677361609140007e-09
1832,0.0,0.0
1833,6.950177322551099e-09,1.2741991461950875e-08
1834,6.534171426153534e-09,6.534171426153534e-09
1835,7.563087933704082e-09,1.0588323107185715e-08
1836,0.0,1.2097349788575684e-08
1837,4.174734336004349e-09,7.653680356156656e-09
1838,2.5248647617104325e-09,1.2624323808552163e-09
1839,0.0,6.991475065554198e-09
1840,5.7327197988676915e-09,5.732719965401145e-09
1841,6.420548537278137e-10,1.2841097074556274e-08
1842,0.0,2.683306021822318e-09
1843,1.7720733769266417e-09,9.451057714215949e-09
1844,1.811225169845443e-08,1.6465683927435748e-08
1845,6.138250796539069e-09,3.9061593959388574e-09
1846,5.854501328173001e-10,5.269050973311096e-09
1847,8.089835468183537e-09,1.6179670936367074e-09
1848,0.0,8.045221711050488e-10
1849,8.379414495607307e-09,1.6758828991214614e-08
1850,1.0183494048021657e-08,1.0862393651223101e-08
1851,8.384270167027807e-09,7.739326512989919e-09
1852,3.2552727180501506e-09,7.161600201754936e-09
1853,1.7915795513800958e-09,3.5831591027601917e-09
1854,3.1173986725363534e-09,9.871762796098693e-09
1855,1.5920811335945473e-08,1.4328730202350926e-08
1856,3.624032518523279e-09,8.801221973442352e-09
1857,3.905207268672939e-09,3.905207268672939e-09
