year,devions_VERB être_VERB,devions_VERB etre_VERB,devions_VERB naître_VERB
1800,2.0751485863002017e-07,0.0,0.0
1801,1.7620750725200196e-07,0.0,0.0
1802,1.096541666356643e-07,0.0,0.0
1803,1.1311967540450496e-07,0.0,0.0
1804,1.7550141251376772e-07,0.0,0.0
1805,1.8762992226584174e-07,0.0,2.842877711017877e-09
1806,2.0748018414451508e-07,0.0,0.0
1807,1.1672516109229036e-07,0.0,0.0
1808,1.6315732409566408e-07,0.0,0.0
1809,1.1069249694628525e-07,0.0,0.0
1810,1.6848912309797015e-07,0.0,0.0
1811,1.1031137603367824e-07,0.0,0.0
1812,1.2002436733382638e-07,0.0,0.0
1813,1.6966875193702435e-07,0.0,0.0
1814,1.5733385794192145e-07,0.0,0.0
1815,1.6992508733437717e-07,0.0,0.0
1816,2.8274766350477876e-07,2.3176038865813098e-09,0.0
1817,1.5257359109455138e-07,0.0,1.556873407970727e-09
1818,2.419999134417594e-07,0.0,0.0
1819,1.676870056144253e-07,0.0,0.0
1820,1.6494408328071586e-07,2.3732962262101864e-09,0.0
1821,2.889416066409467e-07,0.0,0.0
1822,2.0652768739637395e-07,0.0,0.0
1823,3.9530746676064155e-07,0.0,2.9648061783404955e-09
1824,2.517912776056619e-07,0.0,0.0
1825,2.3158315798355034e-07,0.0,0.0
1826,2.7216671583119023e-07,1.7615968683770689e-09,0.0
1827,2.774399092686508e-07,0.0,9.217273055917019e-10
1828,1.6877034170192928e-07,0.0,0.0
1829,2.0575622272644978e-07,0.0,0.0
1830,2.066493465235908e-07,0.0,0.0
1831,1.855353559676587e-07,0.0,0.0
1832,1.4477066656581883e-07,0.0,0.0
1833,2.3630602186131e-07,0.0,0.0
1834,2.1656111925949517e-07,0.0,0.0
1835,1.9058981592934288e-07,0.0,0.0
1836,2.2984964687111642e-07,0.0,0.0
1837,2.470051185810007e-07,6.957890930081589e-10,0.0
1838,1.8305269122720347e-07,0.0,0.0
1839,1.8876983176596696e-07,0.0,0.0
1840,1.9300156850476924e-07,0.0,0.0
1841,1.842697372467228e-07,0.0,0.0
1842,1.9990629596122744e-07,1.341653010911159e-09,0.0
1843,1.9670014239636657e-07,0.0,0.0
1844,2.2228672946766892e-07,5.488561272137815e-10,0.0
1845,1.964240254892502e-07,5.580227946389016e-10,0.0
1846,2.0080939577837853e-07,0.0,0.0
1847,1.7420111930732673e-07,1.0786447290911383e-09,0.0
1848,1.946943655184441e-07,0.0,0.0
1849,1.8267124346493802e-07,0.0,8.379414939696517e-10
1850,1.792294881397538e-07,0.0,0.0
