year,mais_CONJ être_VERB,mais_CONJ etre_VERB,mais_CONJ naître_VERB
1800,3.112722897213871e-07,0.0,0.0
1801,2.143064286030949e-07,0.0,0.0
1802,2.506380951672327e-07,0.0,0.0
1803,3.0035225329072546e-07,0.0,0.0
1804,3.336998659619894e-07,0.0,0.0
1805,3.468310882936976e-07,0.0,2.842877711017877e-09
1806,2.679952331163804e-07,0.0,0.0
1807,3.6156329841219303e-07,2.8469551160981155e-09,0.0
1808,3.0591998267937015e-07,0.0,0.0
1809,2.371982112947535e-07,0.0,0.0
1810,3.6739990605383355e-07,0.0,2.3401267590372754e-09
1811,2.206227485146428e-07,0.0,0.0
1812,1.9737340295478134e-07,0.0,5.3344164641089264e-09
1813,2.559410070546164e-07,0.0,0.0
1814,2.3600078868923902e-07,0.0,3.1466771410748606e-09
1815,4.045835400035003e-07,2.697223555614414e-09,0.0
1816,4.009454670494961e-07,2.3176038865813098e-09,0.0
1817,2.5221349631010526e-07,0.0,0.0
1818,3.0995061806038393e-07,1.1921177378582115e-09,0.0
1819,2.898294013675695e-07,1.035105001712111e-09,1.035105001712111e-09
1820,2.907287957043536e-07,1.1866481131050932e-09,1.4239777357261119e-08
1821,4.457392819290362e-07,0.0,3.944595206029078e-09
1822,3.5089657046682987e-07,0.0,2.0051231786055723e-09
1823,3.8641305266651216e-07,0.0,3.95307486744656e-09
1824,3.065285056891298e-07,0.0,8.421112696055388e-10
1825,2.703271064774526e-07,0.0,1.584979791857677e-08
1826,2.9859068106929954e-07,0.0,9.688783109140786e-09
1827,2.857354601815132e-07,0.0,1.013900075008678e-08
1828,2.705828805460442e-07,0.0,8.255071293206129e-09
1829,3.1206360517899157e-07,0.0,6.858540846366168e-09
1830,3.965997521504505e-07,0.0,9.39315203396518e-09
1831,3.055876405255731e-07,0.0,6.236482441579483e-09
1832,3.5854418456438e-07,0.0,1.8941957335982806e-08
1833,2.698985426263789e-07,0.0,1.1583628500844156e-09
1834,2.940377221705148e-07,0.0,7.467624518753269e-09
1835,3.441205080889631e-07,2.2689263801112247e-09,3.025235173481633e-09
1836,2.856318772614941e-07,6.720750067579218e-10,6.720750067579218e-10
1837,2.77619843558341e-07,6.957890930081589e-10,8.349469449164815e-09
1838,2.771039007143372e-07,6.312161904276081e-10,4.418513555037862e-09
1839,2.1463828403511798e-07,6.9914751765765e-10,1.3982950353153e-09
1840,2.7453357631657127e-07,1.2739377330817092e-09,3.821813088222825e-09
1841,2.407705643747704e-07,6.420548537278137e-10,0.0
1842,2.6162234334492496e-07,0.0,6.037438549100216e-09
1843,2.752620602564093e-07,5.906911071384968e-10,0.0
1844,2.6839064304340354e-07,0.0,5.488561272137815e-10
1845,3.1695693536448744e-07,1.1160455892778032e-09,2.2320911785556063e-09
1846,2.5115809876297135e-07,0.0,1.1709002656346001e-09
1847,2.1141435979643575e-07,5.393223645455691e-10,1.0786447290911383e-09
1848,2.180255052053326e-07,0.0,0.0
1849,2.3965127482483695e-07,8.379414939696517e-10,0.0
1850,2.301469628207542e-07,0.0,0.0
1851,2.3088990452890812e-07,0.0,6.449438760824933e-10
1852,2.96229821117322e-07,1.3021090872200602e-09,7.161600201754936e-09
1853,2.693341194515142e-07,5.971931837933653e-10,1.7915795513800958e-09
1854,2.571853983113215e-07,1.0391328908454511e-09,2.5978321716024766e-09
1855,3.3805189048052853e-07,0.0,1.0613874223963649e-09
1856,2.940643426541101e-07,5.177189232874468e-10,4.141751386299575e-09
1857,2.7580526307247055e-07,9.763018171682347e-10,1.464452725752352e-09
1858,2.6817343723450904e-07,2.4468380654951716e-09,1.468102750479261e-09
1859,2.571547597085555e-07,1.018434669930457e-09,2.5460866748261424e-09
1860,2.842431179317373e-07,9.154367819341758e-10,9.154367819341758e-10
1861,2.603211939344874e-07,0.0,4.244367357575385e-09
1862,2.335798860997329e-07,4.517986262886353e-10,2.2589931591987522e-09
1863,2.1127246085939078e-07,4.994620828036034e-10,0.0
1864,2.723405430060666e-07,1.4384183844029508e-09,8.151037178549814e-09
1865,2.866468165052538e-07,1.4120533631256649e-09,4.23615986733239e-09
1866,3.498375598098846e-07,0.0,4.865612912574591e-10
1867,2.576842916823807e-07,4.85281148598915e-10,1.164674756637396e-08
1868,2.3661997161639192e-07,1.975949626142892e-09,1.975949626142892e-09
1869,2.52966295022361e-07,9.767038289254515e-10,9.767038289254515e-10
1870,2.826886031925824e-07,5.734048791339319e-10,1.548193218070537e-08
1871,2.485355530268407e-07,1.0621177271019633e-09,8.496941816815706e-09
1872,2.3040362862047914e-07,6.047339295989218e-10,5.442605366390296e-09
1873,2.3285556594032641e-07,2.3944017879529156e-09,5.38740402289406e-09
1874,2.4376405605153195e-07,1.7923826867161097e-09,4.779687312606029e-09
1875,2.8092699011494915e-07,5.721527140956084e-10,3.432916173551348e-09
