year,gros_ADJ airs_NOUN,gros_ADJ nerfs_NOUN
1800,0.0,5.973912209356058e-08
1801,0.0,9.048493865293494e-08
1802,0.0,2.9091921760482364e-08
1803,0.0,1.618781624301846e-07
1804,9.887403784603066e-09,6.426812149129546e-08
1805,0.0,2.1890159018767008e-07
1806,0.0,5.187004603612877e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,5.4385775882792586e-08
1809,0.0,2.9367397402779716e-08
1810,2.3401267590372754e-09,1.1700633351097167e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,9.068507722531649e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,7.552225866902518e-08
1816,0.0,9.965696534663948e-08
1817,1.556873407970727e-09,8.095742032310227e-08
1818,0.0,3.337929754820834e-08
1819,0.0,3.3123360054787554e-08
1820,0.0,3.322614716694261e-08
1821,6.903041693817613e-09,3.8459806006585495e-08
1822,0.0,5.6143449000956025e-08
1823,0.0,5.336650943377208e-08
1824,0.0,4.378978601948802e-08
1825,0.0,1.012625929774913e-07
1826,2.642395191543301e-09,3.2589543508265706e-08
1827,0.0,2.7651818612639545e-08
1828,3.668920500743411e-09,3.8523666034961934e-08
1829,2.571952872898464e-09,4.2865881511033876e-08
1830,2.0873671680021744e-09,2.0873670791843324e-08
1831,0.0,4.365537620287796e-08
1832,0.0,3.111892965534935e-08
1833,0.0,4.6334513115198206e-08
1834,0.0,4.0138484536100805e-08
1835,0.0,7.941242330389287e-08
1836,0.0,3.8308275662757296e-08
1837,0.0,4.383471363667013e-08
1838,1.2624323808552163e-09,5.996553653631054e-08
1839,0.0,8.599514700335931e-08
1840,0.0,3.3759349093998026e-08
1841,0.0,5.585877360658742e-08
1842,0.0,3.890793820460203e-08
1843,1.1813822142769936e-09,2.3627643841450663e-08
1844,0.0,4.7750482679020934e-08
1845,3.9061593959388574e-09,9.095771247302764e-08
1846,2.3418005312692003e-09,1.9319854160926297e-08
1847,0.0,5.2314270249098627e-08
1848,0.0,2.976732105253177e-08
1849,0.0,2.8490010350878947e-08
1850,0.0,2.647708541303473e-08
1851,0.0,3.740674614505224e-08
1852,0.0,4.8829090104618444e-08
1853,5.971931837933653e-10,1.970737528722566e-08
1854,2.0782657816909023e-09,2.286092382064453e-08
1855,0.0,4.351688431825096e-08
