year,aux_ADP os_NOUN,aux_ADP noces_NOUN
1800,1.2230799484314048e-06,3.364256002669208e-07
1801,1.7382633359375177e-06,6.333945634651172e-07
1802,1.0674497161744512e-06,4.072869046467531e-07
1803,1.4666551351183443e-06,6.202078850492398e-07
1804,1.2927780517202336e-06,7.489708391261729e-07
1805,1.9587428141676355e-06,5.117180046365633e-07
1806,9.653591632741154e-07,8.500923955878648e-07
1807,8.256170076492708e-07,4.4127804565974316e-07
1808,4.826737836083339e-07,8.384473808575876e-07
1809,3.998484032763372e-07,4.631012497924303e-07
1810,5.124877588968957e-07,8.003233222808603e-07
1811,3.5349782478988345e-07,9.025476632729124e-07
1812,2.2431220259022666e-06,5.094367629965291e-07
1813,1.0784031019284157e-06,6.412903825747662e-07
1814,9.093897119782923e-07,5.317884355093838e-07
1815,1.8071398244501324e-06,6.473336595647083e-07
1816,8.945950753513898e-07,5.909890141708729e-07
1817,7.192755333562673e-07,4.935288639984492e-07
1818,1.4531915439874865e-06,5.352608436481887e-07
1819,1.1210187267352012e-06,6.717831646518846e-07
1820,9.825446340983035e-07,6.336700906217629e-07
1821,9.279660275751667e-07,6.834011299083897e-07
1822,9.40402742344304e-07,8.581927346540397e-07
1823,8.301457228299114e-07,7.550372957965124e-07
1824,8.328480589625542e-07,4.6989808843989067e-07
1825,1.0196703215115122e-06,6.929883609174681e-07
1826,7.03757962128293e-07,7.460362958511269e-07
1827,7.52129494685505e-07,4.230728407605966e-07
1828,1.1236069212827715e-06,4.925525907140127e-07
1829,1.2148190080552013e-06,6.652784709793025e-07
1830,8.850436756802083e-07,4.508713151718524e-07
1831,8.63752802615636e-07,7.016042653518184e-07
1832,9.200379054163932e-07,6.156136134194412e-07
1833,1.1490959650473087e-06,6.857508254576317e-07
1834,1.3619080618809676e-06,6.916887460572951e-07
1835,1.409003289154498e-06,6.821905103038262e-07
1836,1.0484369568075635e-06,6.344387917245342e-07
1837,1.2934718824908487e-06,6.415175207719059e-07
1838,1.0011088988903794e-06,5.668321421126166e-07
1839,9.969843404178391e-07,5.635129167735897e-07
1840,8.758321996538143e-07,5.331429147048539e-07
1841,1.0773680969577981e-06,6.516856605465193e-07
1842,6.050855176908954e-07,6.38626829640998e-07
1843,6.928806897121831e-07,6.67480954952282e-07
1844,6.240493917175627e-07,7.832177164601717e-07
1845,9.971867029889836e-07,6.595829327160629e-07
1846,6.071118150430266e-07,7.247872435556246e-07
1847,4.940192752656003e-07,6.283105342674844e-07
1848,6.959116944926791e-07,4.859314035599027e-07
1849,7.868270586186554e-07,5.203616790794285e-07
1850,6.884042136334756e-07,6.578536950740954e-07
1851,6.784809443161066e-07,6.417191527052779e-07
1852,8.567877785026212e-07,6.308718476510933e-07
1853,7.894893769844202e-07,7.721707708796544e-07
1854,5.865905450264108e-07,8.401389273160476e-07
1855,9.57371412368957e-07,7.811811677527203e-07
1856,5.886464009563497e-07,6.564675874010106e-07
1857,5.979848651804787e-07,6.756008659181134e-07
1858,4.6930352937124553e-07,7.002850344051126e-07
1859,5.855999347659235e-07,6.329571391461286e-07
1860,6.138003527667024e-07,6.243278711792755e-07
