year,mêmes_ADJ ombres_NOUN,mêmes_ADJ nombres_NOUN
1800,0.0,1.540640539587912e-07
1801,4.7623651688866175e-09,1.1191558257905854e-07
1802,4.475680270843441e-09,1.0294064622939914e-07
1803,1.950339223455444e-09,4.095712213825209e-08
1804,0.0,1.2112069214254007e-07
1805,1.9900143755080535e-08,6.538618890772341e-08
1806,0.0,3.458002950651462e-08
1807,0.0,1.9359295322374237e-07
1808,2.7192887941396293e-08,1.4729481279118772e-07
1809,4.518061036407062e-09,1.0843346842648316e-07
1810,1.4040760554223652e-08,1.4040760731859336e-07
1811,1.0028307073639553e-08,1.0028307428910921e-07
1812,8.00162425207418e-09,2.3471432086807908e-07
1813,0.0,1.4666282766029326e-07
1814,3.4613449884091096e-08,7.237357380063258e-08
1815,0.0,8.90083740046066e-08
1816,0.0,2.3407798721564177e-07
1817,1.5568733857662664e-08,1.2610674104962527e-07
1818,3.5763532135746345e-09,8.344824209416402e-08
1819,0.0,1.0040518816367694e-07
1820,5.933240565525466e-09,4.2719332071783356e-08
1821,2.9584463767662328e-09,8.678109963966563e-08
1822,3.0076847679083585e-09,1.4737655362750957e-07
1823,1.9765373338032077e-08,7.313188632451784e-08
1824,5.894778887238772e-09,1.0610602174665473e-07
1825,8.805443041381977e-10,1.2767893053933221e-07
1826,1.7615968683770689e-09,8.543744911548856e-08
1827,1.8434546111834038e-09,9.401618683568813e-08
1828,3.668920500743411e-09,1.467568182533796e-07
1829,1.2002446148073886e-08,1.3459886361033568e-07
1830,1.7742621594152297e-08,3.913813486633444e-07
1831,0.0,2.182768810143898e-07
1832,1.3529969367098715e-09,1.9212556878756004e-07
1833,0.0,9.03523016404506e-08
1834,1.4935249481595747e-08,5.1339920759119195e-08
1835,1.2100940693926532e-08,1.936150511028245e-07
1836,4.032449929525228e-09,1.276942498407152e-07
1837,6.957890930081589e-10,1.5655254514967964e-07
1838,6.312161904276081e-10,7.574594462766981e-08
1839,1.3283802502428443e-08,1.6919369727474987e-07
1840,7.64362617644565e-09,1.1210651962301199e-07
1841,2.5682194149112547e-09,1.624398748845124e-07
1842,2.0124794275488966e-08,1.1605298766426131e-07
1843,3.5441467538532834e-09,1.1518476839000868e-07
1844,1.866110821424627e-08,1.3995831693591754e-07
1845,5.580227946389016e-10,1.2778721725226205e-07
1846,1.4050803187615202e-08,1.5572973666166945e-07
1847,2.6966118227278457e-09,1.0786447290911383e-07
1848,1.6090443422100975e-09,1.7458131651437725e-07
1849,2.262441967104678e-08,6.619738002200393e-08
1850,3.394498016007219e-09,8.689914920978481e-08
1851,3.8696632564949596e-09,1.0061124555704737e-07
1852,2.6042181744401205e-09,1.1067927374597275e-07
1853,5.971931837933653e-09,6.867721680237082e-08
1854,1.8704392701351935e-08,1.3404813614670275e-07
1855,4.776243400783642e-09,7.588920425405377e-08
1856,6.212626857404757e-09,1.1648675979358813e-07
1857,1.1715622250108026e-08,9.323682093054231e-08
1858,4.893676130990343e-09,1.0521403481789093e-07
1859,9.675129142294736e-09,1.059172092254812e-07
1860,1.5104706818647173e-08,1.1214100226197843e-07
1861,1.6977470096435354e-08,1.2968899909537868e-07
1862,8.584174260306554e-09,8.855253241790706e-08
1863,9.989241434027463e-09,8.840478926686046e-08
1864,1.342523781033833e-08,1.2130661275477905e-07
1865,4.706844247692743e-09,9.41368867302117e-08
1866,7.298419202328432e-09,8.271541673821048e-08
1867,5.82337378318698e-09,1.1015882250831055e-07
1868,7.409810987013543e-09,1.2201489596463944e-07
1869,1.2208797528501236e-08,1.5383085383291473e-07
1870,1.1468097582678638e-09,1.1984161574218888e-07
1871,1.1683295220166201e-08,8.178306387662815e-08
1872,1.0280476914203973e-08,1.0824737017856023e-07
1873,5.387403856360606e-09,9.158586777857636e-08
1874,4.779687312606029e-09,1.1590741877398614e-07
1875,2.2886108563824337e-09,7.495200549101355e-08
1876,1.6928840551599933e-08,1.1245587216990316e-07
1877,4.329371083855449e-09,8.411349483594677e-08
1878,1.0266450800600069e-08,7.126124756950958e-08
1879,1.832797580370027e-09,1.405144871569064e-07
1880,6.417846254436199e-10,8.728270728397547e-08
1881,6.972507571312292e-10,1.0737661426674094e-07
1882,9.317538740560849e-09,5.0580926114207614e-08
1883,5.687405213450347e-09,1.049010265319339e-07
1884,6.601696966868076e-10,8.714239640994492e-08
1885,7.090199094506033e-09,9.088346075714071e-08
1886,7.744156427236248e-09,9.034849313138693e-08
1887,3.264462256069578e-09,9.009915657998135e-08
1888,4.4384300679212174e-09,6.594239465584906e-08
1889,9.397704836544563e-09,4.448246926358479e-08
1890,4.5880703680722945e-09,8.32407067719032e-08
1891,1.8485238229004608e-08,8.605196910593804e-08
1892,1.191017329205124e-08,1.4229523515041365e-07
1893,9.23762488724833e-09,8.498614789687053e-08
1894,5.041231432301174e-09,8.948185836743505e-08
1895,1.2037228991346183e-09,9.38903852443218e-08
1896,4.717623180994224e-09,1.1381266062926443e-07
1897,2.330685422435863e-09,8.273933360669616e-08
1898,7.355861253444118e-09,9.166534908899848e-08
1899,5.527578395003729e-09,7.351679442990644e-08
1900,7.786579381274805e-09,7.111742661436438e-08
1901,4.470991132876634e-09,7.2653605798223e-08
1902,1.9641135384773634e-09,1.1981092029600404e-07
1903,1.0800440541913758e-08,5.8322378038155875e-08
1904,1.3436562973367927e-08,8.975624155027617e-08
1905,8.257214467732865e-09,6.760594573052003e-08
1906,1.5432553013283723e-09,1.1059997007123457e-07
1907,6.1714118260169926e-09,8.434263065737468e-08
1908,3.437972351250096e-09,6.679488961935931e-08
1909,2.7504918342913243e-09,9.296662284441481e-08
1910,2.67207544979442e-09,7.428369741546703e-08
1911,3.7242617878519013e-09,6.863282919766789e-08
1912,3.646594803896619e-09,7.08481309175113e-08
1913,3.71209285532359e-09,5.515109435805243e-08
1914,4.018046340092951e-09,7.232483056895944e-08
1915,0.0,7.539687629787295e-08
1916,3.2962386153911893e-09,6.812226160946011e-08
1917,1.7546279096336548e-08,6.470190072604964e-08
1918,8.040463406189247e-09,6.432370724951397e-08
1919,1.3811772170413406e-08,3.498982437122322e-08
1920,2.1959472462640406e-08,4.391894492528081e-08
1921,3.0290989716519334e-09,5.452378104564559e-08
1922,8.853522359686394e-09,5.2383342108441866e-08
1923,1.2739137744688378e-08,6.900366145146108e-08
1924,6.445812328337297e-09,5.801231139912488e-08
1925,1.6497267552040284e-08,4.6192347724627325e-08
