year,ces_DET ombres_NOUN,ces_DET nombres_NOUN
1800,3.898764049381498e-07,1.424306560693367e-06
1801,6.524440028243816e-07,1.235833799739794e-06
1802,3.423895407195232e-07,1.6828557534154243e-06
1803,4.485780165097708e-07,7.430792337004277e-07
1804,4.622361244877027e-07,1.4929979386124614e-06
1805,5.99847195914549e-07,1.0490218613767865e-06
1806,3.688536365231698e-07,9.019624371831014e-07
1807,4.982171404321889e-07,2.325962320526287e-06
1808,4.3055407106251664e-07,1.432158754255397e-06
1809,3.3885458261551094e-07,1.4683698168482806e-06
1810,6.131132330722266e-07,1.5257626841957972e-06
1811,8.173070042971631e-07,1.4164983497266803e-06
1812,6.588004097807243e-07,1.6163282268166768e-06
1813,8.886041911182474e-07,1.0151368030619778e-06
1814,5.506684743750156e-07,1.4632048248586216e-06
1815,2.778140224535264e-07,1.0896782640656966e-06
1816,2.8738288726515293e-07,2.329192000161129e-06
1817,4.779601447957305e-07,1.212804392025646e-06
1818,2.8968461318612526e-07,1.0693295990904517e-06
1819,3.726377979518247e-07,1.2762844789904193e-06
1820,5.066987593949079e-07,9.184656164507032e-07
1821,3.9248723027185406e-07,1.2139492611140668e-06
1822,3.8598621188157267e-07,1.344435148098455e-06
1823,3.458940451839254e-07,8.143333900534344e-07
1824,3.91581751912895e-07,1.3094830251247913e-06
1825,2.747298366578832e-07,1.2979223527054273e-06
1826,2.9242507082472e-07,1.3379327725715484e-06
1827,2.5716192197933196e-07,1.5374411361790408e-06
1828,3.2469944954982566e-07,1.3593350161045237e-06
1829,2.957745621756658e-07,1.1839556606219048e-06
1830,3.90337659084139e-07,2.0143093024671543e-06
1831,3.180606071850889e-07,1.7493333359652752e-06
1832,3.598971841656251e-07,1.791367935766175e-06
1833,3.845764565690857e-07,1.683101260141484e-06
1834,4.424567652261402e-07,1.1789512655013823e-06
1835,3.1235553876740596e-07,2.0843870061071357e-06
1836,3.380537378916415e-07,1.6331422614257463e-06
1837,2.664872338353774e-07,1.7909611074173881e-06
1838,2.991964720422402e-07,1.8867052062887524e-06
1839,2.6917178541641107e-07,1.6388018195812037e-06
1840,4.0447522309250417e-07,1.8962563217428396e-06
1841,4.603533212410582e-07,1.7977536117541604e-06
1842,3.253508555900453e-07,2.113103448664333e-06
1843,3.0775006010230754e-07,2.2966069650465215e-06
1844,3.238251223280919e-07,2.0510753415692307e-06
1845,4.1740105349852286e-07,2.462554505200387e-06
1846,3.8405528357543517e-07,2.128696621639392e-06
1847,3.5109886553641445e-07,2.3287939825422654e-06
1848,3.354857542881007e-07,2.215654092196928e-06
1849,4.935475317324745e-07,1.8870442204388382e-06
1850,3.3198190152461393e-07,2.148717214822682e-06
1851,2.62492150682192e-07,2.2089326989771507e-06
1852,3.014382434773921e-07,1.8717817624747113e-06
1853,3.935502976837313e-07,2.128396545231226e-06
1854,4.3851409192718904e-07,1.8475782326277113e-06
1855,4.988520956317188e-07,1.6918515939323697e-06
1856,4.457559933390698e-07,1.966814238585357e-06
