year,vouliez_VERB être_VERB
1800,3.144164395507687e-08
1801,4.7623650800687756e-08
1802,3.8043282302169246e-08
1803,5.851017803593095e-08
1804,1.1370514130248921e-07
1805,3.1271653710973624e-08
1806,1.152667650217154e-08
1807,3.9857372513552036e-08
1808,4.305540457494317e-08
1809,4.0662548883574345e-08
1810,1.1466621430145096e-07
1811,2.5070768572277302e-08
1812,1.8670457180292033e-08
1813,8.052076339026826e-08
1814,6.922689976818219e-08
1815,9.440282155992463e-08
1816,1.622322720606917e-08
1817,7.472992535895173e-08
1818,5.722165141719415e-08
1819,4.7614829412623294e-08
1820,2.8479554714522237e-08
1821,9.467028405651945e-08
1822,1.0326384369818697e-07
1823,6.720227219148e-08
1824,5.642145595174952e-08
1825,8.189061873054015e-08
1826,6.429828403042848e-08
1827,7.373818533551457e-08
1828,4.586150481600271e-08
1829,5.829759786024624e-08
1830,4.4878394334091354e-08
1831,4.8332740476553226e-08
1832,4.329590197471589e-08
1833,9.382738852536932e-08
1834,3.827157613045529e-08
1835,9.680752555141225e-08
1836,3.763620171071125e-08
1837,4.800944708449606e-08
1838,7.132742751991827e-08
1839,6.012668762878093e-08
1840,2.356784811752277e-08
1841,3.2102743574569104e-08
1842,3.152884531232303e-08
1843,4.784597962270709e-08
1844,5.4885614275690386e-08
1845,6.473064217971114e-08
1846,6.030136034951283e-08
1847,3.289866512545814e-08
1848,5.390298696283935e-08
1849,3.016589289472904e-08
1850,3.190828223864628e-08
1851,4.51460699935069e-08
1852,4.687592536356533e-08
1853,4.837264810930719e-08
1854,4.572184764128906e-08
1855,5.3600064831016425e-08
1856,5.901995692170203e-08
1857,4.637433548282388e-08
1858,5.872411179552728e-08
1859,5.092173438470127e-08
1860,4.2567808833382514e-08
1861,3.3483342321005694e-08
1862,3.6143891435358455e-08
1863,6.093437576737415e-08
1864,5.4659899717535154e-08
1865,7.295609094626343e-08
1866,4.81695678899996e-08
1867,3.591080499631971e-08
1868,3.408512938563035e-08
1869,5.4695412643468444e-08
1870,6.364793847524197e-08
1871,4.6733180880664804e-08
1872,3.9912439575573444e-08
1873,2.21482157058972e-08
1874,3.345781252050983e-08
1875,4.3483606049221635e-08
1876,5.8646342893098335e-08
1877,6.617753456339415e-08
1878,3.2611080058586595e-08
1879,3.237942536316041e-08
1880,3.914886193001621e-08
1881,3.9046042843438045e-08
1882,4.2594464844114555e-08
1883,3.159669503816076e-08
1884,4.15906917794473e-08
1885,3.0294486919046903e-08
1886,7.421483161351716e-08
1887,2.9380160526670807e-08
1888,2.6630582183884144e-08
1889,3.257871128425904e-08
1890,3.080561583601593e-08
1891,2.677172439291553e-08
1892,2.382034658410248e-08
1893,3.4487133149241345e-08
1894,1.9534772022211655e-08
1895,2.6481902892783182e-08
1896,3.3613066108273415e-08
1897,1.5149455023788505e-08
1898,2.9423445013776472e-08
1899,2.432134493801641e-08
1900,1.7130474816440255e-08
1901,2.6267072072982955e-08
1902,2.0623192042990013e-08
1903,4.860198288270112e-08
1904,2.579820090886642e-08
1905,1.9610883583709438e-08
