year,nos_DET os_NOUN,nos_DET noces_NOUN
1800,1.1318992321207588e-07,1.2576657937302116e-08
1801,1.3096504858367553e-07,9.524730337773235e-09
1802,6.265952379180817e-08,1.5664880947952042e-08
1803,1.033679772888263e-07,1.755305234496518e-08
1804,1.0381774284695666e-07,5.19088700912107e-08
1805,1.3361525930122298e-07,3.980028751016107e-08
1806,9.797674671574441e-08,2.5935023018064385e-08
1807,7.402083213037258e-08,2.562259560079383e-08
1808,4.078933102391602e-08,4.5321479902327155e-09
1809,4.5180611252249037e-08,5.4216732658929345e-08
1810,1.006254533031381e-07,1.6380887135625244e-07
1811,1.7549536934780008e-08,2.0056614147279106e-08
1812,2.6672083208723052e-08,4.800974906515876e-08
1813,1.4378708002027452e-08,2.300593315851529e-08
1814,4.405347864278042e-08,4.090680105761635e-08
1815,6.743058711400352e-08,1.0788894222457657e-08
1816,1.5296185829072328e-07,2.7811246638975717e-08
1817,7.005930058312515e-08,2.9580594862466114e-08
1818,1.227881272214404e-07,3.457141417584353e-08
1819,4.864993563558073e-08,3.3123360498876764e-08
1820,7.001224133773576e-08,2.8479554714522237e-08
1821,7.593346307288584e-08,9.960102875794519e-08
1822,5.9151133768864383e-08,7.118187284049782e-08
1823,4.842516754255399e-08,9.783859733492051e-08
1824,5.642145328721426e-08,4.884245186076441e-08
1825,6.163809995740621e-08,3.6102318246022946e-08
1826,1.937756521908085e-08,4.227832306469281e-08
1827,5.7147094167930845e-08,6.452091028119611e-09
1828,8.89713236418288e-08,4.219258409321469e-08
1829,5.401101010882314e-08,2.657684528006854e-08
1830,3.8616293940307855e-08,2.5048406016026092e-08
1831,5.4569221807909685e-08,3.1182412651986624e-08
1832,8.523880401511974e-08,5.2766881641908014e-08
1833,6.023486687212198e-08,4.054269897579843e-08
1834,1.782895342472557e-07,3.733812437012318e-08
1835,8.31939672707449e-08,3.554651328840919e-08
1836,1.3038255364250517e-07,4.570110190282861e-08
1837,1.0088941593267009e-07,3.409366378104295e-08
1838,8.268932205623969e-08,5.8703106597945975e-08
1839,8.879173307718702e-08,4.544458864774725e-08
1840,7.134051438484335e-08,5.0320539901616e-08
1841,7.96148018622489e-08,2.1829865914924085e-08
1842,5.634942645826868e-08,5.0982815746891674e-08
1843,1.075057802779611e-07,2.7762481258353233e-08
1844,1.004406726679008e-07,9.87941040087037e-09
1845,1.383896579554289e-07,3.515543733900728e-08
1846,8.254846584065945e-08,4.4494210094114806e-08
1847,6.202207014638361e-08,1.294373674909366e-08
1848,3.781254065415851e-08,3.057184372323718e-08
1849,7.792855982735603e-08,7.54147322368226e-09
1850,7.400005586077896e-08,1.0183494048021657e-08
1851,9.416180279941955e-08,1.9348315838385588e-08
1852,5.143331027746001e-08,2.8646400362930535e-08
1853,9.913407073014469e-08,2.388772823991303e-08
1854,1.1274591749099727e-07,2.5458755992247006e-08
1855,9.817833657166375e-08,2.812676669350367e-08
1856,6.885661996136605e-08,2.1744195499717733e-08
1857,1.0348799506232353e-07,3.758761929484322e-08
1858,1.0766087221725229e-07,4.0128143030671026e-08
1859,1.023526832177879e-07,2.546086652621682e-08
1860,1.0390207627608561e-07,3.2498006230508025e-08
1861,1.485528571265604e-07,4.291527133659656e-08
1862,9.758850461061286e-08,2.530072332196376e-08
1863,8.790532302072052e-08,2.1476870060155306e-08
