year,pourriez_VERB être_VERB,pourriez_VERB etre_VERB
1800,1.1633408547595536e-07,0.0
1801,7.857902772911984e-08,4.7623651688866175e-09
1802,7.832440473976021e-08,0.0
1803,1.6967950955404376e-07,0.0
1804,1.9527622896475805e-07,0.0
1805,6.822906328807221e-08,0.0
1806,1.8442682403474464e-07,0.0
1807,9.964342950752325e-08,0.0
1808,9.744118045773575e-08,0.0
1809,8.810219043198231e-08,0.0
1810,1.3806747745093162e-07,0.0
1811,4.011322829455821e-08,0.0
1812,1.2535878113340004e-07,0.0
1813,5.463909147351842e-08,2.8757416448144113e-09
1814,8.496028414128887e-08,0.0
1815,8.90083740046066e-08,0.0
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,1.0275364559220179e-07,0.0
1818,8.940882878505363e-08,0.0
1819,7.763287612760905e-08,0.0
1820,1.4358441546846734e-07,0.0
1821,1.6074226039108908e-07,2.9584463767662328e-09
1822,1.383534993237845e-07,0.0
1823,1.2452186126665765e-07,0.0
1824,1.3557990996559965e-07,8.421112696055388e-10
1825,1.1359021812040737e-07,0.0
1826,8.103345550125596e-08,0.0
1827,6.544264152807955e-08,0.0
1828,1.1190207516165174e-07,0.0
1829,1.0716470200122785e-07,0.0
1830,1.4715938334575185e-07,0.0
1831,7.639690835503643e-08,0.0
1832,7.712082350508354e-08,0.0
1833,1.0656938087549861e-07,0.0
1834,8.214387037241977e-08,0.0
1835,1.2403464211274695e-07,0.0
1836,9.677879830860547e-08,0.0
1837,8.906100390504434e-08,0.0
1838,1.0036337272367746e-07,0.0
1839,1.0696957275513341e-07,1.3982950353153e-09
1840,9.17235141173478e-08,6.369688665408546e-10
1841,7.062603657459476e-08,6.420548537278137e-10
1842,8.586579269831418e-08,0.0
1843,7.974330173965427e-08,0.0
1844,9.769639319756607e-08,0.0
1845,1.0379223880363497e-07,0.0
1846,1.3289718481246382e-07,0.0
1847,8.683090158001505e-08,0.0
1848,1.0217431878345451e-07,8.045221711050488e-10
1849,7.29009101974043e-08,0.0
1850,6.585326417507531e-08,6.788996032014438e-10
1851,1.077056239751073e-07,0.0
1852,8.919447225252952e-08,0.0
1853,9.137055911878633e-08,0.0
1854,7.325886741682552e-08,0.0
1855,8.968723363977915e-08,0.0
1856,9.111852961041222e-08,0.0
1857,8.396195738669121e-08,0.0
1858,7.634134391309999e-08,0.0
1859,6.365216620451974e-08,5.092173349652285e-10
1860,8.330474798867726e-08,0.0
1861,7.545541791387222e-08,0.0
1862,7.951656044724587e-08,0.0
1863,8.840478926686046e-08,4.994620828036034e-10
1864,9.493561492490699e-08,0.0
1865,1.143763199706882e-07,0.0
1866,1.0169131314796687e-07,4.865612912574591e-10
1867,1.1355578521943244e-07,9.7056229719783e-10
1868,8.101393689230463e-08,0.0
1869,1.1280928902124288e-07,4.883519144627257e-10
1870,1.4335121534259088e-07,0.0
1871,8.709365317827178e-08,0.0
1872,7.377754229764832e-08,0.0
1873,5.986004225633224e-08,0.0
1874,7.468261742360482e-08,0.0
1875,1.0241533487942434e-07,0.0
1876,9.794543842644998e-08,6.04601479992084e-10
1877,1.0452338727873212e-07,0.0
1878,8.273551799220513e-08,0.0
1879,1.0324759358582014e-07,0.0
1880,9.1775198995947e-08,0.0
1881,5.996356833293248e-08,0.0
1882,9.184431348785438e-08,0.0
1883,8.151947383794322e-08,0.0
1884,7.591951600716129e-08,0.0
1885,7.541393642895855e-08,0.0
1886,7.421483161351716e-08,0.0
1887,7.76942030711325e-08,6.528924623161458e-10
1888,6.78445744028977e-08,0.0
1889,6.703696442400542e-08,6.265136742733546e-10
1890,6.88210590737981e-08,0.0
1891,4.716922674674606e-08,0.0
1892,5.955086734843462e-08,6.268512375839919e-10
1893,5.173069794750518e-08,0.0
1894,7.687877712214686e-08,0.0
1895,4.634333095054899e-08,0.0
1896,7.194375228891658e-08,0.0
1897,3.96216535136773e-08,0.0
1898,7.978280081033517e-08,0.0
1899,5.472302433418008e-08,0.0
1900,7.00792170960085e-08,0.0
1901,4.694540578498163e-08,0.0
1902,6.530677865157486e-08,0.0
1903,5.34621804604285e-08,0.0
1904,6.825774079288749e-08,0.0
1905,6.141303288131894e-08,5.160759042333041e-10
1906,6.01869558636281e-08,0.0
1907,8.228549575051147e-08,0.0
1908,6.188350454294778e-08,0.0
1909,6.271121577583472e-08,0.0
1910,5.3975920621951445e-08,0.0
1911,6.012022879531287e-08,0.0
1912,6.511776717843532e-08,0.0
1913,6.045408440513711e-08,5.30298971401777e-10
1914,8.772734361173207e-08,0.0
1915,6.715034572835066e-08,0.0
1916,6.59247731960022e-08,0.0
1917,7.347504293875318e-08,0.0
1918,3.331049214239101e-08,0.0
1919,5.800944435918609e-08,0.0
1920,6.209229752585088e-08,0.0
1921,5.452378104564559e-08,0.0
1922,1.0845565157069359e-07,7.377935484775833e-10
1923,8.068120394000289e-08,0.0
1924,5.672314884463958e-08,0.0
1925,9.678396395429445e-08,1.0998177923937646e-09
1926,9.251294841305935e-08,1.1146138456652466e-09
1927,8.473411128306907e-08,1.1149224876660924e-09
1928,8.798051709391075e-08,0.0
1929,9.692153213336496e-08,0.0
1930,7.457558837131728e-08,0.0
