year,pas_ADV ôté_VERB,pas_ADV oté_VERB,pas_ADV noté_VERB
1800,1.6978488304175698e-07,0.0,3.458580977167003e-08
1801,2.09544069207368e-07,9.524730337773235e-09,7.143547975374531e-09
1802,9.622712582313397e-08,2.2378401354217203e-09,3.3567602031325805e-08
1803,1.2092102963379148e-07,0.0,3.510610468993036e-08
1804,2.4224138428508013e-07,0.0,1.730295728918918e-08
1805,3.439882050315646e-07,0.0,8.812921237222326e-08
1806,1.181484350354367e-07,0.0,0.0
1807,1.5942949005420815e-07,0.0,2.562259560079383e-08
1808,1.450287356874469e-07,0.0,1.5862518409903714e-08
1809,1.965356517530381e-07,2.259030518203531e-09,2.4849335034105025e-08
1810,2.7145469516653975e-07,0.0,6.084329839950442e-08
1811,1.6797415014480066e-07,2.5070767684098882e-09,7.521229861140455e-09
1812,2.0004061695999553e-07,0.0,5.601137331723294e-08
1813,1.581657897986588e-07,0.0,5.176335093892703e-08
1814,1.9194730782601255e-07,3.1466771410748606e-09,4.72001566720337e-08
1815,1.4565007688815967e-07,2.697223555614414e-09,3.236668177919455e-08
1816,9.502176112619054e-08,4.6352077731626196e-09,4.6352077731626196e-08
1817,1.4478922594207688e-07,1.556873407970727e-09,6.694555310104988e-08
1818,1.8000977775045612e-07,1.1921177378582115e-09,1.9073883805731384e-08
1819,1.9149442209709377e-07,0.0,2.3807414706311647e-08
1820,2.1478331291291397e-07,1.1866481131050932e-09,3.322614716694261e-08
1821,3.0077538326622744e-07,0.0,6.01550809165019e-08
1822,2.817197923832282e-07,2.0051231786055723e-09,3.909990198280866e-08
1823,2.67820809085606e-07,1.9765373782121287e-09,3.261286707356703e-08
1824,1.6000113589598186e-07,8.421112696055388e-10,4.29476756380609e-08
1825,1.9988355859368312e-07,8.805443041381977e-10,5.459374818883589e-08
1826,2.30769188647173e-07,7.927186018719112e-09,4.4039921931471326e-08
1827,1.9448445698344585e-07,1.8434546111834038e-09,2.1199728195142598e-08
1828,2.5040381501639786e-07,9.172301251858528e-10,3.66892045633449e-08
1829,1.7489279002802505e-07,1.714635211591542e-09,5.3153691226270894e-08
1830,2.066493465235908e-07,0.0,4.279102583382155e-08
1831,1.5903030714525812e-07,7.795603051974354e-09,7.016042502527853e-08
1832,1.5559464827674674e-07,0.0,9.335678896604804e-08
