year,autres_ADJ os_NOUN,autres_ADJ noces_NOUN
1800,2.5153315164061496e-07,0.0
1801,6.691122962365625e-07,1.1905912700171939e-08
1802,1.9245425164626795e-07,1.5664880947952042e-08
1803,6.494629474218527e-07,3.900678446910888e-09
1804,7.143649440877198e-07,1.9774807569206132e-08
1805,6.02690079176682e-07,1.9900143755080535e-08
1806,5.907421609663288e-07,5.187004603612877e-08
1807,5.039110533289204e-07,5.97860605466849e-08
1808,3.013878426827432e-07,2.2660739062985158e-08
1809,3.140052342587296e-07,1.0617443280125372e-07
1810,2.737948250342015e-07,1.5678848797051614e-07
1811,1.6546707115594472e-07,3.259199843341776e-08
1812,1.416287545907835e-06,2.6672082320544632e-09
1813,6.470418725257332e-07,3.163315653864629e-08
1814,3.5242783269495703e-07,0.0
1815,5.906919682274747e-07,8.091670444798638e-09
1816,3.383701709935849e-07,2.3176038865813098e-09
1817,3.144884317407559e-07,2.1796227045456362e-08
1818,5.185711984267982e-07,1.1921176934492905e-08
1819,4.0162075265470776e-07,2.173720581311045e-08
1820,3.76167463400634e-07,2.4919611263385377e-08
1821,3.6290276739237015e-07,6.01550809165019e-08
1822,5.84493420774379e-07,1.7043547018147365e-08
1823,4.852399229093862e-07,1.087095569118901e-08
1824,2.930547111645865e-07,9.263223965660927e-09
1825,7.026743560345494e-07,2.6416328680056722e-08
1826,2.4750434590714576e-07,5.284790383086602e-09
1827,2.50709831561835e-07,4.2399456390285195e-08
1828,6.558195195793814e-07,6.420610709767516e-09
1829,5.12675910613325e-07,3.8579290873030914e-08
1830,3.037119142845768e-07,3.5485243188304594e-08
1831,2.556957667820825e-07,3.585977381703742e-08
1832,3.0171833031999995e-07,1.352996914505411e-08
1833,5.479056426338502e-07,6.950177322551099e-09
1834,7.038236162770772e-07,5.600718555598405e-09
1835,6.012654694131925e-07,2.2689263801112247e-08
1836,5.282509505377675e-07,4.032449929525228e-09
1837,5.009681558476586e-07,2.5744196108234974e-08
1838,3.4464403597667115e-07,1.7674054220151447e-08
1839,3.104214840732311e-07,1.3283802502428443e-08
1840,2.45233024998015e-07,5.095750932326837e-09
1841,3.39004969873713e-07,2.3756030032018316e-08
1842,1.636816620020909e-07,2.884553929050071e-08
1843,3.3196840831806185e-07,1.4176587015413133e-08
1844,1.9155078234689427e-07,2.030767731753258e-08
1845,3.297914759059495e-07,3.4039391749729475e-08
1846,2.3183825703654293e-07,4.27378594736183e-08
1847,2.443130426854623e-07,1.5101026207275936e-08
1848,1.8021296455117408e-07,1.126331028444838e-08
1849,1.9188860278518405e-07,2.9327951622803994e-08
1850,2.661286373495386e-07,1.4935791270431764e-08
1851,2.199258659629777e-07,2.5152811389261842e-08
1852,2.0508218767645303e-07,4.7526981461487594e-08
1853,2.974022095258988e-07,2.508211416341055e-08
1854,1.9847438181841426e-07,8.832629738719788e-09
1855,3.1947760703587846e-07,4.0332722051061864e-08
1856,1.5945742859457823e-07,3.209857268871019e-08
1857,1.2252587566763395e-07,2.9289055625270066e-09
