year,ses_DET aînés_NOUN,ses_DET nénés_NOUN
1800,2.829747991484055e-08,3.144164484325529e-09
1801,4.0480102825313224e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,3.705644591178725e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,5.117179902036639e-08,0.0
1806,1.498467980809437e-07,0.0
1807,3.9857372513552036e-08,0.0
1808,4.985362878073829e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,1.0764582736300099e-07,0.0
1811,7.771937760026049e-08,0.0
1812,9.601949813031752e-08,0.0
1813,6.039057609541487e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,4.5852800667489646e-08,0.0
1816,4.6352077731626196e-08,0.0
1817,4.0478710161551135e-08,0.0
1818,1.0848271614349869e-07,0.0
1819,7.24573467891787e-08,0.0
1820,9.611849627333413e-08,0.0
1821,1.124209647596075e-07,0.0
1822,7.519211919770896e-08,0.0
1823,7.708495530778237e-08,0.0
1824,1.0189546184591336e-07,0.0
1825,1.1182912507123888e-07,0.0
1826,5.196710928245807e-08,0.0
1827,7.28164592511682e-08,0.0
1828,9.355747226935662e-08,0.0
1829,1.063073805096515e-07,0.0
1830,1.2941676175159955e-07,0.0
1831,1.3096612860863388e-07,0.0
1832,5.547287429408243e-08,0.0
1833,1.760711541010096e-07,0.0
1834,1.950916987958351e-07,0.0
1835,7.714349692378164e-08,0.0
1836,1.2030142970687052e-07,0.0
1837,1.078473077509301e-07,0.0
1838,1.35711483606471e-07,0.0
1839,8.739344015129547e-08,0.0
1840,1.9363852876708165e-07,0.0
1841,1.6565015181768672e-07,0.0
1842,1.2276125005428185e-07,0.0
1843,1.4176586660141766e-07,0.0
1844,1.5861941898842602e-07,0.0
1845,1.7521915651741438e-07,0.0
1846,2.043220903580334e-07,0.0
1847,1.574821304473062e-07,0.0
1848,1.5768634703539064e-07,0.0
1849,2.2875802430100123e-07,0.0
1850,1.4053221697452045e-07,0.0
1851,1.3092360817701376e-07,0.0
1852,1.9010792318141512e-07,0.0
1853,1.3735442605522508e-07,0.0
1854,1.9535697726169587e-07,0.0
1855,1.4753284816038104e-07,0.0
1856,2.1071160460905958e-07,0.0
1857,2.1381009673859808e-07,0.0
1858,2.2608782568322994e-07,0.0
1859,1.690601576509465e-07,0.0
1860,2.453370622212958e-07,0.0
1861,2.1410474904115517e-07,0.0
1862,2.0105038367468353e-07,0.0
1863,2.4823264199724804e-07,0.0
1864,2.26311156481529e-07,0.0
1865,1.9439266829568425e-07,0.0
1866,2.1311383946454043e-07,0.0
1867,2.1303841890585318e-07,0.0
1868,2.3513800073704516e-07,0.0
1869,2.080379166713442e-07,0.0
1870,1.9954490459994645e-07,0.0
1871,1.6993883411586808e-07,0.0
1872,1.9956219055039526e-07,0.0
1873,2.6937021180284404e-07,0.0
1874,2.1687830553673848e-07,0.0
1875,2.3229400891722207e-07,0.0
1876,2.73884467105745e-07,0.0
1877,2.3254908354530812e-07,0.0
1878,2.355244566043524e-07,0.0
1879,2.7858522200219227e-07,0.0
1880,2.2590818926637724e-07,0.0
1881,2.5728552544013183e-07,0.0
1882,2.954991069614721e-07,0.0
1883,2.774189848953057e-07,0.0
1884,3.4064757326035533e-07,0.0
1885,2.9198728435098076e-07,0.0
1886,3.1815577017368923e-07,0.0
1887,3.2709913488915277e-07,6.528924623161458e-10
1888,3.075198058422046e-07,0.0
