year,devons_VERB ôter_VERB,devons_VERB noter_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,1.904946067554647e-08
1802,0.0,1.3427040812530322e-08
1803,0.0,3.900678446910888e-09
1804,0.0,4.943701892301533e-09
1805,2.842877711017877e-09,1.9900143755080535e-08
1806,0.0,2.0171682990621775e-08
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,1.7549536934780008e-08
1812,0.0,1.600324850414836e-08
1813,2.8757416448144113e-09,3.738464116054274e-08
1814,0.0,7.237357380063258e-08
1815,0.0,5.3944472000466703e-08
1816,0.0,6.952811659743929e-09
1817,0.0,9.341240669868967e-09
1818,0.0,1.9073883805731384e-08
1819,0.0,2.070209959015301e-08
1820,1.1866481131050932e-09,1.542642635854463e-08
1821,0.0,9.861488514673056e-09
1822,0.0,2.5064039732569654e-08
1823,0.0,2.569498569471307e-08
1824,1.6842225392110777e-09,8.252690264498597e-08
1825,3.522177216552791e-09,2.289415235168235e-08
1826,0.0,1.6735169694470642e-08
1827,0.0,5.7147094167930845e-08
1828,9.172301251858528e-10,5.1364885678140126e-08
1829,1.714635211591542e-09,2.6576845613135447e-08
1830,2.0873671680021744e-09,3.235419043789989e-08
1831,1.5591206103948707e-09,3.274153215215847e-08
1832,0.0,3.6530916958099624e-08
1833,0.0,3.01174338801502e-08
1834,0.0,1.297499778729616e-07
1835,6.806779140333674e-09,4.159698363537245e-08
1836,6.720750067579218e-10,5.376600142881216e-08
1837,6.957890930081589e-10,9.393152566872232e-08
1838,0.0,6.438405364406208e-08
1839,0.0,3.8453112694014635e-08
1840,3.1848443882154243e-09,5.6053259811505995e-08
1841,3.852329122366882e-09,8.539329598988843e-08
1842,0.0,7.177843741601464e-08
1843,5.906911071384968e-10,1.4235655498850974e-07
1844,5.488561272137815e-10,6.53138769735051e-08
1845,0.0,1.4341185305966064e-07
1846,1.1709002656346001e-09,9.133022160767723e-08
1847,1.6179670936367074e-09,5.2853593501822616e-08
1848,4.02261068899179e-09,7.240699773092274e-08
1849,0.0,5.6980020701757894e-08
1850,1.3577992064028876e-09,8.282574981421931e-08
1851,0.0,1.0383596560359365e-07
1852,1.3021090872200602e-09,8.398603768000612e-08
1853,0.0,1.003284566536422e-07
1854,0.0,9.196325834182062e-08
1855,1.5920811335945473e-09,5.996838581268094e-08
1856,0.0,8.387046790403474e-08
1857,0.0,9.030792114117503e-08
1858,0.0,9.053300686900911e-08
1859,1.5276520048956854e-09,1.22721374395951e-07
1860,4.577183909670879e-10,1.6615177855783259e-07
1861,4.715963619617014e-09,8.630213699234446e-08
1862,4.517986262886353e-10,1.337323993766404e-07
1863,0.0,8.191177869321109e-08
1864,4.794727948009836e-10,1.0836085095888848e-07
1865,4.706844358715045e-10,1.3885190242035605e-07
1866,0.0,1.0947628936719411e-07
1867,5.338092634588065e-09,1.2714366448562942e-07
1868,4.93987406535723e-10,1.2152089823302958e-07
1869,0.0,1.3380842744936672e-07
1870,5.734048791339319e-10,1.422044135779288e-07
1871,0.0,1.1895718898813357e-07
1872,3.628403577593531e-09,1.1550417866601492e-07
1873,0.0,1.508473133071675e-07
1874,0.0,1.887976424086446e-07
1875,0.0,1.109976253133027e-07
1876,6.04601479992084e-10,1.2938471627421677e-07
1877,6.184815992682502e-10,2.214164140923458e-07
1878,0.0,1.745296600574875e-07
1879,0.0,1.5884245385677787e-07
1880,1.9253538763308597e-09,1.9381896265713294e-07
1881,2.091752326904839e-09,1.324776377487069e-07
1882,0.0,1.2179354769159545e-07
1883,0.0,1.2765065093844896e-07
1884,1.3203393933736152e-09,1.2345172706318408e-07
1885,0.0,1.2826815520838863e-07
1886,0.0,1.064821546492567e-07
1887,0.0,1.1425618140492588e-07
1888,0.0,1.5788130269811518e-07
1889,0.0,1.7229126569873188e-07
1890,0.0,1.5206177295112866e-07
1891,0.0,2.027001926308003e-07
1892,0.0,1.4793688762892998e-07
1893,6.158416554491453e-10,1.4102774059665535e-07
1894,0.0,1.3107201368711685e-07
1895,1.8055843487019274e-09,1.2639090130051045e-07
1896,0.0,1.3445226443309366e-07
1897,0.0,1.410064669471467e-07
1898,0.0,1.2278630379114475e-07
1899,0.0,1.5311391621253279e-07
1900,0.0,1.4794501623782708e-07
1901,1.676621730339889e-09,1.4307171625205228e-07
1902,1.9641135384773634e-09,1.487815950440563e-07
1903,1.6200660812870638e-09,1.657867585436179e-07
1904,0.0,1.5586412871471111e-07
1905,0.0,1.3366366147238296e-07
1906,0.0,1.6152739590324927e-07
1907,0.0,1.9337090861881734e-07
1908,0.0,1.3015180400088866e-07
1909,0.0,1.3147351296538545e-07
1910,0.0,1.60324518105881e-07
1911,1.5961122423746588e-09,1.5109863227280584e-07
1912,0.0,1.4638473544437147e-07
1913,0.0,1.6545327241601626e-07
1914,0.0,1.5335542968841764e-07
1915,0.0,1.284103063881048e-07
