year,voudrais_VERB ôter_VERB,voudrais_VERB noter_VERB
1800,1.8864987794131594e-08,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416004054903e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,1.401186100480345e-08,0.0
1818,7.152706427149269e-09,0.0
1819,6.210630232317271e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,9.86148829262845e-10,0.0
1822,7.017931125119503e-09,0.0
1823,4.941343334508019e-09,0.0
1824,5.052667617633233e-09,0.0
1825,1.3208164340028361e-08,0.0
1826,8.807984341885344e-10,0.0
1827,2.7651818612639545e-09,0.0
1828,9.172301251858528e-10,0.0
1829,1.2859763920403111e-08,0.0
1830,1.0436835840010872e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,0.0
1834,1.9602515166639023e-08,0.0
1835,7.563087933704082e-10,0.0
1836,0.0,0.0
1837,6.957890930081589e-10,0.0
1838,3.787297142565649e-09,0.0
1839,3.4957374772659477e-09,0.0
1840,5.095750932326837e-09,3.821813088222825e-09
1841,0.0,0.0
1842,4.024959032733477e-09,0.0
1843,2.3627644285539873e-09,0.0
1844,0.0,0.0
1845,5.580227835366713e-09,0.0
1846,8.196302303531411e-09,5.854501328173001e-10
1847,2.1572894581822766e-09,0.0
1848,0.0,0.0
1849,3.3517659758786067e-09,0.0
1850,1.1541293254424545e-08,0.0
1851,1.096404567135778e-08,0.0
1852,5.208436348880241e-09,0.0
1853,0.0,0.0
1854,1.0391328908454511e-09,0.0
1855,0.0,2.653468555990912e-09
1856,2.5885946719483854e-09,0.0
1857,9.763018171682347e-10,0.0
1858,1.0276719919488642e-08,7.829881631948865e-09
1859,5.601390462572908e-09,5.601390462572908e-09
1860,4.577183909670879e-10,6.865775947773045e-09
1861,4.715963730639317e-10,1.8863854922557266e-09
1862,4.517986262886353e-10,1.8071945051545413e-09
1863,1.9978483312144135e-09,0.0
1864,1.4384183844029508e-09,0.0
1865,4.23615986733239e-09,3.765475486972036e-09
1866,4.865612912574591e-10,4.865612912574591e-10
1867,2.91168689159349e-09,1.455843445796745e-09
1868,8.397785578040384e-09,1.975949626142892e-09
1869,0.0,2.441759683335931e-09
1870,2.2936195165357276e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,0.0,1.2094678591978436e-09
1873,2.9930022904522957e-09,4.190203295451056e-09
1874,0.0,5.974609140757536e-10
1875,1.1443054503956773e-08,1.1443054281912168e-09
1876,3.627608879952504e-09,1.209202959984168e-09
1877,4.9478527941460015e-09,6.184815992682502e-10
1878,7.2469061862534545e-09,2.4156354694326865e-09
1879,0.0,0.0
1880,1.9253538763308597e-09,2.5671385017744797e-09
1881,6.972507571312292e-10,4.8807553554297556e-09
1882,0.0,4.6587693702804245e-09
1883,0.0,1.8958017378167824e-09
1884,5.941527270181268e-09,5.281357573494461e-09
1885,2.5782542767416317e-09,1.0313017106966527e-08
