year,deux_DET ombres_NOUN,deux_DET nombres_NOUN
1800,1.8864987794131594e-08,9.904117987957761e-07
1801,4.524246932646747e-08,1.0239085277419235e-06
1802,2.0140561218795483e-08,8.928982140332664e-07
1803,1.1702034896643454e-08,5.519459982394892e-07
1804,5.19088700912107e-08,1.2433410372381104e-06
1805,3.1271653710973624e-08,6.851335419000293e-07
1806,4.8988376022407465e-08,7.031272764024266e-07
1807,3.4163463169534225e-08,1.2782829035273835e-06
1808,5.4385775882792586e-08,1.1058441238276373e-06
1809,4.969867006821005e-08,7.138536455286726e-07
1810,1.3338723192646285e-07,1.067097836759956e-06
1811,1.42903374467096e-07,8.975334964134163e-07
1812,7.20146218213813e-08,6.187922920730671e-07
1813,1.581657897986588e-07,6.700478198951032e-07
1814,1.7936060103806994e-07,4.0277467761029584e-07
1815,4.855002422310406e-08,3.9649185623602534e-07
1816,3.7081663961657796e-08,5.794009680926138e-07
1817,2.0550729296076042e-07,3.7209274561522676e-07
1818,5.48374146092101e-08,3.6359590360746097e-07
1819,3.726378139390363e-08,2.970751324937737e-07
1820,4.9839222526770754e-08,3.251415803262603e-07
1821,3.747365440176509e-08,4.664484003491509e-07
1822,4.110502516141423e-08,5.413832582235045e-07
1823,6.81905376609393e-08,4.832633893059324e-07
1824,3.2000227356832056e-08,2.8884416192198614e-07
1825,5.723537910284904e-08,2.16613897485729e-07
1826,5.2847904608022134e-08,5.126247071274292e-07
1827,7.650336897313537e-08,3.1338728900820456e-07
1828,5.7785497831197574e-08,6.741641307428381e-07
1829,4.286587929058783e-08,3.017758016810035e-07
1830,5.844628248041772e-08,8.526894692550968e-07
1831,6.548306519249536e-08,5.706381625003587e-07
1832,9.606278006391022e-08,8.023272037860352e-07
1833,7.297685655771602e-08,3.845764720011857e-07
1834,3.360431133359043e-08,5.059315961730704e-07
1835,4.235329242874286e-08,7.789980500660931e-07
1836,3.696412642639757e-08,6.364550344528652e-07
1837,6.331680857396549e-08,8.599953389420989e-07
1838,5.5547025201718725e-08,4.191275646547865e-07
1839,6.502072036340678e-08,4.7611947096015683e-07
1840,8.917564020549662e-08,5.165817427155162e-07
1841,5.008027814668026e-08,4.5906920975724574e-07
1842,4.8299509725069356e-08,6.500308629142637e-07
1843,5.847842032835615e-08,6.397184755257967e-07
1844,6.531387874986194e-08,5.614798208597449e-07
1845,5.8034370642445765e-08,7.823479446500414e-07
1846,5.386141155305779e-08,5.105125362447893e-07
1847,6.795461438002803e-08,6.563552901184266e-07
1848,7.079795039111048e-08,6.629262809809688e-07
1849,7.876649732452279e-08,5.966143641344956e-07
1850,7.671565782629841e-08,4.888077347331432e-07
1851,6.449438849642775e-08,9.409731092091533e-07
1852,7.617338226850734e-08,7.85822861892882e-07
1853,9.853687465977146e-08,8.18154669346427e-07
1854,5.819144188734526e-08,6.525754452368915e-07
1855,6.421393905498007e-08,6.819414259950918e-07
1856,6.523258466728521e-08,7.097926273402777e-07
1857,1.7817508002337945e-07,5.999374721454842e-07
1858,1.2038443220063755e-07,4.120475107782795e-07
1859,1.0591720389641068e-07,4.1042916265610074e-07
1860,9.062824135597225e-08,3.350498527510126e-07
1861,7.073945651470126e-08,6.564621370941381e-07
1862,1.1611224781660212e-07,2.950245137078866e-07
1863,1.1687412460048563e-07,5.908636211415796e-07
1864,8.390773587052536e-08,5.058438086180672e-07
1865,7.578019589615792e-08,5.252838137792537e-07
1866,8.758103486883329e-08,4.743972539245078e-07
1867,1.630544730346628e-07,4.3820886830303607e-07
1868,7.508608224071622e-08,4.786738054818329e-07
1869,1.1573940561504514e-07,5.415822910137535e-07
1870,7.798306134176869e-08,4.828069144480196e-07
1871,7.965882775629041e-08,3.834244890477123e-07
1872,8.22438117609181e-08,5.412368579982285e-07
1873,9.158586777857636e-08,3.7771688488064115e-07
1874,5.436894445765006e-08,4.3315915476682676e-07
1875,1.1385838671884585e-07,6.173527822284086e-07
1876,1.0882826817493196e-07,6.179027263186754e-07
1877,7.359930798145342e-08,7.829977111128983e-07
1878,9.058632666203437e-08,5.525765889302647e-07
1879,8.614148461205673e-08,6.659164784039717e-07
1880,8.343200086358138e-08,7.194405435839712e-07
1881,1.1295462087890229e-07,6.435624744227653e-07
1882,1.1247600650854395e-07,4.352621747472085e-07
1883,1.573515469033282e-07,7.039743401549003e-07
1884,7.988053063456846e-08,6.958188425443268e-07
1885,9.023890101822474e-08,6.709907003354942e-07
1886,8.324968603368177e-08,7.234332830563517e-07
1887,9.923965738067864e-08,6.790081545915427e-07
1888,1.1920355813543893e-07,3.962884305153125e-07
1889,8.332631784568889e-08,5.337896684665111e-07
1890,8.389614869486195e-08,5.394260247371108e-07
1891,8.668939610601001e-08,8.445841785942321e-07
1892,5.7043463286277074e-08,6.619549344222264e-07
1893,6.774258043407144e-08,1.1448496515242823e-06
1894,5.230277655421389e-08,7.517736175799428e-07
1895,6.018614517877552e-08,7.78206874940679e-07
1896,7.430256321327988e-08,1.55740536911253e-06
1897,1.0196748778668052e-07,6.671587202689011e-07
1898,9.732370376269728e-08,9.013759267872956e-07
1899,1.1276259925807608e-07,4.698441689043875e-07
1900,1.0849301013138302e-07,7.781388653427257e-07
1901,5.476963971240423e-08,7.846589618054622e-07
1902,5.646826295446772e-08,5.077233229400235e-07
1903,7.12829075766308e-08,8.413543373109178e-07
1904,6.28831147153619e-08,9.652826840067519e-07
1905,7.43149310977742e-08,5.909069153986479e-07
1906,7.973485693923976e-08,1.1126870660405075e-06
1907,8.125692652072303e-08,7.477694019542014e-07
1908,1.0559486351979785e-07,8.113614882176989e-07
1909,9.791750699150725e-08,6.518665394139589e-07
1910,1.213122229337671e-07,5.910630793692917e-07
1911,8.512598737020483e-08,1.0443893927458703e-06
1912,6.615964931455665e-08,6.449263478813805e-07
1913,7.583275563050051e-08,4.1575438647356577e-07
1914,8.705766951777605e-08,9.228112727299731e-07
1915,1.6257451540546697e-07,8.470367758306452e-07
1916,1.428370044465055e-07,7.812085636160759e-07
1917,1.2830716400458186e-07,8.444146946118281e-07
1918,1.079719362806486e-07,5.008060135480719e-07
1919,8.931612871521111e-08,5.451045963500434e-07
1920,1.3175683122312876e-07,9.169972372546908e-07
1921,1.2419305850386309e-07,4.301320561950206e-07
1922,1.342784328173252e-07,6.197466007051844e-07
1923,1.0509788239687623e-07,7.526707292981882e-07
1924,1.0571132147418894e-07,7.361117742021861e-07
1925,1.3307795398986855e-07,4.905187491743845e-07
1926,1.103467699437033e-07,6.553929345898268e-07
1927,1.7392790496728594e-07,4.7607191255849557e-07
1928,1.531089530715235e-07,7.164127877601345e-07
1929,1.0471982214710351e-07,6.305470217071729e-07
1930,1.008345975606062e-07,5.818996609008309e-07
1931,1.0835088914973312e-07,3.855010453079899e-07
1932,1.041155979208952e-07,4.876993857649836e-07
1933,8.144170005053297e-08,6.148274804829157e-07
1934,7.069132657022692e-08,5.307840105217565e-07
1935,1.101082123255992e-07,4.691567490056059e-07
1936,9.093535702220379e-08,5.32274974318625e-07
1937,1.0576539288820186e-07,5.57786523636139e-07
1938,7.779128630147625e-08,7.169763804881768e-07
1939,5.505858169385647e-08,5.643504463748172e-07
1940,5.832300775665544e-08,8.26665257136483e-07
1941,1.0625409530007346e-07,4.988039172815206e-07
1942,1.244026819335886e-07,5.582949427207495e-07
1943,1.0451646836884265e-07,3.512914474868012e-07
1944,1.1246151743193877e-07,4.112878251305574e-07
1945,1.350672516053919e-07,7.711904430607319e-07
1946,1.5034793321433426e-07,7.016236356349737e-07
1947,1.370900175601264e-07,8.690315009829419e-07
1948,1.087188756798696e-07,6.381797952315083e-07
1949,1.0504199110528134e-07,4.525640946440035e-07
1950,1.3187847969220456e-07,6.795996210229305e-07
