year,quelques_DET ombres_NOUN,quelques_DET nombres_NOUN
1800,1.1633408547595536e-07,1.5720821977538435e-08
1801,7.143547731125466e-08,4.524246932646747e-08
1802,8.056224487518193e-08,4.0281122437590966e-08
1803,1.0336797906518314e-07,1.950339267864365e-08
1804,6.673997887673977e-08,1.4831105232815389e-08
1805,4.264316522117895e-08,2.2743021688143017e-08
1806,2.305335300434308e-08,0.0
1807,4.839823830593559e-08,6.832692633906845e-08
1808,7.024829473678551e-08,4.985362878073829e-08
1809,3.6144488291256494e-08,1.3554183553310395e-08
1810,8.658469141664682e-08,4.680253518074551e-09
1811,3.008492122091866e-08,4.011322829455821e-08
1812,5.601137331723294e-08,2.1337665856435706e-08
1813,6.039057343087961e-08,4.888760685162197e-08
1814,5.034683425719777e-08,2.2026739543434815e-08
1815,1.888056444521169e-08,2.6972236000233352e-08
1816,3.476405652236281e-08,6.025770460382773e-08
1817,4.203558212623193e-08,2.490997452753163e-08
1818,7.152706160695743e-08,1.4305412854298538e-08
1819,3.622867339458935e-08,3.3123360054787554e-08
1820,2.8479554714522237e-08,9.493184904840746e-09
1821,4.339054981983281e-08,9.269798872946211e-08
1822,3.5089655625597516e-08,1.7043547018147365e-08
1823,1.2847492847356534e-08,3.063632902922109e-08
1824,5.3053010873327366e-08,4.0421340941065864e-08
1825,5.459374818883589e-08,1.584979791857677e-08
1826,5.9013494979609504e-08,3.3470339388941284e-08
1827,3.410390903013649e-08,3.041700225026034e-08
1828,6.879225589173643e-08,3.3020285172824515e-08
1829,2.5719527840806222e-08,3.0006116702452346e-08
1830,2.2961039070068523e-08,3.965997663613052e-08
1831,5.456922114177587e-08,1.4032085715598441e-08
1832,5.547287607043927e-08,1.6235963684607668e-08
1833,4.170106393530659e-08,1.6217079790159517e-08
1834,4.387229446400909e-08,3.173740381612333e-08
1835,3.327758690829796e-08,5.7479468296151026e-08
1836,7.056787776349438e-08,3.561997380385762e-08
1837,3.478945309609571e-08,6.053365275704436e-08
1838,4.797242914023059e-08,4.1660268124132926e-08
1839,6.362242666035911e-08,2.027527834513876e-08
1840,5.796416635561741e-08,5.095750948980182e-08
1841,5.585877360658742e-08,4.365973005349133e-08
