year,derniers_ADJ nombres_NOUN
1800,5.973912209356058e-08
1801,7.143547975374531e-08
1802,9.622712582313397e-08
1803,4.095712213825209e-08
1804,5.438072037122765e-08
1805,7.960057502032214e-08
1806,2.881669125542885e-08
1807,9.964342950752325e-08
1808,2.7192887941396293e-08
1809,8.358412628695078e-08
1810,6.786367379163494e-08
1811,8.524060746140094e-08
1812,5.3344166417446104e-08
1813,7.764502640839055e-08
1814,9.754699448194515e-08
1815,4.315557688983063e-08
1816,1.4832664874120383e-07
1817,7.628679554727569e-08
1818,6.914282835168706e-08
1819,3.415846450138815e-08
1820,2.4919611263385377e-08
1821,4.536284592404627e-08
1822,3.909990198280866e-08
1823,6.522573414713406e-08
1824,1.431589158329416e-08
1825,3.874394849390228e-08
1826,5.460950447400137e-08
1827,8.387718253288767e-08
1828,7.613009955775851e-08
1829,9.344761764396026e-08
1830,4.800944353178238e-08
1831,4.2096257146795324e-08
1832,5.817886972181441e-08
1833,7.18184978154568e-08
1834,4.760610750054184e-08
1835,7.865611451052246e-08
1836,4.838939915430274e-08
1837,1.273294003567571e-07
1838,2.512240371288499e-07
1839,5.453350482298447e-08
1840,3.05745047057826e-08
1841,7.57624718517036e-08
1842,5.9032732480091e-08
1843,7.147362168780091e-08
1844,5.43367555394525e-08
1845,3.5155437672074186e-08
1846,5.21050615986951e-08
1847,8.25163226636505e-08
1848,7.642960753173611e-08
1849,5.111443002192573e-08
1850,4.955967014552698e-08
1851,7.28786559989203e-08
1852,7.422021752745422e-08
1853,3.762317035693741e-08
1854,5.351534326791807e-08
1855,5.678422709820552e-08
1856,8.645906035553708e-08
1857,7.224633691294002e-08
1858,4.306435030798639e-08
1859,6.110607841947058e-08
1860,5.858795404378725e-08
1861,6.177912581506462e-08
1862,3.5240294238292336e-08
1863,5.194405616748554e-08
1864,3.0206784629172034e-08
1865,6.26010319138004e-08
1866,4.0871150019938796e-08
1867,5.726317553467197e-08
1868,4.100095551962113e-08
1869,1.0548401263577034e-07
1870,7.568944226932217e-08
1871,8.921789174110017e-08
