year,veux_VERB être_VERB,veux_VERB etre_VERB,veux_VERB naître_VERB
1800,8.017619279598875e-07,0.0,0.0
1801,1.1334428791087703e-06,2.3811825844433088e-09,0.0
1802,9.264658160645922e-07,0.0,0.0
1803,7.957384013934643e-07,0.0,0.0
1804,1.3867083907825872e-06,0.0,0.0
1805,7.960057359923667e-07,2.842877711017877e-09,0.0
1806,1.0345191867600079e-06,0.0,1.152667650217154e-08
1807,7.686778644711012e-07,2.8469551160981155e-09,1.1387820464392462e-08
1808,6.662257305833919e-07,6.798221985349073e-09,0.0
1809,6.460827535192948e-07,2.259030518203531e-09,2.259030518203531e-09
1810,1.2753690725730848e-06,2.3401267590372754e-09,0.0
1811,9.025476401802734e-07,0.0,0.0
1812,9.228540420735953e-07,0.0,0.0
1813,9.259887860935123e-07,0.0,0.0
1814,1.0037899755843682e-06,0.0,0.0
1815,7.066725515869621e-07,0.0,0.0
1816,9.548527941660723e-07,2.3176038865813098e-09,0.0
1817,1.0804701560118701e-06,0.0,1.556873407970727e-09
1818,1.2111916021240177e-06,1.1921177378582115e-09,1.1921177378582115e-09
1819,1.1551771876838757e-06,0.0,9.315945348475907e-09
1820,1.2744600326186628e-06,3.5599443393152796e-09,0.0
1821,1.4072344356463873e-06,9.86148829262845e-10,0.0
1822,1.3183685041440185e-06,0.0,4.010246357211145e-09
1823,1.3321862297743792e-06,0.0,0.0
1824,1.1191658586540143e-06,0.0,1.6842225392110777e-09
1825,1.0821889873113832e-06,0.0,2.641632912414593e-09
1826,9.54785491558141e-07,1.7615968683770689e-09,4.403992281964975e-09
1827,8.876234005583683e-07,9.217273055917019e-10,1.8434546111834038e-09
1828,8.979682775134279e-07,0.0,0.0
1829,1.0142067594642867e-06,1.714635211591542e-09,9.430493719264632e-09
1830,1.2461581491152174e-06,1.0436835840010872e-09,0.0
1831,1.200522888211708e-06,0.0,0.0
1832,1.1757543916246505e-06,0.0,1.3529969367098715e-09
1833,9.660745945438975e-07,4.6334514003376626e-09,2.3167257001688313e-09
1834,1.102408077713335e-06,9.334530925997342e-10,2.8003592777992026e-09
1835,1.3742130704486044e-06,2.2689263801112247e-09,0.0
1836,1.1862123301398242e-06,6.048674894287842e-09,6.720750067579218e-10
1837,1.0569036703600432e-06,2.0873671680021744e-09,6.957890930081589e-10
1838,9.569237136020092e-07,1.8936485712828244e-09,3.1560809521380406e-09
1839,9.116883461501857e-07,2.0974426639952526e-09,6.9914751765765e-10
1840,8.465316341244034e-07,1.9109065441114126e-09,0.0
1841,8.770469435148698e-07,3.852329122366882e-09,0.0
1842,1.0914346830759314e-06,1.341653010911159e-09,0.0
1843,9.427429858988035e-07,1.7720733769266417e-09,5.906911071384968e-10
1844,8.831095215100504e-07,3.2931368743049916e-09,2.195424508855126e-09
1845,9.045549518305052e-07,5.580227946389016e-10,0.0
1846,9.525273867438955e-07,0.0,0.0
1847,8.267811608675402e-07,1.6179670936367074e-09,5.393223645455691e-10
1848,8.238307032115699e-07,4.0226108000140925e-09,0.0
1849,8.245344247370667e-07,3.3517659758786067e-09,0.0
1850,8.00422640168108e-07,6.788996032014438e-10,0.0
1851,6.359146595968923e-07,2.579775504329973e-09,0.0
1852,9.70071255324001e-07,1.3021090872200602e-09,0.0
1853,9.71633312474296e-07,1.7915795513800958e-09,0.0
1854,9.643152907301555e-07,1.0391328908454511e-09,0.0
1855,1.1457676691861707e-06,4.2455496895854594e-09,0.0
1856,9.261991635867162e-07,5.177189232874468e-10,0.0
1857,9.928990039043128e-07,9.763018171682347e-10,0.0
1858,1.1191837074875366e-06,1.468102750479261e-09,1.9574704079872163e-09
1859,1.1156952268720488e-06,2.5460866748261424e-09,0.0
1860,1.1150019645356224e-06,9.154367819341758e-10,4.577183909670879e-10
1861,1.0313813163520535e-06,9.431927461278633e-10,9.431927461278633e-10
1862,1.0897382480834494e-06,2.710791813242963e-09,0.0
1863,1.0973182043017005e-06,9.989241656072068e-10,0.0
1864,1.1397067964935559e-06,4.315255264231155e-09,0.0
1865,1.0995188404194778e-06,9.41368871743009e-10,0.0
1866,1.1546098903636448e-06,1.4596839292835284e-09,9.731225825149181e-10
1867,1.1229406027268851e-06,2.91168689159349e-09,4.85281148598915e-10
1868,8.86213399553526e-07,9.87974813071446e-10,0.0
1869,1.1696027968355338e-06,3.906815315701806e-09,2.441759683335931e-09
1870,1.0384362667537061e-06,5.160643912205387e-09,1.7202146374017957e-09
1871,9.261666491511278e-07,0.0,0.0
1872,1.0340950211684685e-06,1.2094678591978436e-09,2.4189357183956872e-09
1873,8.23075595235423e-07,5.986004469882289e-10,0.0
1874,9.463780656915333e-07,1.1949218281515073e-09,1.7923826867161097e-09
1875,1.1580370937736006e-06,5.721527140956084e-10,0.0
1876,1.0961424550259835e-06,1.209202959984168e-09,0.0
1877,8.949429002313991e-07,1.8554447978047506e-09,6.184815992682502e-10
1878,8.539271334484511e-07,3.0195443923020093e-09,0.0
1879,1.0856271046577604e-06,7.331190321480108e-09,6.109325489944695e-09
1880,8.940060070017353e-07,3.2089231272180996e-09,0.0
1881,8.715634294276242e-07,1.3945015142624584e-09,0.0
1882,9.450646984987543e-07,3.3276925659464496e-09,0.0
1883,8.335208008247719e-07,3.159669414998234e-09,0.0
1884,8.21911271486897e-07,1.3203393933736152e-09,0.0
1885,6.774363328077015e-07,1.933690763067375e-09,1.933690763067375e-09
1886,8.266887334684725e-07,4.5174246565693466e-09,6.453463874400711e-10
1887,7.488676487810153e-07,0.0,0.0
1888,8.077943220996531e-07,1.9021844099853524e-09,0.0
1889,8.288776029985456e-07,5.012109283164534e-09,6.265136742733546e-10
1890,7.74728505348321e-07,5.898947663673937e-09,0.0
