year,divers_DET airs_NOUN,divers_DET nerfs_NOUN
1800,0.0,1.5720821977538435e-08
1801,9.524730337773235e-09,1.904946067554647e-08
1802,6.713520406265161e-09,2.6854081625060644e-08
1803,0.0,1.755305234496518e-08
1804,4.943701892301533e-09,4.696516597846312e-08
1805,2.842877711017877e-09,3.4114531644036106e-08
1806,0.0,0.0
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,2.8757416448144113e-09,1.4378708002027452e-08
1814,1.5733386149463513e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,6.227493631882908e-09
1818,0.0,3.5763532135746345e-09
1819,1.035105001712111e-09,1.449147024601416e-08
1820,2.3732962262101864e-09,1.7799722584754818e-08
1821,0.0,9.86148829262845e-10
1822,1.0025615893027862e-09,0.0
1823,0.0,1.9765373782121287e-09
1824,8.421112696055388e-10,5.052667617633233e-09
1825,1.937197424695114e-08,1.6730341556581152e-08
1826,1.7615968683770689e-09,0.0
1827,3.6869092223668076e-09,9.217273055917019e-10
1828,2.7516904310687096e-09,0.0
1829,0.0,1.5431716349212365e-08
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,0.0,0.0
1832,8.117981842303834e-09,2.1647950543268735e-08
1833,3.4750886612755494e-09,0.0
1834,9.334530925997342e-10,5.600718555598405e-09
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,1.3441500135158435e-09,0.0
1837,8.349468672008697e-09,3.478945576063097e-09
1838,1.2624323808552163e-09,4.418513555037862e-09
1839,0.0,3.4957374772659477e-09
1840,8.917564464638872e-09,8.917564464638872e-09
1841,1.2841097074556274e-08,9.630822361827995e-09
1842,6.708265054555795e-10,2.0124795163667386e-09
1843,1.063243981747064e-08,6.497602011990011e-09
1844,5.488561161115513e-09,1.097712254427563e-09
1845,1.1160455892778032e-09,6.138250796539069e-09
1846,0.0,5.854501328173001e-10
1847,5.393223645455691e-10,1.0786447290911383e-09
1848,1.6090443422100975e-09,8.84974404868899e-09
1849,0.0,0.0
1850,6.788996032014438e-10,6.788996032014438e-09
1851,1.9348316282474798e-09,4.514607354622058e-09
1852,0.0,6.510545436100301e-10
1853,2.9859659189668264e-09,1.7915795513800958e-09
1854,1.558699391779328e-09,1.0391328908454511e-09
1855,6.8990182455763716e-09,2.653468555990912e-09
1856,5.177189232874468e-10,0.0
1857,7.810414537345878e-09,1.4644527812635033e-09
1858,4.893676019968041e-10,1.468102750479261e-09
1859,2.5460866748261424e-09,1.018434669930457e-09
1860,5.950338888283113e-09,4.577183909670879e-10
1861,7.073945429425521e-09,0.0
1862,3.6143890103090826e-09,0.0
1863,3.496234635136375e-09,2.4973103585068657e-09
1864,4.794727948009836e-10,2.8768367688059016e-09
1865,6.589582213223366e-09,1.835669261041062e-08
1866,2.432806400776144e-09,2.432806400776144e-09
1867,0.0,9.7056229719783e-10
1868,3.951899252285784e-09,1.975949626142892e-09
1869,1.4650557433881772e-09,1.953407657850903e-09
1870,0.0,3.4404292748035914e-09
1871,3.18635318130589e-09,1.3807530230280918e-08
