year,mieux_ADV noté_VERB
1921,3.0290989716519334e-09
1922,1.4755870969551665e-09
1923,1.9108707505210987e-08
1924,2.578324886925998e-09
1925,5.499089184013428e-09
1926,7.802296586589819e-09
1927,1.1149224654616319e-08
1928,9.14083297942625e-09
1929,3.342121912552898e-09
1930,1.1553964007759987e-08
1931,5.7026783295555106e-09
1932,4.383814644626227e-09
1933,4.588264879146209e-09
1934,5.990790086229936e-09
1935,3.590485242455088e-09
1936,1.091224355320719e-08
1937,8.813782592653752e-09
1938,1.1668692678767911e-08
1939,9.176430282309411e-09
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,0.0
1945,1.089252066321933e-08
1946,1.3921104269343232e-09
1947,5.960435700558264e-09
1948,8.697510267552389e-09
1949,1.47255123650325e-08
1950,6.381216888229346e-09
1951,3.1984206394497505e-09
1952,1.1599284199803606e-08
1953,4.3095309543161875e-09
1954,4.886268278880834e-09
1955,1.407841132561316e-08
1956,9.593255967388359e-09
1957,1.7670075402875796e-09
1958,9.099467845885556e-09
1959,7.750747599288843e-09
1960,1.3841666701708277e-09
1961,5.55852741612739e-09
1962,8.8787386332001e-09
1963,5.1728425987107585e-09
1964,1.0951143103454797e-08
1965,7.1136563306595235e-09
1966,3.3234448526542337e-09
1967,7.888536934785861e-09
1968,4.940557296606585e-09
1969,8.175163657142548e-09
1970,1.0577067222072856e-08
1971,2.569198631618974e-09
1972,1.6416469961200164e-08
1973,1.1026407342740185e-08
1974,7.313243344242437e-09
1975,5.711480177694739e-09
1976,8.570290255249802e-09
1977,4.11374712072643e-09
1978,3.5643548113029055e-09
1979,5.266775904289034e-09
1980,7.390696055153967e-09
1981,3.1627747087981106e-09
1982,4.345251713999687e-09
1983,1.136756910824488e-08
1984,5.219107812592938e-09
1985,1.0828004270990732e-08
1986,1.1389522214244607e-08
1987,5.49973533381376e-09
1988,8.395175221664886e-09
1989,4.939309850016116e-09
1990,4.90378582185258e-09
1991,9.96449056600568e-09
1992,8.264915862810085e-09
1993,5.539207315052863e-09
1994,5.274926717646622e-09
1995,3.253470381991974e-09
1996,5.871901187504136e-09
1997,2.3974471297094624e-09
1998,1.0013071261028017e-08
1999,6.398281460207045e-09
2000,4.859834756842929e-09
2001,7.448059946568719e-09
2002,7.009954394732176e-09
2003,1.2500768420409258e-08
2004,7.928623979580607e-09
2005,7.656374201303606e-09
2006,1.1118302722934459e-08
2007,9.98619853476157e-09
2008,5.960415716543821e-09
2009,1.43045770784056e-08
2010,1.2754241218715379e-08
2011,1.1471915861704929e-08
2012,1.5659562535574878e-08
2013,1.561910067948702e-08
2014,1.3425760059249114e-08
2015,9.309617077235544e-09
2016,1.304944241553585e-08
2017,1.1823373391450787e-08
2018,1.3165480261534412e-08
2019,1.0714148679369373e-08
