year,mes_DET os_NOUN,mes_DET noces_NOUN
1800,1.7292904619381488e-07,5.973912209356058e-08
1801,3.8098922505724886e-07,4.524246932646747e-08
1802,1.9245425164626795e-07,8.951360541686881e-08
1803,2.0478562023917846e-07,7.216255237807445e-08
1804,3.015658069926985e-07,1.2606439270257397e-07
1805,3.894742444110477e-07,7.960057502032214e-08
1806,2.507052130340526e-07,7.204172813857213e-08
1807,3.672571970980698e-07,5.124519120158766e-08
1808,2.741949494122764e-07,2.2660739062985158e-08
1809,3.1174621106799805e-07,1.4909601020463015e-07
1810,2.4103305129585806e-07,2.3635280577138928e-07
1811,1.7298830368162044e-07,7.52123057168319e-08
1812,1.6803411284627146e-07,8.268345208506389e-08
1813,2.8469842527911737e-07,1.7542024233208053e-07
1814,2.454408161156607e-07,1.8250727684687718e-07
1815,4.477391204460446e-07,4.315557666778602e-08
1816,2.0858435689774524e-07,6.721051271085798e-08
1817,1.8059732109776405e-07,7.161617787687646e-08
1818,2.2173389346846761e-07,5.364529798157491e-08
1819,1.8735400608704822e-07,4.1404199735417535e-08
1820,3.571810873737036e-07,7.001224133773576e-08
1821,4.309470469365806e-07,1.34116234562498e-07
1822,3.990195125425089e-07,1.31335568198665e-07
1823,2.579381144229842e-07,7.115534761403808e-08
1824,3.141075168855423e-07,5.3895121254754486e-08
1825,2.3598587617357225e-07,1.0566531472022689e-07
1826,2.4486196803508165e-07,4.492072136486058e-08
1827,2.9587446093159997e-07,5.438191053031005e-08
1828,3.439613038835887e-07,5.96199591917923e-08
1829,2.683404165537695e-07,7.973054039212002e-08
1830,3.485903081745789e-07,5.9489964066017365e-08
1831,3.5859775415758577e-07,8.575163690238696e-08
1832,3.017183054510042e-07,7.035583848846727e-08
1833,4.0542699153434114e-07,6.139323005527331e-08
1834,4.555251225113466e-07,7.467624985046939e-08
1835,4.220203209115425e-07,8.621920244422654e-08
1836,5.450528313133418e-07,6.787957573806125e-08
1837,3.9938293916463863e-07,5.218418053232199e-08
1838,4.0713444349194106e-07,1.1046283532323287e-07
1839,3.4817547511778457e-07,6.012668762878093e-08
1840,3.216692769925089e-07,6.305991462340899e-08
1841,3.3643674157701753e-07,5.393260948949319e-08
1842,3.8438358629377944e-07,8.049917710195587e-08
1843,3.9930719841763107e-07,5.0208745716595615e-08
1844,3.4413277871792047e-07,7.629100307049441e-08
1845,3.5880865656423566e-07,5.803436953222274e-08
1846,3.8581164130135903e-07,7.610852037487348e-08
1847,3.2575070818552376e-07,2.7505439703645607e-08
1848,2.9445511895431764e-07,5.63165514222419e-08
1849,2.7065511076784787e-07,2.178647862116634e-08
1850,2.9192682138301507e-07,3.326607966869233e-08
1851,3.1795732535755405e-07,5.159551008659946e-08
1852,3.3464202431332524e-07,4.6875927806055984e-08
1853,3.2248431125481147e-07,6.688563303214323e-08
1854,4.489054177270191e-07,4.2604447969551984e-08
1855,4.1818664797688143e-07,3.343370380548549e-08
1856,4.224586493961624e-07,3.520488789376941e-08
1857,4.788760525897828e-07,5.7601808878260385e-08
1858,4.78601511311183e-07,3.327699715782728e-08
1859,4.1501213843275764e-07,8.962224740116653e-08
1860,4.824351744758815e-07,6.774232019779447e-08
1861,5.272447474169439e-07,5.281879317253768e-08
1862,4.3688928208496236e-07,3.975828044566754e-08
1863,3.9657290074046614e-07,6.343168479361339e-08
1864,3.821398033565515e-07,6.137251862270432e-08
1865,3.44070315350109e-07,7.20147212973643e-08
1866,5.035909538264605e-07,6.179328693178832e-08
1867,5.071188056149367e-07,7.085104947179843e-08
1868,2.9738040474569516e-07,5.3350639794835786e-08
1869,3.4917163027614606e-07,5.176530437633886e-08
1870,4.3349408063164674e-07,4.873941605865184e-08
1871,2.442870830066113e-07,4.5671061599250606e-08
1872,3.610261423148131e-07,7.196333484671413e-08
1873,3.130680354956894e-07,4.549363552541763e-08
1874,2.6885740211923803e-07,3.525019315331335e-08
1875,2.683396145286565e-07,4.005068987567029e-08
1876,2.104013221426726e-07,8.827181452453203e-08
1877,3.3954639278022114e-07,9.091679231687522e-08
1878,2.7417462433732e-07,7.971597204559089e-08
1879,3.1829584168363567e-07,8.61414832797891e-08
1880,2.6505704608936753e-07,5.776061495765816e-08
1881,2.7123053270017294e-07,7.809208568687609e-08
1882,2.3360401790739616e-07,5.1246464627396904e-08
1883,2.477180993665229e-07,7.204046359454708e-08
1884,3.0895942781938857e-07,1.128890181334441e-07
1885,2.1399510474751082e-07,2.836079660006874e-08
1886,2.6071993142195993e-07,4.64649390075067e-08
1887,2.3569417839652829e-07,6.267767738155072e-08
1888,1.7753721515134657e-07,4.7554610471678416e-08
1889,2.274244605970921e-07,5.137412245614925e-08
1890,2.117066841833548e-07,5.44014073788901e-08
1891,2.1417379247878898e-07,4.14324303754654e-08
1892,1.9933870021304756e-07,4.638699002690316e-08
1893,1.9399011863541205e-07,5.665743080252028e-08
1894,1.9471755940969615e-07,2.7726772655611853e-08
1895,1.5467839098448621e-07,2.7685626013962406e-08
1896,1.586300735212376e-07,4.7176231310341876e-08
