year,nos_DET aînés_NOUN
1800,6.288328968651058e-09
1801,7.143547975374531e-09
1802,4.0281122437590966e-08
1803,1.950339267864365e-08
1804,4.943701981119375e-08
1805,1.421438833304478e-08
1806,5.76333825108577e-09
1807,8.540865792383556e-09
1808,4.758755522971114e-08
1809,1.8072244145628247e-08
1810,1.1700633351097167e-08
1811,7.521229861140455e-09
1812,1.8670457180292033e-08
1813,1.4378708002027452e-08
1814,1.5733386149463513e-08
1815,4.315557644574142e-08
1816,3.7081662185300956e-08
1817,3.2694341123296056e-08
1818,3.695565098382758e-08
1819,3.8298885840504227e-08
1820,3.797273873118456e-08
1821,4.339054981983281e-08
1822,1.9048670196752937e-08
1823,3.854247765389118e-08
1824,1.431589158329416e-08
1825,2.2013607603454943e-08
1826,4.492071936645914e-08
1827,3.5025636335728194e-08
1828,4.586150481600271e-08
1829,3.857929220529854e-08
1830,4.4878393890002144e-08
1831,2.9623292041591753e-08
1832,5.682587378430526e-08
1833,4.285942378778884e-08
1834,1.773560920348416e-08
1835,3.7059130875150004e-08
1836,3.8308275662757296e-08
1837,4.592207936138237e-08
1838,3.092959310890819e-08
1839,8.389769878824893e-09
1840,3.2485411249894014e-08
1841,2.3113974290112083e-08
1842,2.0795621225033756e-08
1843,4.7845977957372554e-08
1844,5.378790057797289e-08
1845,3.738752596404993e-08
1846,4.039605983052752e-08
1847,4.0449176452739266e-08
1848,8.125673645054121e-08
1849,3.603148446273963e-08
1850,5.0917471128286707e-08
1851,3.805169046522394e-08
1852,4.6224873706535163e-08
1853,3.224843303506475e-08
1854,4.8319679812891536e-08
1855,7.323573214534917e-08
1856,6.419714693173262e-08
1857,5.613735298837241e-08
1858,6.410715580607018e-08
1859,7.434573401354783e-08
1860,5.950338985427628e-08
1861,5.800635405339705e-08
1862,3.6143891490869606e-08
1863,6.493006976526772e-08
1864,6.472883029573495e-08
1865,7.248540573323581e-08
1866,5.400830449531213e-08
1867,7.667442147862857e-08
1868,7.7062035863662e-08
1869,8.155477138060974e-08
1870,7.912987065594734e-08
1871,8.284518315804235e-08
1872,5.986866025153859e-08
1873,7.901525655995556e-08
1874,5.735624597491551e-08
1875,9.26887415708677e-08
1876,8.524880978910687e-08
1877,6.679601360914944e-08
1878,5.7975251710473685e-08
1879,8.369775894578879e-08
1880,1.08461603254284e-07
1881,1.2341338084809195e-07
1882,7.919908107112406e-08
1883,9.794975097676684e-08
1884,9.704494630113913e-08
1885,9.797366384844963e-08
1886,7.421483561032005e-08
1887,1.0511568460103149e-07
1888,1.1032669355870439e-07
1889,1.3094136086522212e-07
1890,1.4288562688591355e-07
1891,1.2493471635011133e-07
1892,1.3038506097018399e-07
1893,1.1577822878194866e-07
1894,1.7455264256227565e-07
1895,1.7995657586311609e-07
1896,1.6275799996634532e-07
1897,1.6198263885769393e-07
1898,2.003057693045207e-07
1899,1.3487291816716152e-07
1900,1.822059623179939e-07
1901,1.4307171003480335e-07
1902,1.6056628737715073e-07
1903,1.8576758176180874e-07
1904,1.2630369283783693e-07
1905,1.9559277397718233e-07
1906,1.985655231351302e-07
1907,1.5428529565042481e-07
1908,1.4390369695860272e-07
1909,2.552456397353353e-07
1910,1.8383878952477062e-07
1911,2.420770215394441e-07
1912,2.583872920070007e-07
1913,3.2348236445045586e-07
1914,3.388552265448652e-07
1915,2.721355922830071e-07
1916,2.549091160375383e-07
1917,2.686773896698469e-07
1918,2.1479524292544738e-07
1919,3.3056175041679126e-07
1920,2.438258661641157e-07
1921,2.711043656233869e-07
1922,3.2684253881143377e-07
1923,2.717682621167228e-07
1924,2.7588077067264294e-07
1925,2.3316136577022917e-07
1926,2.3852736674712105e-07
1927,3.077185972699681e-07
1928,2.513729118192032e-07
1929,2.6625571436511564e-07
1930,1.785612617766219e-07
1931,1.9275053020351152e-07
1932,2.9042771210185947e-07
1933,1.7779527006211993e-07
1934,2.1207396194711237e-07
1935,1.8072108431965717e-07
1936,2.0612014672849455e-07
1937,1.7249832140464605e-07
1938,2.1133299377140702e-07
1939,2.61528254164034e-07
1940,2.383635937519557e-07
1941,2.420232085853513e-07
1942,2.3060010079234416e-07
1943,2.1774263991858334e-07
1944,1.92791173247997e-07
1945,2.1131488558978617e-07
1946,2.464035411264831e-07
1947,2.6941169561922607e-07
1948,2.315712137601622e-07
1949,2.591690222430998e-07
1950,1.7654699746572078e-07
1951,1.780454041977464e-07
1952,1.8980646920851996e-07
1953,2.4887541805185265e-07
1954,2.2379107988967917e-07
1955,2.1586898313330494e-07
1956,1.7703917798428392e-07
1957,1.4666162684306983e-07
1958,1.6627209653563568e-07
1959,1.5889033644356232e-07
1960,2.0416458745842192e-07
1961,2.167825643439869e-07
1962,1.68696038471694e-07
1963,1.6941059222119748e-07
1964,1.551411914491041e-07
1965,2.112208807858451e-07
1966,1.6451051365606872e-07
1967,1.2572355867490614e-07
1968,2.2097766283479814e-07
1969,1.4669877401729536e-07
1970,1.811897609726998e-07
1971,1.885791922617841e-07
1972,1.5749550641430687e-07
1973,1.4279197557698353e-07
1974,1.2601280463542253e-07
