year,puissiez_VERB être_VERB,puissiez_VERB etre_VERB
1800,1.4148740490327327e-07,0.0
1801,1.8811341817581706e-07,0.0
1802,8.280008501060365e-08,2.2378401354217203e-09
1803,1.2287136996746995e-07,0.0
1804,1.7797326279378467e-07,0.0
1805,5.1171799242411e-08,0.0
1806,1.873084869430386e-07,0.0
1807,8.54086508184082e-08,0.0
1808,1.1330369886763947e-07,0.0
1809,8.358412628695078e-08,0.0
1810,1.942305232205399e-07,7.020380277111826e-09
1811,1.0780430415024966e-07,0.0
1812,1.5736529235255148e-07,0.0
1813,9.489947672136623e-08,0.0
1814,7.552024783308298e-08,0.0
1815,6.203614333344376e-08,0.0
1816,1.9467873357825738e-07,0.0
1817,2.3353101141765364e-07,0.0
1818,1.0371424252753059e-07,0.0
1819,1.2007218685994303e-07,0.0
1820,1.091716228529549e-07,0.0
1821,1.7750679148775816e-07,0.0
1822,1.73443154949382e-07,0.0
1823,2.1148949258531502e-07,0.0
1824,2.2147526124172146e-07,0.0
1825,2.1133062944045378e-07,0.0
1826,2.105108194427885e-07,8.807984341885344e-10
1827,1.3549392008371797e-07,0.0
1828,1.5226019911551703e-07,0.0
1829,1.1830982771243725e-07,8.57317605795771e-10
1830,1.315041373572967e-07,0.0
1831,1.5279381671007286e-07,1.5591206103948707e-09
1832,1.7453660916544322e-07,0.0
1833,1.3205335847032984e-07,0.0
1834,1.1294782353843402e-07,0.0
1835,1.5428699384756328e-07,0.0
1836,1.330708556679383e-07,0.0
1837,1.2802519222532283e-07,0.0
1838,1.1298769919676488e-07,0.0
1839,1.6639711475363583e-07,6.9914751765765e-10
1840,1.2611982924681797e-07,0.0
1841,1.0401288363937056e-07,0.0
1842,1.0666141747606162e-07,0.0
1843,1.0691508833815533e-07,5.906911071384968e-10
1844,1.3556746125686914e-07,1.097712254427563e-09
1845,1.2109094882362115e-07,0.0
1846,1.1591912851827146e-07,0.0
1847,8.413428531639511e-08,0.0
1848,8.769291781618449e-08,0.0
1849,7.206296714912241e-08,0.0
1850,1.0590834165213892e-07,0.0
1851,7.997304152240758e-08,0.0
1852,1.1718982051434068e-07,0.0
1853,7.823230419035099e-08,0.0
1854,2.041896181026459e-07,0.0
1855,1.496556194524601e-07,0.0
1856,1.755067131625765e-07,0.0
1857,9.030792114117503e-08,4.881509085841174e-10
1858,1.472996444817909e-07,0.0
1859,1.1762920593128001e-07,5.092173349652285e-10
1860,1.0893698032532484e-07,0.0
1861,9.431927594505396e-08,0.0
1862,1.3328059367267997e-07,0.0
1863,1.3535422738186753e-07,0.0
1864,8.294879449977088e-08,0.0
1865,1.7274118135901517e-07,0.0
1866,1.1434190128056798e-07,0.0
1867,7.521857980918867e-08,4.85281148598915e-10
1868,1.1707501812452392e-07,4.93987406535723e-10
1869,1.1720445769469734e-07,0.0
1870,7.855646799725946e-08,5.734048791339319e-10
1871,6.691341525311145e-08,0.0
1872,7.740594298866199e-08,0.0
1873,8.500126114086015e-08,1.7958012854535355e-09
1874,6.333085877940903e-08,0.0
