year,voulez_VERB être_VERB,voulez_VERB etre_VERB
1800,5.785262828794657e-07,0.0
1801,5.333848775990191e-07,0.0
1802,3.737193026154273e-07,0.0
1803,5.207405706642021e-07,1.950339223455444e-09
1804,7.835767519281944e-07,0.0
1805,4.832892273043399e-07,5.685755422035754e-09
1806,4.783570943800441e-07,0.0
1807,4.0711458382247656e-07,0.0
1808,4.056272473462741e-07,2.2660739951163578e-09
1809,3.9081228919712885e-07,2.259030518203531e-09
1810,6.950176612008363e-07,0.0
1811,3.860898232233012e-07,0.0
1812,4.0808285461935156e-07,2.6672082320544632e-09
1813,5.607695925391454e-07,2.8757416448144113e-09
1814,3.0522767247020965e-07,0.0
1815,3.4794183534359036e-07,0.0
1816,6.767403419871698e-07,0.0
1817,5.495763275575882e-07,0.0
1818,5.793692139377526e-07,1.1921177378582115e-09
1819,4.450951394119329e-07,3.1053151161586356e-09
1820,5.3280501788322e-07,2.3732962262101864e-09
1821,7.751129942334956e-07,0.0
1822,6.456496635109943e-07,0.0
1823,5.840668109158287e-07,9.882686891060644e-10
1824,5.60846103780932e-07,0.0
1825,6.190226713442826e-07,8.805443041381977e-10
1826,3.9724008615849016e-07,0.0
1827,6.037313937667932e-07,0.0
1828,6.255509674701898e-07,0.0
1829,5.032454168940603e-07,8.57317605795771e-10
1830,6.20991727373621e-07,7.305785310052215e-09
1831,4.7241354650395806e-07,1.5591206103948707e-09
1832,4.0319309846381657e-07,0.0
1833,4.598700513724907e-07,0.0
1834,6.384819357663218e-07,9.334530925997342e-10
1835,7.162244060054945e-07,7.563087933704082e-10
1836,6.055395829207555e-07,2.016224964762614e-09
1837,4.870523753197631e-07,1.3915781860163179e-09
1838,5.333776584848238e-07,6.312161904276081e-10
1839,4.502510080328648e-07,6.9914751765765e-10
1840,5.19766615525441e-07,1.2739377330817092e-09
1841,4.924560812469281e-07,6.420548537278137e-10
1842,5.970355800855032e-07,1.341653010911159e-09
1843,5.77695914216747e-07,1.1813822142769936e-09
1844,7.047312919894466e-07,2.195424508855126e-09
1845,6.63489117869176e-07,2.790113973194508e-09
1846,5.57933958589274e-07,5.854501328173001e-10
1847,4.853901032220165e-07,1.6179670936367074e-09
1848,4.915630711366248e-07,8.045221711050488e-10
1849,4.96899303925602e-07,3.3517659758786067e-09
1850,4.772664397023618e-07,2.0366988096043315e-09
1851,5.849640842825465e-07,1.9348316282474798e-09
1852,5.748811418015976e-07,3.2552727180501506e-09
1853,6.270528274399112e-07,2.9859659189668264e-09
1854,7.33627814497595e-07,2.0782657816909023e-09
1855,6.453235528169898e-07,4.776243400783642e-09
1856,6.124614628788549e-07,4.659470143053568e-09
1857,4.915679596706468e-07,2.9289055625270066e-09
1858,5.608152946479095e-07,3.4255731584664773e-09
1859,5.158371436664311e-07,2.036869339860914e-09
1860,5.085251473246899e-07,3.204028820036342e-09
1861,6.041149731572659e-07,1.8863854922557266e-09
1862,5.27248971593508e-07,4.066187830886747e-09
1863,6.433071462197404e-07,4.994620828036034e-10
1864,5.302969157128246e-07,5.274200631788517e-09
1865,6.241275514184963e-07,4.706844358715045e-10
1866,5.979838419989392e-07,4.865612912574591e-10
1867,5.63896719540935e-07,1.455843445796745e-09
1868,5.083130645289202e-07,3.951899252285784e-09
1869,5.381638175094849e-07,7.81363052038131e-09
1870,6.221442845344427e-07,5.160643912205387e-09
1871,5.448663955576194e-07,2.1242354542039266e-09
1872,5.835682372890005e-07,9.071008832961525e-09
1873,4.818733714273549e-07,7.781805422268917e-09
1874,3.7640037930941617e-07,5.974609140757536e-10
1875,5.097880944049393e-07,5.721527140956084e-10
1876,4.3349925249458465e-07,1.209202959984168e-09
