year,petits_ADJ nombres_NOUN
1800,1.2891074163690064e-07
1801,7.857902772911984e-08
1802,5.370816325012129e-08
1803,3.1205427575287104e-08
1804,1.9774807569206132e-08
1805,4.264316544322355e-08
1806,2.5935023018064385e-08
1807,3.017772485236492e-07
1808,9.970725756147658e-08
1809,6.7770917766551975e-09
1810,7.488405628919281e-08
1811,6.267691787797958e-08
1812,1.4136203674297576e-07
1813,5.176335093892703e-08
1814,1.2272040805783035e-07
1815,2.4275012222574333e-08
1816,6.025770460382773e-08
1817,7.628679554727569e-08
1818,1.5497530370112145e-08
1819,2.3807414706311647e-08
1820,5.93324074316115e-08
1821,2.070912508145284e-08
1822,1.7043547018147365e-08
1823,1.680056804787e-08
1824,3.03160057057994e-08
1825,1.937197424695114e-08
1826,3.2589543508265706e-08
1827,1.013900075008678e-08
1828,1.0089530988466322e-08
1829,2.6576845613135447e-08
1830,3.235419043789989e-08
1831,4.989185953263586e-08
1832,1.7588959622116818e-08
1833,2.20088942626262e-08
1834,3.080395316601425e-08
1835,2.193295500774184e-08
1836,2.688300071440608e-08
1837,2.5952934379347425e-07
1838,9.152634561360173e-08
1839,2.6567605004856887e-08
1840,2.8026629905752998e-08
1841,2.3756030032018316e-08
1842,4.159124245006751e-08
1843,7.147362168780091e-08
1844,2.7991662321369404e-08
1845,5.970844085823046e-08
1846,9.367202125076801e-09
1847,2.6966118227278457e-08
1848,2.172209789819135e-08
1849,5.865590324560799e-08
1850,1.3577992064028876e-08
1851,3.0957306051959677e-08
1852,4.296959943417278e-08
1853,4.299791100947914e-08
1854,4.8839247313026135e-08
1855,4.086341576226005e-08
1856,3.831119954611495e-08
1857,3.0753508184488965e-08
1858,5.872411179552728e-08
1859,2.189634606963864e-08
1860,1.0985241161165504e-08
1861,3.3483342321005694e-08
1862,2.6656119089807362e-08
1863,1.897955925755923e-08
1864,3.16452037907311e-08
1865,5.836486849375433e-08
1866,2.919367680931373e-08
1867,2.329349513274792e-08
1868,4.100095551962113e-08
1869,6.006728625607138e-08
1870,4.587239033071455e-08
1871,2.549082545044712e-08
1872,1.7537283625301825e-08
1873,1.616221290134945e-08
1874,3.764003864148435e-08
1875,4.748867610260277e-08
1876,3.023007266733657e-08
1877,4.08197848855707e-08
1878,2.536417298415472e-08
1879,5.5594860270957724e-08
1880,2.6954953824542827e-08
1881,1.1156012114099667e-08
1882,1.2645231528551903e-08
1883,2.0853818227806187e-08
1884,3.630933420595284e-08
1885,2.7716232864349877e-08
1886,3.743009102663564e-08
1887,6.528924956228366e-08
1888,1.1413106904001324e-08
1889,2.6940087494153886e-08
1890,4.9813337454907014e-08
1891,3.250852387282066e-08
1892,1.6298132621272998e-08
1893,3.94138659487453e-08
1894,3.7809236630437226e-08
1895,3.8519132772307785e-08
1896,5.838058569906934e-08
1897,2.0393496669157685e-08
1898,2.1501747937691107e-08
1899,2.5979618456517528e-08
1900,2.4397950326715545e-08
1901,4.359216276839106e-08
1902,3.6827128013783295e-08
1903,1.9440793863623185e-08
1904,2.3110889202371254e-08
1905,2.167518786677647e-08
