year,autres_ADJ airs_NOUN,autres_ADJ nerfs_NOUN
1800,6.60274537267469e-08,3.301372828445892e-07
1801,6.429193177837078e-08,1.5477687043130572e-07
1802,3.5805442166747525e-08,2.8196785706313676e-07
1803,4.6808139586573816e-08,1.1116933507082649e-07
1804,8.651478111687538e-08,2.3235398316501232e-07
1805,3.980028751016107e-08,8.358060199498141e-07
1806,1.2103009794373065e-07,3.2851028208824573e-07
1807,2.8469550272802735e-08,7.971474502710407e-08
1808,3.172503681980743e-08,1.11037628869326e-07
1809,9.036122294858728e-09,2.2590305093217466e-07
1810,9.594519356781461e-08,7.254392642153107e-08
1811,4.763445815569867e-08,1.0529722516139373e-07
1812,8.801787032552966e-08,3.120633493836067e-07
1813,3.163315653864629e-08,2.7319546802573313e-07
1814,1.5733386149463513e-08,9.44003133440674e-08
1815,1.8880564667256294e-08,2.1847510822681215e-07
1816,5.7940098940889584e-08,1.8772591658944293e-07
1817,8.56280379935015e-08,1.323342360137758e-07
1818,6.079800130009971e-08,8.344824209416402e-08
1819,7.866798057420965e-08,2.2254756970596645e-07
1820,4.390598107306687e-08,1.9461029410194897e-07
1821,5.719663320746804e-08,1.479223215028469e-07
1822,6.015369535816717e-08,1.1228689800191205e-07
1823,4.249555374258307e-08,2.767152409433038e-07
1824,5.3053010873327366e-08,2.5684394699965196e-07
1825,6.251864448358901e-08,4.878215236203687e-07
1826,5.5490302908189904e-08,1.7439809596453415e-07
1827,3.041700225026034e-08,2.037017310385636e-07
1828,2.7516904310687096e-08,2.283903057787029e-07
1829,2.4862210068476998e-08,1.8518059619054839e-07
1830,5.218418053232199e-08,1.7951357733636542e-07
1831,4.5214498811674275e-08,2.1671776551102084e-07
1832,3.788391467196561e-08,1.785955987543275e-07
1833,7.52935847003755e-08,1.7259606011066353e-07
1834,3.733812548034621e-08,1.2881652367013885e-07
1835,3.6302822081779595e-08,1.2932881077176717e-07
1836,1.0753200108126748e-08,1.8818100500084256e-07
1837,2.99189295560609e-08,2.8805669671783107e-07
1838,4.86036455527028e-08,2.8783458105863247e-07
1839,5.2436064379435265e-08,2.3631186252259795e-07
1840,5.159447979963261e-08,3.465110580691544e-07
1841,2.6966304744746594e-08,1.8876413321322616e-07
1842,3.287049921141261e-08,2.1868943633762683e-07
1843,2.4809025944705354e-08,4.353393592282373e-07
1844,3.622450606144412e-08,1.1965063606567128e-07
1845,4.0177642546268544e-08,3.7666538332814525e-07
1846,1.5807152919933287e-08,1.4870433062696975e-07
1847,2.9123407685460734e-08,1.089431194145618e-07
1848,2.654923214606697e-08,1.2711450381175382e-07
1849,2.8490010350878947e-08,1.3993623326769011e-07
1850,1.425689166723032e-08,1.5954140053509036e-07
1851,3.353708066811123e-08,3.8954610204200435e-07
1852,6.640756566866912e-08,2.0638428566144285e-07
1853,3.4040009921909586e-08,1.9707374576682923e-07
1854,2.5458755104068587e-08,1.3093074358039303e-07
1855,3.131092896069276e-08,1.507170139802838e-07
1856,4.711242240773572e-08,1.3874867477170483e-07
1857,2.0502337605421417e-08,1.3082444638712332e-07
1858,1.859596826525589e-08,1.7959790454824542e-07
1859,3.258990943777462e-08,1.6244032963186328e-07
1860,2.654766717569146e-08,1.716444018029506e-07
1861,3.3483342321005694e-08,1.5138243725232314e-07
1862,3.7047489076513784e-08,1.1701584412548982e-07
1863,2.8469337998160427e-08,9.040263648785185e-08
1864,1.1986819536957682e-08,1.2082713851668814e-07
1865,2.3534221682552925e-08,1.7415324293779122e-07
1866,2.6274308950746672e-08,3.167513966673141e-07
1867,1.0190904120577216e-08,2.2419989420541242e-07
1868,2.9639243948054173e-08,1.7536552832098096e-07
1869,1.904572499711321e-08,2.939878527286055e-07
1870,2.0069171213776826e-08,2.110130026267143e-07
1871,4.354682658913589e-08,2.9102025678184873e-07
1872,3.8702971494330995e-08,2.53383518611372e-07
1873,2.3944018323618366e-08,3.3342044503115176e-07
1874,2.6885741633009275e-08,3.178492136157729e-07
1875,3.0324094124623e-08,1.9167116249718674e-07
1876,1.4510435741854621e-08,2.938363081739226e-07
1877,3.339800647150781e-08,2.795536886424088e-07
1878,4.227361927178208e-08,2.5484953880550165e-07
1879,7.331190321480108e-09,2.4070740778370237e-07
1880,4.428314070992201e-08,3.093401801379514e-07
1881,2.8587281875047665e-08,2.0917522647323494e-07
1882,2.994923331556265e-08,2.4758031713645323e-07
1883,2.211768546089843e-08,1.8705243576278008e-07
1884,1.7164412113856997e-08,2.581263629508612e-07
1885,2.2559724754955823e-08,2.2688637102419307e-07
1886,2.774989482645651e-08,2.4329557390956325e-07
1887,2.0239665943222462e-08,4.7530571123388654e-07
1888,1.7119660356001987e-08,2.2445776437507448e-07
1889,4.2602930960811136e-08,2.0173740722384537e-07
1890,1.6385966361553983e-08,2.529993139432918e-07
1891,1.7210394887001712e-08,1.5106901685157936e-07
1892,1.002961980134387e-08,1.4354893096424348e-07
1893,2.4017824173938607e-08,2.3586734698710643e-07
1894,2.2685540557176864e-08,2.4008863874769304e-07
1895,1.5648398132839247e-08,1.1916856834659484e-07
