year,certains_DET airs_NOUN,certains_DET nerfs_NOUN
1800,5.345079756580162e-08,2.2009152278457123e-08
1801,4.286128785224719e-08,5.714838380299625e-08
1802,3.8043282302169246e-08,2.9091921760482364e-08
1803,2.145373079187607e-08,7.021220937986072e-08
1804,4.943701981119375e-08,5.19088700912107e-08
1805,6.254330742194725e-08,7.960057502032214e-08
1806,5.4751712497136396e-08,7.204172902675055e-08
1807,2.562259560079383e-08,5.693910232196231e-09
1808,1.5862518409903714e-08,7.478044494746428e-08
1809,3.6144488291256494e-08,6.09938268780752e-08
1810,7.254392642153107e-08,4.680253340438867e-08
1811,6.267691787797958e-08,5.264861258069686e-08
1812,6.401299401659344e-08,5.3344166417446104e-08
1813,6.039057609541487e-08,4.888760685162197e-08
1814,5.664018942752591e-08,1.5733386149463513e-08
1815,3.236668177919455e-08,1.0788894222457657e-08
1816,3.708166040894412e-08,5.0987285504788815e-08
1817,4.981994838892945e-08,9.341240669868967e-09
1818,4.530047559292427e-08,2.384235386898581e-08
1819,4.0369095288816936e-08,5.072014630513877e-08
1820,6.40789963313182e-08,2.4919611263385377e-08
1821,7.889190811738445e-08,1.0847637454958203e-08
1822,3.709477880420309e-08,3.60922172149003e-08
1823,5.830785232419089e-08,5.040170170111935e-08
1824,9.263223965660927e-09,3.536867243525421e-08
1825,8.717388766399381e-08,5.195211372210906e-08
1826,4.227832306469281e-08,2.1139161532346407e-08
1827,6.267745789045875e-08,2.3043183361437514e-08
1828,9.814362300630819e-08,3.760643352279658e-08
1829,3.1720752247110795e-08,3.943661042171698e-08
1830,5.3227864116323076e-08,4.070366022013161e-08
1831,3.585977337294821e-08,1.091384405071949e-08
1832,3.788391467196561e-08,2.841293600397421e-08
1833,6.139323005527331e-08,3.359252431778259e-08
1834,2.333632664885954e-08,2.893704498241334e-08
1835,8.092504089063368e-08,4.61348363955949e-08
1836,5.578222433966218e-08,2.150639949460853e-08
1837,4.800944708449606e-08,6.401259478039378e-08
1838,5.2390943361402265e-08,4.607878079099237e-08
1839,5.243606460147987e-08,5.663094881924735e-08
1840,3.0574503984137635e-08,9.108655074641092e-08
1841,3.980739915476761e-08,5.0080279478947887e-08
1842,7.714504501876718e-08,5.769107858100142e-08
1843,7.206431279493941e-08,5.5524962405684164e-08
1844,3.622450606144412e-08,4.8299337862545144e-08
1845,5.245414103072221e-08,5.1896119401817487e-08
1846,3.7468808500307205e-08,4.0396058276215285e-08
1847,3.343798660182529e-08,2.2112216946368335e-08
1848,5.148941845112276e-08,2.091757700384278e-08
1849,6.116972728342773e-08,5.02764896381791e-09
1850,1.6972489191857676e-08,5.7706465383944305e-08
1851,4.192135261149588e-08,6.384944128967618e-08
1852,4.427170807730363e-08,2.7344290387532055e-08
1853,4.717826063149744e-08,2.92624660058749e-08
1854,6.702407073788663e-08,2.805658799731603e-08
1855,7.058226003664458e-08,6.04990830765928e-08
1856,1.2062850940353087e-07,5.643136335997667e-08
1857,6.83411300883563e-08,4.539803466485637e-08
1858,4.355371774344974e-08,7.14476681706877e-08
1859,6.517981887554924e-08,7.689181513725885e-08
1860,4.76027130491552e-08,6.591145149115185e-08
