year,quels_DET nombres_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,1.755305234496518e-08
1804,1.9774807569206132e-08
1805,0.0
1806,0.0
1807,5.124519120158766e-08
1808,1.3596443970698147e-08
1809,1.581321384946932e-08
1810,2.8081521108447305e-08
1811,0.0
1812,1.600324850414836e-08
1813,8.627225156487839e-09
1814,3.1466771410748606e-09
1815,0.0
1816,2.0858434979231788e-08
1817,3.113746815941454e-09
1818,1.0729059418679299e-08
1819,2.070209959015301e-08
1820,0.0
1821,6.903041915862218e-09
1822,1.303330066093622e-08
1823,7.906149623870817e-09
1824,3.03160057057994e-08
1825,7.924898959288385e-09
1826,2.2019960965735663e-08
1827,4.608636583469661e-09
1828,1.1923991571904935e-08
1829,3.429270423183084e-09
1830,4.174734336004349e-09
1831,1.5591206103948707e-09
1832,4.600189473791261e-08
1833,1.1583628500844156e-09
1834,2.0535968925372572e-08
1835,1.8907719834260206e-08
1836,4.70452493628315e-09
1837,6.957891152126194e-09
1838,1.8936485712828244e-09
1839,1.8177836125232716e-08
1840,2.165694112932215e-08
1841,1.0272877659645019e-08
1842,2.683306021822318e-08
1843,2.421833589227873e-08
1844,4.9397050894128824e-09
1845,7.254296274794569e-09
1846,1.7563504428608212e-08
1847,4.314578916364553e-09
1848,2.4135665133151463e-09
1849,1.8434713311421547e-08
1850,8.82569484161877e-09
1851,1.096404567135778e-08
1852,1.1067927241370512e-08
1853,9.55509071864924e-09
1854,8.832629738719788e-09
1855,1.5920811335945473e-09
1856,3.6240324075009767e-09
1857,3.4170564155999728e-09
1858,2.0553438895287712e-08
1859,1.7313389832906978e-08
1860,8.696649705930426e-09
1861,1.6034276684173676e-08
1862,7.6805766469068e-09
1863,4.994620717013731e-09
1864,7.1920918109924514e-09
1865,5.6482134525026595e-09
1866,8.75810357570117e-09
1867,4.367530337390235e-09
1868,4.939874287401835e-09
1869,1.5138908793232986e-08
1870,8.027667863785837e-09
1871,5.3105884134652115e-09
1872,6.047339518033823e-09
1873,1.9155215191801744e-08
1874,1.4339061660262331e-08
1875,1.7736734192475012e-08
1876,3.627608879952504e-09
1877,2.4120783148617875e-08
1878,7.850815442189685e-09
1879,3.665595160740054e-09
1880,6.417846254436199e-09
1881,1.673401772706029e-08
1882,5.324308105514319e-09
1883,7.58320695126713e-09
1884,5.941527270181268e-09
1885,7.734762663691441e-09
1886,6.453463874400711e-09
1887,4.570247347235323e-09
1888,4.438430289965822e-09
1889,2.5060546970934183e-09
1890,2.6217545912032847e-09
1891,3.824531802365527e-09
1892,2.5074049503359674e-09
1893,1.3548516308858893e-08
1894,1.7014155861971858e-08
1895,8.426060293942328e-09
1896,1.0024949648190784e-08
1897,8.157399200570126e-09
1898,1.4145887572425409e-08
1899,3.3165470370022376e-09
1900,1.038210628578895e-09
1901,1.5089595351014395e-08
1902,1.3748794824852695e-08
1903,3.7801539676252105e-09
1904,1.8811189050893518e-08
1905,5.160758931310738e-09
1906,8.745113411201544e-09
1907,7.71426478252124e-09
1908,8.349361424464519e-09
1909,6.051081746782927e-09
1910,5.878565856320961e-09
1911,1.59611229788581e-08
1912,9.376957876838787e-09
1913,7.95448484858241e-09
1914,3.3483718020477227e-09
1915,2.3561523843085297e-09
1916,7.69122365795738e-09
1917,1.2063066989753679e-08
1918,4.594550517822427e-09
1919,9.207848705727883e-09
1920,9.086678076641874e-09
1921,4.543648568500203e-09
1922,1.6969252114584776e-08
1923,4.246379248229459e-09
1924,6.445812328337297e-09
1925,1.5397448649423495e-08
1926,4.458455382660986e-09
1927,8.919379901328739e-09
1928,2.2852082448565625e-09
1929,6.684243603061191e-09
1930,5.2518016602221e-09
1931,1.1405356659111021e-08
1932,9.863582839386709e-09
1933,2.4088391503696016e-08
1934,1.1981580172459871e-08
1935,1.196828414151696e-08
1936,6.0623572828433225e-09
1937,1.3850230184964119e-08
1938,2.463390824658518e-08
1939,2.7529290846928234e-08
1940,1.5214697057785997e-08
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,0.0
1945,2.178504043826024e-09
1946,8.352662561605939e-09
1947,7.152522574216391e-09
1948,1.3046265401328583e-08
1949,2.8469324453439526e-08
1950,1.7016577702477775e-08
1951,2.1322803522849654e-09
1952,5.272401959466322e-09
1953,2.1547654771580937e-09
1954,7.818028890937967e-09
1955,1.1262729415761896e-08
1956,4.36057079333807e-09
1957,1.1485549400447326e-08
1958,4.963346067476948e-09
1959,2.3252243464000344e-09
1960,1.5225833704946012e-08
1961,5.558527582660844e-09
1962,6.341956404476434e-09
1963,8.405868778815773e-09
1964,1.5818317322668918e-08
1965,7.660860945613024e-09
1966,9.416427415587236e-09
1967,8.381570437698826e-09
1968,8.084548558384697e-09
1969,1.4987801222332564e-08
1970,9.197449912790034e-09
1971,3.083038491169532e-09
1972,5.130146973897354e-09
1973,2.7566018356850464e-09
1974,6.188128898187983e-09
1975,7.4249242310031605e-09
1976,1.7140580066410394e-09
1977,5.289103821581875e-09
1978,8.316827670995508e-09
1979,1.1703946700691858e-09
1980,2.8425753972882717e-09
1981,5.060439622894819e-09
1982,1.8622506869903077e-09
1983,5.683784443100137e-09
1984,2.8995041922996734e-09
1985,2.4062232206745193e-09
