year,pouvez_VERB ôter_VERB,pouvez_VERB noter_VERB
1800,9.432493897065797e-09,0.0
1801,3.333655484993869e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,1.8880061958270744e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,4.768470951432846e-09,0.0
1819,6.210630232317271e-09,0.0
1820,8.306536791735653e-09,0.0
1821,3.155676253641104e-08,0.0
1822,2.105379337535851e-08,0.0
1823,2.9648061783404955e-09,0.0
1824,1.431589158329416e-08,0.0
1825,1.1447076175841175e-08,0.0
1826,7.927186018719112e-09,0.0
1827,9.217273055917019e-10,0.0
1828,2.7516904310687096e-09,0.0
1829,2.571952872898464e-09,0.0
1830,1.1480519646056564e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,1.3529969367098715e-09,0.0
1833,1.1583628278799551e-08,9.266902800675325e-09
1834,1.120143711119681e-08,0.0
1835,1.9664028627630614e-08,0.0
1836,1.008112526790228e-08,0.0
1837,2.0873671680021744e-09,0.0
1838,6.943378316748294e-09,6.312161904276081e-10
1839,9.088918062616358e-09,0.0
1840,5.095750932326837e-09,0.0
1841,0.0,0.0
1842,8.049918065466954e-09,0.0
1843,1.1813821920725331e-08,5.906911071384968e-10
1844,8.781698035420504e-09,0.0
1845,1.1160455670733427e-08,0.0
1846,1.2294452567118697e-08,0.0
1847,7.550513103637968e-09,0.0
1848,5.63165514222419e-09,0.0
1849,1.0893239199560867e-08,1.0893239199560867e-08
1850,1.4935791270431764e-08,0.0
1851,1.9348316726564008e-08,0.0
1852,5.859490670445666e-09,0.0
1853,1.1943863675867306e-08,0.0
1854,8.313063126763609e-09,0.0
1855,9.021793090369101e-09,5.837630823180007e-09
1856,4.659470143053568e-09,5.177189232874468e-10
1857,1.0739319655783675e-08,9.763018171682347e-10
1858,1.3212924976357954e-08,0.0
1859,1.5276520048956854e-09,0.0
1860,6.408057640072684e-09,0.0
1861,7.073945429425521e-09,1.8863854922557266e-09
1862,9.487771457372673e-09,2.2589932147099034e-09
1863,1.6981710260211003e-08,4.994620828036034e-10
1864,4.794728170054441e-09,0.0
1865,1.882737743486018e-09,5.177528628053096e-09
1866,4.379051787850585e-09,7.298419202328432e-09
1867,2.91168689159349e-09,3.396968040192405e-09
1868,5.433861360870651e-09,0.0
1869,3.906815315701806e-09,1.4650557433881772e-09
1870,4.587239033071455e-09,0.0
1871,4.248470908407853e-09,1.0621177271019633e-09
1872,1.8142017887967654e-09,4.23313739617015e-09
1873,7.183205141814142e-09,2.3944017879529156e-09
1874,1.1949218281515073e-09,0.0
1875,5.721527251978387e-09,0.0
1876,4.836811839936672e-09,3.627608879952504e-09
1877,1.2369631985365004e-09,0.0
1878,6.039088673581716e-10,2.4156354694326865e-09
1879,6.10932526790009e-10,0.0
1880,1.2835692508872398e-09,0.0
1881,4.8807553554297556e-09,0.0
1882,2.6621540527571597e-09,6.655385131892899e-10
1883,4.423537092179686e-09,5.0554711528150165e-09
1884,5.941527270181268e-09,6.601696966868076e-10
1885,3.2228177904158883e-09,0.0
1886,8.38950331427668e-09,1.936039106809062e-09
1887,1.9586774424595887e-09,5.223139698529167e-09
1888,6.340614699951175e-09,2.53624587998047e-09
1889,6.265136853755848e-09,6.265136742733546e-10
1890,1.3108772956016423e-09,1.3108772956016423e-09
1891,4.461953917456185e-09,6.374220040683554e-10
1892,0.0,1.817868522380195e-08
1893,7.390100087434348e-09,6.158416554491453e-10
1894,4.411077725308132e-09,1.071261657159539e-08
1895,7.824199066419624e-09,3.611168697403855e-09
1896,5.89702897624278e-10,1.7691086373616827e-09
1897,4.078699600285063e-09,5.826713556089658e-10
1898,3.960848538042683e-09,1.6975064687230201e-09
1899,7.738609753005221e-09,1.1055156790007459e-09
1900,8.824790675987515e-09,5.191053142894475e-10
1901,0.0,2.794369402536745e-09
1902,3.928227076954727e-09,3.928227076954727e-09
1903,0.0,5.400220270956879e-10
1904,2.6873125946735854e-09,3.7622376325430196e-09
1905,1.5482277682110634e-09,2.580379465655369e-09
1906,1.5432553013283723e-09,1.0288369045596824e-09
1907,1.5428529565042481e-09,2.057137349353866e-09
1908,0.0,3.437972351250096e-09
1909,0.0,1.6502950117569526e-09
1910,3.740905363258662e-09,3.740905363258662e-09
1911,1.5961122423746588e-09,5.320374141248863e-10
1912,1.5628263128064646e-09,5.2094213387476884e-09
1913,2.6514948014977335e-09,7.42418571064718e-09
1914,2.0090231700464756e-09,4.018046340092951e-09
1915,0.0,3.062998032987707e-08
1916,0.0,1.0987462051303964e-09
1917,0.0,0.0
1918,2.2972752589112133e-09,0.0
1919,2.762354567309444e-09,0.0
1920,7.572231730534895e-10,5.300562211374427e-09
1921,7.572747429129834e-10,7.572747429129834e-10
1922,2.951174193910333e-09,3.6889677978990676e-09
1923,1.0615948120573648e-09,6.369568872344189e-09
1924,2.578324886925998e-09,0.0
1925,2.1996355847875293e-09,2.1996355847875293e-09
1926,2.229227691330493e-09,0.0
1927,1.1149224876660924e-09,5.574612327308159e-09
1928,3.4278122562625413e-09,2.2852082448565625e-09
1929,2.2280812750352652e-09,5.570202965543558e-09
1930,2.100720708497761e-09,0.0
1931,7.983749661377715e-09,4.5621426636444085e-09
1932,4.383814644626227e-09,1.0959536611565568e-09
1933,3.4411986593596566e-09,3.4411986593596566e-09
1934,1.1981580172459871e-09,0.0
1935,0.0,1.196828414151696e-09
1936,0.0,9.699771652549316e-09
1937,2.5182236296217297e-09,1.2591118148108649e-09
1938,3.8895642262559704e-09,1.2965214457594243e-09
1939,0.0,4.588215141154706e-09
1940,0.0,0.0
1941,0.0,0.0
1942,3.034211770724937e-09,9.102635090130207e-09
