year,petits_ADJ airs_NOUN,petits_ADJ nerfs_NOUN
1800,1.792173822678933e-07,1.9493819536364754e-07
1801,1.8335106233280385e-07,4.0480102825313224e-08
1802,6.042168365638645e-08,1.2531904758361634e-07
1803,9.166594150400442e-08,5.851017803593095e-08
1804,1.1370514130248921e-07,5.9324420931261557e-08
1805,7.675769686521505e-08,4.406460334394069e-07
1806,3.9190699663294026e-07,7.204172902675055e-08
1807,1.9643989901396708e-07,2.8469551160981155e-09
1808,1.087715486569607e-07,1.3596443970698147e-08
1809,1.6490922405409947e-07,3.6144488291256494e-08
1810,1.3338723192646285e-07,0.0
1811,1.2033968488367464e-07,7.521229861140455e-09
1812,1.787029546562735e-07,1.0135391192989118e-07
1813,2.386865673997818e-07,3.163315653864629e-08
1814,1.3530711839848664e-07,6.293354459785405e-08
1815,1.6183340889597275e-08,1.6183340889597275e-08
1816,2.5493642752394408e-08,2.0858434979231788e-08
1817,1.821541957269801e-07,5.60474440192138e-08
1818,6.318224166079744e-08,3.457141417584353e-08
1819,1.418093802385556e-07,1.7596784473994376e-08
1820,1.82743802312757e-07,6.40789963313182e-08
1821,1.6863144558509902e-07,1.8736827200882544e-08
1822,1.2431763707354548e-07,8.02049271442229e-09
1823,9.882686669016039e-08,2.2730180404550993e-08
1824,9.768490372152883e-08,1.0947446327236321e-07
1825,2.562383940585278e-07,2.905796137042671e-08
1826,9.953022583886195e-08,4.315912249808207e-08
1827,6.359918103271411e-08,5.346018383534101e-08
1828,1.3941897236691148e-07,1.7427371545863934e-08
1829,1.1830983287497432e-07,3.600733933240008e-08
1830,1.857756772860597e-07,1.461157062010443e-08
1831,9.354723573551382e-08,7.795603274018958e-09
1832,1.1365174401589684e-07,3.3824925083081325e-08
1833,8.687721697597794e-08,5.6759780875381693e-08
1834,1.0361329572106115e-07,2.42697808516823e-08
1835,1.240346492181743e-07,3.7059130875150004e-08
1836,1.1694104951054385e-07,5.040562456315456e-08
1837,1.2941677152156217e-07,8.349469027280065e-08
1838,8.016445707248465e-08,4.607878167917079e-08
1839,1.3773206630762758e-07,2.866504900111977e-08
1840,9.936714623348664e-08,3.503328827036967e-08
1841,8.282507391044192e-08,3.0818632978935057e-08
1842,7.312008731830133e-08,4.22620693996123e-08
1843,5.6706346396318e-08,6.615740488769006e-08
1844,5.3239045172404076e-08,2.6893950177964143e-08
1845,5.357019006169139e-08,7.700714377278928e-08
1846,7.43521662016633e-08,2.985795788390533e-08
1847,6.148275133455172e-08,2.6426796750911308e-08
1848,3.942158599556933e-08,1.126331028444838e-08
1849,2.5976186535103807e-08,2.513824481908955e-09
1850,4.2091777174846357e-08,3.326607966869233e-08
1851,3.9341575330809064e-08,6.06247212431299e-08
1852,7.0313888045348e-08,3.5156944022674e-08
1853,9.555090940693844e-08,2.20961471342207e-08
1854,7.325886675069171e-08,1.0495242008801142e-07
1855,8.066544765483741e-08,2.9718847827098216e-08
1856,6.730346280292565e-08,3.831119954611495e-08
1857,7.810414454079151e-08,3.905207179855097e-08
1858,7.976691640543265e-08,2.6425849952715907e-08
1859,8.198399092940178e-08,3.055303920973529e-08
1860,9.795173458448936e-08,2.0139609091529564e-08
1861,9.2432888898486e-08,8.488735048217677e-09
1862,9.939569925454528e-08,1.490935552794781e-08
1863,1.023897271967833e-07,6.493007020935693e-09
1864,8.582563137959909e-08,2.2535221688713136e-08
1865,5.883555331820389e-08,1.6003271596787272e-08
1866,1.1142253875107144e-07,9.43928881724787e-08
1867,8.443892340892489e-08,4.367530337390235e-09
1868,7.55800723117872e-08,1.9265508299781686e-08
1869,8.106641535832182e-08,1.904572499711321e-08
1870,9.461180727754481e-08,2.9243649279919737e-08
1871,5.2043770182308435e-08,4.142259157902117e-08
1872,6.47065334646868e-08,4.23313739617015e-09
1873,6.883905034893445e-08,2.3944018323618366e-08
1874,4.7796871516236905e-08,4.062734149101743e-08
1875,6.980262895472933e-08,3.89063856687244e-08
1876,9.250402532856583e-08,4.232210137899983e-09
1877,1.2740720611859047e-07,1.4843558382438005e-08
1878,1.5339284908932882e-07,6.03908887342186e-08
1879,1.1057878879228156e-07,2.6881030734671185e-08
1880,8.85662760907735e-08,5.711883233061599e-08
1881,1.289913882374094e-07,4.2532295907449225e-08
