year,seuls_ADJ nombres_NOUN
1800,6.288328968651058e-09
1801,2.1430643926123594e-08
1802,6.489736392722989e-08
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,1.4234775136401367e-08
1808,4.5321478125970316e-08
1809,0.0
1810,2.3401266702194334e-08
1811,0.0
1812,0.0
1813,0.0
1814,6.293354282149721e-09
1815,1.0788894222457657e-08
1816,2.3176038865813098e-09
1817,2.3353100786493997e-08
1818,9.536941902865692e-09
1819,2.070209959015301e-08
1820,1.0679833017945839e-08
1821,1.97229765852569e-09
1822,8.02049271442229e-09
1823,7.906149512848515e-09
1824,4.210556348027694e-09
1825,9.68598712347557e-09
1826,5.284790383086602e-09
1827,4.608636583469661e-09
1828,1.7427371545863934e-08
1829,4.286587973467704e-09
1830,2.922314124020886e-08
1831,6.236482441579483e-09
1832,0.0
1833,3.4750886612755494e-09
1834,1.4001796166951408e-08
1835,6.050470346963266e-09
1836,1.2097349788575684e-08
1837,1.530736071231331e-08
1838,3.787297142565649e-09
1839,1.8177836125232716e-08
1840,2.6752692505738196e-08
1841,4.494383976094696e-09
1842,4.695785538189057e-09
1843,1.5357969118667825e-08
1844,1.0428266250528395e-08
1845,2.17628883802945e-08
1846,4.0981511517657054e-09
1847,1.833696039454935e-08
1848,1.448139919091318e-08
1849,8.379414939696517e-10
1850,1.968808760466345e-08
1851,5.159551008659946e-09
1852,7.161600201754936e-09
1853,3.4637203327747557e-08
1854,6.754363734984281e-09
1855,1.0083180512765466e-08
1856,2.0708757375587084e-08
1857,3.905207268672939e-09
1858,1.9574704079872163e-09
1859,1.7313389832906978e-08
1860,9.154367819341758e-10
1861,1.4619487842537637e-08
1862,9.487771457372673e-09
1863,1.2486552236623538e-08
1864,3.3563094525845827e-09
1865,8.47231973466478e-09
1866,7.784980660119345e-09
1867,7.279217228983725e-09
1868,7.903798504571569e-09
1869,1.660396442559886e-08
1870,8.027668307875047e-09
1871,8.496941816815706e-09
1872,6.047339518033823e-09
1873,4.788803575905831e-09
1874,8.961913877669758e-09
1875,8.58229043387837e-09
1876,9.069021977836655e-09
1877,1.9791411176584006e-08
1878,1.1474268646338714e-08
1879,9.774920428640144e-09
1880,1.3477476912271413e-08
1881,1.2550513517339823e-08
1882,3.4608003574021495e-08
1883,1.9589950994713945e-08
1884,4.621187876807653e-09
1885,1.8047780159236027e-08
1886,5.808117542471791e-09
1887,5.876032105334161e-09
1888,7.60873763994141e-09
1889,1.50363277384713e-08
1890,1.2453334363726754e-08
1891,1.4023283867459213e-08
1892,2.5074049503359674e-09
1893,6.15841644346915e-09
1894,1.1342770278588432e-08
1895,1.8657704714541978e-08
1896,2.5357223876198987e-08
1897,1.2236098356765979e-08
1898,2.8291773368493978e-09
1899,8.844125432005967e-09
1900,1.142031713641245e-08
1901,1.2854099118442264e-08
1902,9.329538919189417e-09
1903,1.7820726228023887e-08
1904,2.579820090886642e-08
1905,7.2250627702885595e-09
1906,1.3374879870298173e-08
1907,1.7999951751335175e-08
1908,8.840499887696751e-09
1909,2.475442606453271e-08
1910,1.1757131268552712e-08
1911,2.074945903984826e-08
1912,3.125652625612929e-09
1913,1.2196876397752021e-08
1914,1.875088173619588e-08
1915,4.712304768617059e-09
1916,4.394984820521586e-09
1917,2.1932848426331475e-08
1918,2.2972752589112133e-09
1919,2.762354567309444e-09
1920,7.572231730534895e-09
1921,1.5145494858259667e-09
1922,1.9182632371439468e-08
1923,8.492758496458919e-09
1924,1.5469948877466777e-08
1925,8.798542339150117e-09
1926,7.802296586589819e-09
1927,1.2264147031260109e-08
1928,1.9424270192303084e-08
1929,1.7824650200282122e-08
1930,1.2604324695075775e-08
1931,6.843213995466613e-09
1932,5.4797681947604815e-09
1933,2.408838994938378e-08
1934,9.585264137967897e-09
1935,2.393656828303392e-09
1936,1.33371855781661e-08
1937,1.2591118370153254e-08
1938,9.075650453382877e-09
