year,ces_DET oies_NOUN,ces_DET noix_NOUN
1800,1.6978488659447066e-07,1.6978488481811382e-07
1801,1.2620267497709392e-07,1.1429676227692198e-07
1802,8.727576528144709e-08,5.460329930428998e-07
1803,7.411289004721766e-08,1.7553053055507917e-07
1804,1.1617699158250616e-07,6.673997354766925e-08
1805,2.2743021688143017e-08,6.538618801954499e-08
1806,2.305335300434308e-08,2.881669214360727e-08
1807,6.547996900252429e-08,4.555128274574827e-08
1808,1.3823051503436545e-07,7.251436784372345e-08
1809,3.6144488291256494e-08,8.358413250419972e-08
1810,1.6380887757350138e-08,1.521082388933337e-07
1811,5.515568934910675e-08,2.03073220461647e-07
1812,2.6672082320544632e-09,4.800974906515876e-08
1813,2.8757416448144113e-09,8.339650969801937e-08
1814,0.0,5.664018942752591e-08
1815,1.8880564667256294e-08,6.47333635583891e-08
1816,1.622322720606917e-08,1.3210341798242098e-07
1817,4.203558356952186e-08,7.940054391752938e-08
1818,2.2650237241350624e-07,9.298518044431603e-08
1819,3.1053151161586356e-09,3.415846538956657e-08
1820,1.1866481131050932e-08,4.390598018488845e-08
1821,1.9722976807301507e-08,4.043210077853132e-08
1822,4.0102463572111446e-08,4.511527151862538e-08
1823,1.2847493069401139e-08,7.609669250285833e-08
1824,4.210556348027694e-09,4.0421341829244284e-08
1825,6.516027784009282e-08,4.050503776831249e-08
1826,2.906634755106552e-08,7.486786879340457e-08
1827,1.474763688946723e-08,4.14777294177604e-08
1828,1.3024667566696735e-07,2.017906308715567e-08
1829,6.858540846366168e-09,4.8009785036384756e-08
1830,6.992679768558219e-08,3.444155893816969e-08
1831,4.365537531469954e-08,7.327866846651432e-08
1832,1.3529969367098715e-09,3.24719258149031e-08
1833,8.108540172635514e-09,1.1699465130021736e-07
1834,4.387229601832132e-08,6.534171781424902e-08
1835,6.882410019670715e-08,4.840376277570613e-08
1836,2.9571300075303952e-08,1.6801875224459195e-08
1837,2.435261814426326e-08,5.427155080894863e-08
1838,5.680945602826171e-08,3.09295935529974e-08
1839,5.523265411699896e-08,8.180025901083354e-08
1840,1.9109066218270243e-08,2.86635986057604e-08
1841,2.6966304744746594e-08,4.494384064912538e-08
1842,9.391571076378114e-09,3.8237110366878824e-08
1843,1.063243981747064e-08,3.18973185642335e-08
1844,1.756339607084101e-08,2.0307677539577185e-08
1845,2.2320911785556063e-08,3.4039389529283426e-08
1846,2.3418005756781213e-08,1.8734403806064392e-08
1847,4.314578827546711e-08,1.6179670936367074e-08
1848,4.1835152453373325e-08,3.298540857121779e-08
1849,1.256912218750017e-08,3.351766042491988e-08
1850,2.4440385715251978e-08,2.5798184921654865e-08
1851,7.094382636907426e-09,2.4507866847045534e-08
1852,3.776116352938175e-08,5.078225484567156e-08
1853,3.5234398509942366e-08,2.9262465783830294e-08
1854,4.78001130344019e-08,3.117398783558656e-08
1855,4.2455496895854594e-08,1.4328730202350926e-08
1856,3.313401081284084e-08,2.6921384010947236e-08
1857,2.3919394687155204e-08,4.490988336769419e-08
1858,1.5170395550878624e-08,2.593648262827486e-08
1859,2.2405563404603868e-08,2.1896344959415615e-08
1860,2.1512764458719857e-08,1.785101780282794e-08
1861,1.4147891413962554e-08,3.254015012998934e-08
1862,2.48489247234307e-08,3.07223065876272e-08
1863,1.548332484446746e-08,1.4983862151041194e-08
1864,1.7261020501813107e-08,3.931677072799289e-08
1865,1.6473956032658776e-08,1.6473955588569567e-08
1866,2.8707117127879656e-08,1.0704348185619494e-08
1867,2.135237053835226e-08,1.5043715606566366e-08
1868,3.062721931623713e-08,2.7169306804353255e-08
1869,2.5882651910613674e-08,1.2208798083612749e-08
1870,1.834895568819661e-08,2.752343464251794e-08
1871,1.0621176826930423e-08,2.8677177965619194e-08
1872,1.5118347462816928e-08,1.0280476914203973e-08
1873,2.2148216927142528e-08,3.6514626877703904e-08
1874,2.8080662239915455e-08,1.0754296786430473e-08
1875,1.4303817685856757e-08,1.6020276105699338e-08
1876,1.8138044621807126e-08,2.4788660235586235e-08
1877,1.1751150386096754e-08,1.8554447978047506e-08
1878,1.932508364443919e-08,2.1740719391427632e-08
1879,2.5659166347224982e-08,3.1157559199357365e-08
1880,2.695495404658743e-08,2.0537108014195837e-08
1881,1.4642266288333872e-08,2.02202721233391e-08
1882,1.7304001120876933e-08,3.5939078824043236e-08
1883,2.4013488364449387e-08,5.371438005496998e-08
1884,3.1027976632458376e-08,3.564916450926603e-08
1885,1.5469525438405185e-08,4.125206753968769e-08
1886,2.2587123282846733e-08,2.5168508610562412e-08
1887,3.852065377785152e-08,3.7867763147403366e-08
1888,3.360525724360741e-08,3.106901136362694e-08
1889,2.255449160770695e-08,2.8193114509633688e-08
1890,1.7696843102044113e-08,2.8839301002836493e-08
1891,4.0157585701194876e-08,2.0397503686098162e-08
1892,3.259626435436758e-08,2.9462008832581432e-08
