year,les_DET ombres_NOUN,les_DET nombres_NOUN
1800,4.150297058913566e-06,8.731344749435266e-06
1801,4.281366294378586e-06,6.212505454072925e-06
1802,4.0034960591128765e-06,7.297596596345102e-06
1803,4.752976792588015e-06,4.942159787191258e-06
1804,5.591326740272962e-06,6.325466706869065e-06
1805,4.068157970493758e-06,4.753291726444786e-06
1806,7.394362818047284e-06,5.221584245873601e-06
1807,3.8974816121140066e-06,1.293656398360099e-05
1808,4.899252147083644e-06,7.586815513604961e-06
1809,3.503756389022783e-06,5.161884821802687e-06
1810,5.7543717559838115e-06,8.443177776484845e-06
1811,4.497695613281394e-06,6.227578875694917e-06
1812,3.915461785908292e-06,6.7427022401034264e-06
1813,4.788109890796477e-06,5.392015580696352e-06
1814,4.364441124948826e-06,5.409137852296908e-06
1815,3.0235875101425336e-06,5.621013798418062e-06
1816,2.952627394137153e-06,8.549640483579424e-06
1817,4.427748109492313e-06,4.824750746479367e-06
1818,2.965988866066027e-06,3.9089540422310165e-06
1819,3.320616755786432e-06,4.723183948840415e-06
1820,3.7130219325831604e-06,3.507731896945643e-06
1821,4.440628181612283e-06,5.3932479460172544e-06
1822,3.819759584189342e-06,5.4268656839440155e-06
1823,3.5320721991638493e-06,3.5212012932106518e-06
1824,3.6387628767897695e-06,4.334346691337032e-06
1825,3.5142522101239138e-06,4.048742816564754e-06
1826,3.257192577876822e-06,5.014385394019882e-06
1827,3.1458552918195437e-06,4.919258664415338e-06
1828,3.0736381688711845e-06,5.151164224059812e-06
1829,3.566441343139104e-06,4.871278726170658e-06
1830,3.472335340148902e-06,8.132382312453501e-06
1831,2.9451789345102952e-06,5.809283308622071e-06
1832,3.23230978338529e-06,5.260452091704337e-06
1833,3.4669799902076193e-06,6.181024048146355e-06
1834,3.855161267551921e-06,3.978377080215978e-06
1835,3.792132368118928e-06,6.871821526033273e-06
1836,3.400027441813336e-06,5.5768782019072205e-06
1837,2.957103532708061e-06,6.783943682364679e-06
1838,3.2160464833452806e-06,6.953477594606738e-06
1839,3.377581577979072e-06,5.76517051342762e-06
1840,3.1580916157736283e-06,6.704097252452357e-06
1841,3.0921362466074243e-06,5.392618788846448e-06
1842,3.0931810677259364e-06,6.859200908593266e-06
1843,3.2157224296724962e-06,8.201155125675541e-06
1844,3.1905005641874595e-06,6.526448352417447e-06
1845,3.1187893796413846e-06,7.0059761441143564e-06
1846,2.5426098986258694e-06,7.5031287281035475e-06
1847,3.0757554299043477e-06,7.472311153833289e-06
1848,3.0821245431411626e-06,5.700844113221137e-06
1849,2.933633242108158e-06,6.385952115550708e-06
1850,3.28044295372365e-06,6.163729537433937e-06
1851,2.764874423633046e-06,7.317533274431298e-06
1852,3.2402984047052996e-06,6.567187142536568e-06
1853,2.955508975333032e-06,6.425201497961552e-06
1854,3.868691685227077e-06,6.292988601330762e-06
1855,3.882024390833294e-06,5.611024505469686e-06
1856,3.877197109147801e-06,6.377779250499316e-06
1857,3.6533213929601516e-06,5.710877339026865e-06
1858,3.6482354204281364e-06,5.2636379237469555e-06
1859,4.356354082801772e-06,5.609028704611774e-06
1860,3.815540392082539e-06,4.937408391469944e-06
1861,3.7025030401593995e-06,7.853022822246203e-06
1862,4.0996206962518045e-06,5.005476765518324e-06
1863,3.8078988779943757e-06,6.2078142022414795e-06
1864,3.733654729387581e-06,6.559187951893364e-06
1865,3.4628254184099205e-06,5.9470976481179605e-06
1866,3.540220053110943e-06,5.609078726820371e-06
