year,divers_DET nombres_NOUN
1800,1.5720821977538435e-08
1801,1.1905912700171939e-08
1802,4.0281122437590966e-08
1803,1.1702034896643454e-08
1804,0.0
1805,0.0
1806,6.339671898558663e-08
1807,0.0
1808,9.064295980465431e-09
1809,4.518061036407062e-09
1810,7.020380365929668e-08
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,3.4613449884091096e-08
1815,0.0
1816,2.3176038865813098e-09
1817,1.5568733857662664e-08
1818,1.1921177378582115e-09
1819,1.2421260464634543e-08
1820,3.5599443393152796e-09
1821,2.1695274909916407e-08
1822,5.012807946513931e-09
1823,0.0
1824,2.5263338088166165e-09
1825,1.4969252504215547e-08
1826,4.403992281964975e-09
1827,1.474763688946723e-08
1828,1.7427371545863934e-08
1829,1.0287811491593857e-08
1830,4.174734336004349e-09
1831,3.274153215215847e-08
1832,1.0823975493678972e-08
1833,1.50587169400751e-08
1834,6.534171426153534e-09
1835,3.025235173481633e-09
1836,8.736974699274924e-09
1837,6.262101948095733e-09
1838,2.840472923537618e-08
1839,1.3982949909063791e-08
1840,1.3376346252869098e-08
1841,1.6693427085101575e-08
1842,2.0124795163667386e-09
1843,2.126487963494128e-08
1844,9.879410178825765e-09
1845,6.696273757711424e-09
1846,1.5221703009160592e-08
1847,2.1572894581822766e-09
1848,1.045878850192139e-08
1849,5.02764896381791e-09
1850,1.1541293254424545e-08
1851,6.449438760824933e-09
1852,2.6042181744401205e-09
1853,1.7318601663873778e-08
1854,1.558699302961486e-08
1855,3.714855978387277e-09
1856,2.5885946719483854e-09
1857,4.881509085841174e-10
1858,1.3702292633865909e-08
1859,1.6804172275897145e-08
1860,1.4189270203246451e-08
1861,3.772770984511453e-09
1862,1.3553959066214816e-09
1863,1.1987090431375691e-08
1864,9.589456340108882e-09
1865,8.943004559114343e-09
1866,9.244664589402873e-09
1867,1.94112459439566e-09
1868,1.8277534152844055e-08
1869,3.4184632902167778e-09
1870,8.027668307875047e-09
1871,4.248470908407853e-09
1872,3.628403577593531e-09
1873,1.1373408881354408e-08
1874,7.169530746864439e-09
1875,6.865832347102696e-09
1876,6.04601479992084e-10
1877,1.1132669008873108e-08
1878,6.6429977074733415e-09
1879,5.498392852132383e-09
1880,1.2835692508872398e-08
1881,6.9725074602899895e-09
1882,6.655385131892899e-09
1883,9.479008689083912e-09
1884,3.300848483434038e-09
1885,1.160214413431504e-08
1886,8.38950331427668e-09
1887,9.140494583448344e-09
1888,5.706553452000662e-09
1889,1.628935564212952e-08
1890,1.1142456735058204e-08
1891,5.736798147637501e-09
1892,6.268512375839919e-10
1893,7.390100087434348e-09
1894,5.041231432301174e-09
1895,7.824199066419624e-09
1896,7.66613794667137e-09
1897,6.992056267307589e-09
1898,4.52668391659472e-09
1899,2.2110313580014918e-09
1900,1.038210628578895e-09
1901,2.794369402536745e-09
1902,7.856454153909453e-09
1903,1.1880484152015924e-08
1904,7.524475265086039e-09
1905,7.2250627702885595e-09
1906,9.773950537805831e-09
1907,8.742834012309686e-09
1908,9.822778146428846e-09
1909,2.7504918342913243e-09
1910,6.947395991829808e-09
1911,1.649316061502759e-08
1912,7.293189607793238e-09
1913,3.181793939432964e-09
1914,6.027069510139427e-09
1915,2.709575319670421e-08
1916,5.493730803607377e-09
1917,3.289927441585405e-09
1918,2.8715941624568586e-08
1919,1.1049418269237776e-08
1920,4.543339038320937e-09
1921,5.300923255902035e-09
1922,1.696925089333945e-08
1923,1.0615948120573648e-09
1924,2.707241186783449e-08
1925,2.1996355847875293e-09
1926,8.916910765321973e-09
1927,3.3447675740205796e-09
1928,4.570416489713125e-09
1929,0.0
1930,7.352522590764465e-09
1931,9.124285327288817e-09
1932,8.767629289252454e-09
1933,3.4411986593596566e-09
1934,1.7972370258689807e-08
1935,1.3165112555668657e-08
1936,2.5461901032031165e-08
1937,1.6368453259474336e-08
1938,6.482607339819424e-09
1939,1.2235240376412548e-08
1940,1.2678914806940611e-08
1941,8.854508237732261e-09
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,1.6065930807940276e-08
1945,4.357008087652048e-09
1946,6.960552134671616e-09
1947,4.7683483828109274e-09
1948,8.697510267552389e-09
1949,1.1780409536754632e-08
1950,6.381216888229346e-09
1951,1.1727541604500402e-08
1952,4.2179215675730575e-09
1953,1.0773827163745864e-08
1954,2.9317608341017376e-09
1955,1.3139850985055546e-08
1956,1.4825940475304833e-08
1957,7.068030161150318e-09
1958,1.9026160202884057e-08
1959,1.3176271629333769e-08
1960,1.4533750203327145e-08
1961,1.389631876236308e-08
1962,1.9660065575521912e-08
1963,1.6165133231993423e-08
1964,2.1293889318485526e-08
1965,9.849678406226303e-09
1966,1.6617224929404983e-08
1967,1.1832804958089582e-08
1968,1.527081394669949e-08
1969,5.450109252791435e-09
1970,1.74751555448438e-08
1971,2.569198631618974e-09
1972,1.0773308467548759e-08
1973,1.0475087464101307e-08
1974,1.3501372464475025e-08
1975,1.028066431985053e-08
1976,9.141642998145016e-09
1977,9.402850942308305e-09
1978,2.970295565063452e-09
1979,2.3407893401383717e-09
1980,8.527726080842513e-09
1981,6.325549417596221e-09
1982,8.069752865935698e-09
1983,3.78918940668882e-09
1984,4.059305780401701e-09
1985,5.414002135495366e-09
1986,5.994485352545098e-09
1987,1.8332451112712533e-09
1988,5.99655392008458e-09
1989,5.488122178931576e-10
1990,5.993515905799995e-09
1991,4.10302547493302e-09
1992,2.2039776670368383e-09
1993,5.539207315052863e-09
1994,2.637463358823311e-09
1995,3.253470381991974e-09
1996,2.6690460952494277e-09
1997,1.917957792585412e-09
1998,2.86087753487152e-09
1999,9.140402323914998e-10
2000,2.2090156370779823e-09
2001,1.7524847129024579e-09
2002,4.38122149670761e-10
2003,2.9168460979889232e-09
2004,2.642874807889939e-09
2005,2.702249757291497e-09
2006,4.1178899179428186e-10
2007,3.1955835755326234e-09
2008,6.811903485726134e-09
2009,2.860915504498962e-09
2010,2.8342759250676863e-09
2011,1.529588788962144e-09
2012,1.3617010852229328e-09
2013,1.3945624655065103e-09
2014,2.815078836704288e-09
2015,2.21657536769726e-09
2016,1.6570720351438695e-09
2017,1.7609279590047322e-09
2018,1.290733298020541e-09
2019,1.7856913725466939e-09
