year,premiers_ADJ nombres_NOUN
1800,2.3266817095191072e-07
1801,1.7144515140898875e-07
1802,3.5805442166747525e-07
1803,2.2428901047533145e-07
1804,2.4718508484511403e-07
1805,9.381496113292087e-08
1806,8.06867319624871e-08
1807,2.1921555060089304e-07
1808,8.837688625362716e-08
1809,1.0843346842648316e-07
1810,2.8315534450484847e-07
1811,1.178326058948187e-07
1812,9.868670503010435e-08
1813,1.782959770935122e-07
1814,4.72001566720337e-08
1815,7.012781111370714e-08
1816,1.5759707139295642e-07
1817,2.490997452753163e-08
1818,4.410835785506606e-08
1819,6.624672010957511e-08
1820,6.289234733003468e-08
1821,1.311577904061778e-07
1822,9.925359734097583e-08
1823,1.0574474629265751e-07
1824,4.21055617039201e-08
1825,6.868245350233337e-08
1826,8.807984386294265e-08
1827,7.650336897313537e-08
1828,6.787502826455238e-08
1829,5.1439055681612444e-08
1830,1.2106730196137505e-07
1831,8.263339168479433e-08
1832,8.253281436054749e-08
1833,8.80355770505048e-08
1834,5.694063887062839e-08
1835,2.3596834353156737e-07
1836,9.409050250042128e-08
1837,3.1519246590505645e-07
1838,1.8179025573772378e-07
1839,8.180025901083354e-08
1840,8.599079848181646e-08
1841,1.0208672307499e-07
1842,8.586579269831418e-08
1843,1.6775626932030718e-07
1844,1.4874001408315962e-07
1845,1.0435026354116417e-07
1846,1.1006462585783083e-07
1847,1.1271837507820237e-07
1848,9.010648227558704e-08
1849,1.0558062513155164e-07
1850,7.5357853290825e-08
1851,9.093708541740853e-08
1852,1.3021090694564919e-07
1853,1.3317408331658953e-07
1854,1.0391328686409906e-07
1855,1.0295457997244739e-07
1856,1.1596903704003125e-07
1857,1.6792391477338242e-07
1858,1.3261862363833643e-07
1859,1.2832276752305916e-07
1860,1.6065915531271457e-07
1861,1.7401906404757028e-07
1862,1.206302329137543e-07
1863,2.8818962505283707e-07
1864,9.014088675485254e-08
1865,1.0825741725284388e-07
1866,9.925850008585257e-08
1867,1.4412850646294828e-07
1868,1.472082402642627e-07
1869,2.1731659671786474e-07
1870,1.364703621220542e-07
1871,1.667524855974989e-07
1872,1.354603966774448e-07
1873,2.0472135986437934e-07
1874,1.8999257633822708e-07
1875,2.0769142849985656e-07
1876,1.408721459483786e-07
1877,1.9853258947932773e-07
1878,1.4312639962099638e-07
1879,2.0038586967530136e-07
1880,1.7584898159839213e-07
1881,2.112669790221844e-07
1882,1.7437109534057527e-07
1883,2.9448119676089846e-07
1884,2.561458529726224e-07
1885,1.637191502368296e-07
1886,1.697261069466549e-07
1887,1.8999170947608945e-07
1888,1.32518849227381e-07
1889,1.2968833118520706e-07
1890,1.415747448163529e-07
1891,3.493072711080458e-07
1892,2.1751738188413583e-07
1893,3.855168699828937e-07
1894,3.812431259575533e-07
1895,4.6945191911618167e-07
1896,2.3352234279627737e-07
1897,1.6023462023895263e-07
1898,1.7767234794519027e-07
1899,1.2658153991651488e-07
1900,1.6767101840287069e-07
1901,2.011945952062888e-07
1902,2.474783116213075e-07
1903,2.1276868267250393e-07
1904,2.2949649292058893e-07
1905,1.8217478725546243e-07
1906,2.253152757702992e-07
1907,2.3194223786049406e-07
1908,2.8436943466658704e-07
1909,1.4467586595401372e-07
1910,1.6406542613367492e-07
1911,2.468653690357314e-07
1912,2.1046061249307968e-07
1913,2.1689227480692352e-07
1914,2.5112788648584683e-07
1915,1.9438256515513785e-07
1916,2.3732917497909511e-07
1917,1.8862249362427974e-07
1918,4.9391417178412667e-08
1919,8.65537757022139e-08
1920,1.771902162772676e-07
1921,1.4463947195508808e-07
1922,1.8592398021155532e-07
1923,1.1677543199084539e-07
1924,1.405187077807568e-07
1925,1.1658068643782826e-07
1926,1.6273362746233033e-07
1927,1.371354727552898e-07
1928,1.4054030827992392e-07
1929,1.3925507857948105e-07
1930,1.7015837272538192e-07
1931,1.437074956811557e-07
1932,8.658033578967661e-08
1933,2.0303072290062119e-07
1934,1.4976974682667787e-07
1935,5.864459140525469e-08
1936,1.4428410111122503e-07
1937,8.184226629737168e-08
1938,8.297737252860315e-08
1939,1.514111005462837e-07
1940,9.63597486247636e-08
1941,1.4462362685208063e-07
1942,8.49579322448335e-08
1943,1.6258117341294565e-07
1944,1.285274464635222e-07
1945,1.0892519952676594e-07
1946,1.1554516277101357e-07
1947,1.3709001223105588e-07
1948,1.3372421392432443e-07
1949,1.3841982138274034e-07
1950,2.127072349367154e-07
1951,1.0768015812345766e-07
1952,1.8137062340883858e-07
1953,1.2282163197596674e-07
1954,1.338837449793573e-07
1955,1.7551086273215333e-07
1956,1.0203735456570939e-07
1957,1.298750476053101e-07
1958,1.2325642728683306e-07
1959,1.4648912838310935e-07
1960,1.5779500017742976e-07
1961,2.390166855548159e-07
1962,8.498221859554178e-08
1963,1.3578711843820201e-07
1964,1.3445570345993474e-07
1965,1.1217689177556167e-07
1966,9.970334247100254e-08
1967,7.148986469474039e-08
1968,8.623518255035378e-08
1969,9.401438916256666e-08
1970,8.829552200495527e-08
1971,6.834068955186012e-08
1972,1.0260293947794707e-07
1973,9.262182487645987e-08
1974,7.538265833773039e-08
1975,1.4964078332013742e-07
1976,4.742227233123231e-08
1977,5.465406971438824e-08
1978,5.346532105932056e-08
1979,1.1177269243489718e-07
1980,5.173487238607777e-08
1981,5.3767170271612486e-08
1982,7.821452641110227e-08
