year,pourras_VERB être_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,0.0
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,2.3401267590372754e-09
1811,7.521229861140455e-09
1812,2.6672082320544632e-09
1813,2.0130190847567064e-08
1814,1.2586708564299443e-08
1815,5.394447111228828e-09
1816,0.0
1817,1.556873407970727e-09
1818,4.768470951432846e-09
1819,4.140420006848444e-09
1820,7.119888678630559e-09
1821,5.9168927535324656e-09
1822,6.015369535816717e-09
1823,9.882686891060644e-10
1824,9.263223965660927e-09
1825,8.805443041381977e-10
1826,6.1655889282974385e-09
1827,3.6869092223668076e-09
1828,1.0089530988466322e-08
1829,4.286587973467704e-09
1830,1.3567886369969528e-08
1831,0.0
1832,4.058990921151917e-09
1833,3.4750886612755494e-09
1834,3.733812370398937e-09
1835,9.075705520444899e-09
1836,8.064899859050456e-09
1837,1.3915781860163179e-09
1838,4.418513555037862e-09
1839,1.0487212875887053e-08
1840,1.7198159341091923e-08
1841,6.420548537278137e-10
1842,2.6162233268678392e-08
1843,1.5357969118667825e-08
1844,2.6345094994439933e-08
1845,3.348136878855712e-09
1846,5.269050973311096e-09
1847,9.707802561820245e-09
1848,1.6090443422100975e-09
1849,6.703531951757213e-09
1850,2.7155984128057753e-09
1851,7.739326512989919e-09
1852,8.463708844885787e-09
1853,1.4332636411040767e-08
1854,1.2469595134234623e-08
1855,1.4328730202350926e-08
1856,7.765783571755946e-09
1857,1.8549734193129552e-08
1858,1.565976326389773e-08
1859,1.3748867822016564e-08
1860,1.4646988510946812e-08
1861,2.357981809808507e-09
1862,4.517986429419807e-09
1863,7.491931519609807e-09
1864,8.151037178549814e-09
1865,1.4591217123438582e-08
1866,1.1190909532388105e-08
1867,1.552899675516528e-08
1868,1.0867722721741302e-08
1869,1.12320943657096e-08
1870,4.587239033071455e-09
1871,4.248470908407853e-09
1872,7.861540751719076e-09
1873,6.584604861359367e-09
1874,8.364453130127458e-09
1875,1.4303817685856757e-08
1876,3.02300739996042e-09
1877,4.329371083855449e-09
1878,7.2469061862534545e-09
1879,4.27652757650776e-09
1880,3.8507077526617195e-09
1881,9.761510710859511e-09
1882,4.6587693702804245e-09
1883,1.0110942305630033e-08
1884,6.601696966868076e-09
1885,8.379326565943757e-09
1886,1.097088819790315e-08
1887,1.3057849246322917e-09
1888,2.53624587998047e-09
1889,8.771191772893872e-09
1890,5.898947996740844e-09
1891,6.3742202627281586e-09
1892,2.5074049503359674e-09
1893,3.695050043717174e-09
1894,1.8904617871129403e-09
1895,1.2037228991346183e-08
1896,3.5382172747233653e-09
1897,3.4960281336537946e-09
1898,7.921697076085366e-09
1899,1.1055156790007459e-08
1900,7.26747462209687e-09
1901,3.912117296778206e-09
1902,1.4730851205513318e-08
1903,5.400220270956879e-09
1904,6.987012746151322e-09
1905,5.676835002077496e-09
1906,1.3374879870298173e-08
1907,4.114274698707732e-09
1908,1.4243028090277221e-08
1909,9.901770070541716e-09
1910,7.481810726517324e-09
1911,1.5429085564733214e-08
1912,8.856016364688912e-09
1913,9.545381374209683e-09
1914,1.339348720819089e-08
1915,7.068456930880984e-09
1916,6.592477230782379e-09
1917,1.864292187292449e-08
1918,1.1486376294556067e-08
1919,1.8415696745321952e-09
1920,9.086678076641874e-09
1921,1.5145495524393482e-08
1922,7.377935595798135e-09
1923,2.1231896241147297e-09
1924,0.0
1925,1.2097995494286806e-08
1926,1.1146138456652466e-09
1927,5.574612327308159e-09
1928,3.4278122562625413e-09
1929,3.342121912552898e-09
1930,9.453243521306831e-09
1931,1.4826963656844327e-08
1932,4.383814644626227e-09
1933,5.735331320977366e-09
1934,1.0783422155213884e-08
1935,1.196828414151696e-09
1936,3.6374143697059935e-09
1937,1.7627565185307503e-08
1938,6.482607339819424e-09
1939,7.647025235257843e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,1.8205270180260413e-08
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,1.5249527862692958e-08
1946,8.352662561605939e-09
1947,1.3112957830685446e-08
1948,1.0871888278529696e-08
1949,3.9268033269479474e-09
1950,6.381216888229346e-09
1951,9.595261474260042e-09
1952,8.435843135146115e-09
1953,4.3095309543161875e-09
1954,1.172704333640695e-08
1955,9.385607846468247e-09
1956,6.976913269340912e-09
1957,1.3252556385623393e-08
1958,4.9633461784992505e-09
1959,5.425523585955716e-09
1960,7.612916519406099e-09
1961,1.042223907177231e-08
1962,1.1415521861124489e-08
1963,9.052474325699222e-09
1964,6.6923653285755336e-09
1965,7.1136563306595235e-09
1966,5.539074976468328e-09
1967,6.409436092980059e-09
1968,9.431973424511852e-09
1969,6.8126366770115965e-09
1970,3.6789800095249348e-09
1971,3.083038491169532e-09
1972,1.5390440033513642e-09
1973,6.615844760915479e-09
1974,5.625571564138454e-09
1975,5.140332159925265e-09
1976,2.285410749536254e-09
1977,3.526069214387917e-09
1978,7.72276909088987e-09
1979,4.681578680276743e-09
1980,4.548120546843393e-09
1981,3.795329828193417e-09
1982,4.345251713999687e-09
1983,1.4525227243211702e-08
1984,8.118611560803402e-09
