year,voudrez_VERB être_VERB
1800,6.288328968651058e-09
1801,5.9529565277216534e-08
1802,2.9091921760482364e-08
1803,2.7304748684287006e-08
1804,1.2359254952798437e-08
1805,4.5486043376286034e-08
1806,3.1698359492793315e-08
1807,8.540865792383556e-09
1808,1.1330369531492579e-08
1809,2.259030518203531e-09
1810,5.148278958699848e-08
1811,2.5070768572277302e-08
1812,1.0668832928217853e-08
1813,3.4508900625951355e-08
1814,3.1466771410748606e-09
1815,1.3486118000116676e-08
1816,9.270415546325239e-09
1817,2.6466848268569265e-08
1818,1.668964877410417e-08
1819,1.7596784473994376e-08
1820,1.898636980968149e-08
1821,1.4792232327920374e-08
1822,3.909990198280866e-08
1823,1.581229902569703e-08
1824,2.3579115548955087e-08
1825,1.937197424695114e-08
1826,2.2019960965735663e-08
1827,1.566936447261469e-08
1828,1.559291185060374e-08
1829,1.628903412154159e-08
1830,2.7135772739939057e-08
1831,3.1182412207897414e-09
1832,6.764984572527055e-09
1833,9.266902800675325e-09
1834,4.947301235347368e-08
1835,4.0840674842002045e-08
1836,1.344150035720304e-08
1837,1.87863058442872e-08
1838,2.7773513266993177e-08
1839,1.1885507689157748e-08
1840,1.9109066329292546e-08
1841,1.5409316489467528e-08
1842,2.95163662400455e-08
1843,2.4809025944705354e-08
1844,2.5796238034558883e-08
1845,1.5066614622583074e-08
1846,1.2879903366069811e-08
1847,8.089835468183537e-09
1848,1.045878850192139e-08
1849,1.4245005175439474e-08
1850,1.8330290174617403e-08
1851,2.3217978650791338e-08
1852,1.5625309046640723e-08
1853,2.5679307569248522e-08
1854,1.7665259477439577e-08
1855,1.539011762474729e-08
1856,1.7084724746041502e-08
1857,1.7085282522089074e-08
1858,1.3702292633865909e-08
1859,1.3748867822016564e-08
1860,7.323494255473406e-09
1861,1.0375120318428799e-08
1862,3.162590545002786e-08
1863,1.748117206545885e-08
1864,8.63051052846231e-09
1865,1.1296426905005319e-08
1866,9.244664589402873e-09
1867,8.249779526181555e-09
1868,5.9278488784286765e-09
1869,1.2697149998075474e-08
1870,1.3761717099214366e-08
1871,1.0621176826930423e-08
1872,1.69325495846806e-08
1873,8.979006871356887e-09
