year,quelques_DET airs_NOUN,quelques_DET nerfs_NOUN
1800,3.4585809238762977e-07,5.345079578944478e-08
1801,2.809795489611133e-07,5.714838202663941e-08
1802,2.0140561218795483e-07,3.3567602031325805e-08
1803,1.8918289867997373e-07,1.150700146279604e-07
1804,4.202146612897195e-07,1.7055771373009065e-07
1805,3.041879172993589e-07,1.364581301288581e-07
1806,3.429186392622796e-07,7.780506905419315e-08
1807,1.992868590150465e-07,3.131650672116848e-08
1808,1.450287356874469e-07,5.6651849433819734e-08
1809,1.8524050737767084e-07,8.810219043198231e-08
1810,2.948559623128233e-07,1.0998595456612748e-07
1811,1.5293167621166504e-07,1.0028307073639553e-08
1812,5.521121124729689e-07,8.268345474959915e-08
1813,5.665210984773239e-07,8.339650747757332e-08
1814,2.6117418938653714e-07,9.754699448194515e-08
1815,1.8071397800412115e-07,7.012781111370714e-08
1816,1.2515060632267705e-07,4.6352077731626196e-08
1817,2.6933909857973504e-07,4.203558034987509e-08
1818,2.0266001610202977e-07,4.2916239895163244e-08
1819,1.9977527188075328e-07,6.314140676977331e-08
1820,2.254631459308598e-07,5.577246042776096e-08
1821,2.1004970562898961e-07,3.7473655178921206e-08
1822,1.9148926355683216e-07,5.3135764233047666e-08
1823,1.8381797417532653e-07,5.83078527682801e-08
1824,1.1957980028398651e-07,7.747424035642325e-08
1825,2.932212508355292e-07,4.402721387464226e-08
1826,1.1186140369545683e-07,4.051672819471719e-08
1827,1.4931982822430356e-07,5.8068820862899884e-08
1828,1.6051527040872315e-07,3.66892045633449e-08
1829,1.8603791507310063e-07,2.743416338546467e-08
1830,3.1832348135196753e-07,2.7135773184028267e-08
1831,1.38761739654214e-07,2.0268567268999504e-08
1832,1.4882965615470312e-07,3.382492430592521e-08
1833,3.104412300558579e-07,4.170106393530659e-08
1834,2.2962945855908856e-07,6.254136053485126e-08
1835,2.1101014624491654e-07,3.857174846189082e-08
1836,1.8885307717653177e-07,4.838939915430274e-08
1837,2.0456199401053254e-07,7.375364674544471e-08
1838,1.6979716122023092e-07,7.195864615283654e-08
1839,1.7059198764712846e-07,6.432156895996854e-08
1840,1.7389249640231697e-07,4.140297632515555e-08
1841,1.489567313939233e-07,3.4028906803484915e-08
1842,1.2678621041928295e-07,2.6162233268678392e-08
1843,1.5417037246834298e-07,3.2488010948128476e-08
1844,1.1306436009661525e-07,4.665277231197251e-08
1845,6.807878349945895e-08,4.464182357111213e-08
1846,8.313391930414582e-08,3.688335681317767e-08
1847,8.41342897572872e-08,2.2651539310913904e-08
1848,7.642960653253539e-08,2.5744710252517677e-08
1849,7.122502498901895e-08,3.351765798242923e-08
1850,7.53578577317171e-08,2.9192683825840504e-08
1851,6.90089914101577e-08,4.2566295377355345e-08
1852,1.2109614822009007e-07,2.7344290387532055e-08
1853,1.260077588938202e-07,7.345476404907458e-08
1854,1.1534374833033212e-07,3.065442122363038e-08
1855,9.127931832608738e-08,3.874064091746732e-08
1856,9.991975602474668e-08,4.2970670577346937e-08
1857,1.0446429238308852e-07,3.124165903756193e-08
1858,1.3506546281405463e-07,2.3489645339935805e-08
1859,1.2934120241503422e-07,1.78226069458276e-08
1860,1.281611448078479e-07,2.70053845952134e-08
1861,1.4713807061639272e-07,2.5466203368296192e-08
1862,1.486417464668932e-07,2.710791768834042e-08
1863,1.378515337435715e-07,3.646073309937492e-08
1864,1.3808816845539695e-07,2.7329949858767577e-08
1865,9.225414704383539e-08,2.58876440284439e-08
1866,1.0363755720277368e-07,5.498142519044791e-08
1867,1.2374669466908017e-07,2.4749338578544666e-08
1868,1.1015918943702019e-07,6.27363994087915e-08
1869,1.2159963236335614e-07,5.2742006539929775e-08
1870,1.536725093842506e-07,4.18585548445094e-08
1871,6.266494367856978e-08,9.346635732043751e-08
1872,8.829115505371021e-08,5.382132073350476e-08
1873,8.200826018267549e-08,4.1303430897698945e-08
1874,9.499628728093512e-08,3.764003864148435e-08
1875,1.218685312665002e-07,3.089624733831897e-08
1876,1.0520065596431039e-07,2.7811667635546655e-08
1877,1.9667715378535178e-07,4.081978666192754e-08
1878,2.9349971697456567e-07,1.751335776400964e-08
1879,1.3501609119614955e-07,5.1318332694449964e-08
1880,1.9574431320279473e-07,3.7865294677530414e-08
1881,1.1922988063517437e-07,4.183504614951872e-08
1882,1.1713477610086898e-07,4.259446639842679e-08
1883,1.2385904391010172e-07,5.624211762977893e-08
1884,1.3335427606619987e-07,5.149323811792783e-08
1885,1.0248560755599101e-07,3.4161868001092444e-08
1886,9.292987668274577e-08,3.9366130799578514e-08
1887,7.442974159221905e-08,5.7454536239731624e-08
1888,8.179393273799462e-08,2.85327668159141e-08
1889,7.580815619689929e-08,2.0674950973464945e-08
1890,6.554386655643896e-08,2.818386191094646e-08
1891,8.350228242193225e-08,3.505820944660343e-08
1892,5.140180192597654e-08,2.0059238936553925e-08
1893,6.89742667425719e-08,4.3724757203822406e-08
1894,1.0649601733803138e-07,3.150769600779313e-08
1895,6.861220569476245e-08,2.6481904447095417e-08
1896,7.607167251677538e-08,2.2408709332566445e-08
1897,6.817254760704827e-08,2.3306854890492446e-08
1898,5.4320205666869015e-08,3.3384293551819155e-08
1899,6.909473171390346e-08,2.7085134135518274e-08
1900,8.772879833696123e-08,3.062721443125582e-08
1901,6.985923667324201e-08,3.688567717929914e-08
1902,5.990546014800202e-08,1.915010727771005e-08
1903,4.158169653045718e-08,1.9440793863623185e-08
1904,5.8045952933127865e-08,1.7736263124845664e-08
1905,5.212366521734069e-08,1.4450125540577119e-08
1906,4.835533462532737e-08,5.658602919567102e-09
1907,7.508551180812617e-08,8.74283373475393e-09
1908,7.367083521003792e-08,1.3751889405000384e-08
1909,7.206288454852938e-08,1.5402754627302784e-08
1910,5.4510337355040406e-08,1.4963621453034648e-08
1911,4.735132996813718e-08,1.4365010292394231e-08
1912,7.501566834378082e-08,1.041884239993962e-08
