year,devrons_VERB être_VERB
1800,1.5720821977538435e-08
1801,2.6193008650921e-08
1802,4.475680270843441e-09
1803,1.950339223455444e-09
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,2.259030518203531e-09
1810,4.680253518074551e-09
1811,5.0141535368197765e-09
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,3.236668177919455e-08
1816,6.489290882427667e-08
1817,2.80237220096069e-08
1818,9.536941902865692e-09
1819,1.035105001712111e-09
1820,2.7292905713238724e-08
1821,1.97229765852569e-09
1822,2.4061478143266868e-08
1823,1.087095569118901e-08
1824,1.6842225392110777e-09
1825,4.4027217427355936e-09
1826,7.0463874735082754e-09
1827,6.452091305675367e-09
1828,1.8344602503717056e-09
1829,6.858540846366168e-09
1830,5.218417697960831e-09
1831,1.7150327380477393e-08
1832,2.570694235259907e-08
1833,5.791814139399776e-09
1834,4.667265685043276e-09
1835,1.8151411040889798e-08
1836,1.1425274948351216e-08
1837,2.6439986200443855e-08
1838,8.837027110075724e-09
1839,4.894032734625853e-09
1840,8.917564464638872e-09
1841,6.420548537278137e-09
1842,2.683306021822318e-09
1843,1.4767278067040479e-08
1844,9.879410178825765e-09
1845,7.812318791877715e-09
1846,5.269050973311096e-09
1847,3.775256551818984e-09
1848,3.218088684420195e-09
1849,1.508294644736452e-08
1850,1.9009188889640427e-08
1851,2.579775504329973e-09
1852,7.161600201754936e-09
1853,3.5831591027601917e-09
1854,7.27393034694046e-09
1855,1.5920811335945473e-08
1856,7.248064815001953e-09
1857,4.881508974818871e-09
1858,3.9149408159744326e-09
1859,8.147477359443656e-09
1860,4.57718396518203e-09
1861,5.187560159214399e-09
1862,9.035972858839614e-09
1863,1.0988165932701577e-08
1864,7.1920918109924514e-09
1865,1.6003271596787272e-08
1866,9.731225603104576e-09
1867,6.79393608038481e-09
1868,1.2843672791973404e-08
1869,1.3185501579471293e-08
1870,1.834895613228582e-08
1871,1.805600113868877e-08
1872,3.628403577593531e-09
1873,1.496501056408306e-08
1874,5.377148060148329e-09
1875,9.7265964171811e-09
1876,4.836811839936672e-09
1877,3.0924081073635534e-09
1878,4.22736201599605e-09
1879,1.5273313280772527e-08
1880,6.417846254436199e-09
1881,1.1853263259808955e-08
1882,5.989846840748214e-09
1883,7.58320695126713e-09
1884,9.242375753615306e-09
1885,8.379326565943757e-09
1886,1.5488312854472497e-08
1887,1.3710741875172516e-08
1888,1.6485598663962264e-08
1889,6.265136853755848e-09
1890,2.5562107097698572e-08
1891,1.529812720946211e-08
1892,1.191017329205124e-08
1893,1.970693297437265e-08
1894,1.5123694296903523e-08
1895,4.213029924926559e-09
1896,1.0614652268259306e-08
1897,1.5732126712464378e-08
1898,6.224190496340043e-09
1899,4.4220627160029835e-09
1900,1.2977633190303095e-08
1901,1.676621685930968e-08
1902,2.9461704187383475e-09
1903,9.1803746826713e-09
1904,1.7736262236667244e-08
1905,1.4450125540577119e-08
1906,9.773950537805831e-09
1907,9.771402353919711e-09
1908,1.620758460774141e-08
1909,1.1001967337165297e-08
1910,1.1222716089775986e-08
1911,1.9685383989553884e-08
1912,2.135862686714063e-08
1913,6.363587878865928e-09
1914,1.4063162190325329e-08
1915,7.068456930880984e-09
1916,3.186363883855847e-08
1917,3.070598708632133e-08
1918,5.168869421368072e-08
1919,3.314825391953491e-08
1920,1.8930579770426448e-08
1921,3.4077363153528495e-08
1922,1.1804696775641332e-08
1923,1.3800733000834953e-08
1924,2.1915761649893284e-08
1925,1.5397448649423495e-08
1926,1.7833821530643945e-08
1927,1.5608915049369898e-08
1928,1.2568645679778001e-08
1929,1.5596569369336066e-08
1930,1.995684684175103e-08
1931,2.8513390759599133e-08
1932,1.0959536389520963e-08
1933,6.882397318719313e-09
1934,1.4377896206951846e-08
1935,2.393656828303392e-08
1936,9.699771652549316e-09
1937,5.0364472592434595e-09
1938,2.5930429359277696e-08
1939,1.988226472349197e-08
1940,5.325144059042941e-08
1941,8.854508237732261e-09
1942,1.517105907566929e-08
1943,2.9032351633873077e-08
1944,2.8918675454292497e-08
1945,3.0499055725385915e-08
1946,1.8097434661967782e-08
1947,2.5033829231801974e-08
1948,1.522064252412747e-08
1949,2.2579119018928395e-08
1950,1.595304155443955e-08
1951,1.4925962688039363e-08
1952,1.1599284199803606e-08
1953,1.939288907237824e-08
1954,8.795282724349818e-09
1955,1.5016972554349195e-08
1956,1.831439710997529e-08
1957,1.1485549400447326e-08
1958,2.5643954515430778e-08
1959,2.2477168570844697e-08
1960,2.2146666722733244e-08
1961,1.667558180429296e-08
1962,1.2683912586908264e-08
1963,1.7458344103715717e-08
1964,1.8251904876365188e-08
1965,1.9699356812452606e-08
1966,1.7171132071780448e-08
1967,2.662381248796919e-08
1968,2.0211372131484495e-08
1969,1.725867981861029e-08
1970,2.0694262303777577e-08
1971,2.8775026805760717e-08
1972,1.6416469961200164e-08
1973,1.543697081274331e-08
1974,1.6876715136504572e-08
1975,2.1703623787061588e-08
1976,2.0568696967870892e-08
1977,1.23412418062685e-08
1978,2.0792070287711795e-08
1979,1.521513048885481e-08
1980,1.989802811408481e-08
1981,2.5934753011824796e-08
1982,2.1726258125909226e-08
1983,1.9577479193344516e-08
1984,2.609553817478627e-08
1985,2.1656008541981464e-08
1986,2.577628777089558e-08
1987,2.13878585952898e-08
1988,2.878345739532051e-08
1989,1.92084268491044e-08
1990,1.198703181159999e-08
1991,2.4618154625954958e-08
1992,2.0937788391961476e-08
1993,1.4955860550003308e-08
1994,2.3737170451454404e-08
1995,2.114755837112625e-08
1996,1.7615704450690828e-08
1997,2.4453962410575514e-08
1998,2.4794271524797296e-08
1999,2.102292562256025e-08
2000,2.3415566374751506e-08
2001,2.0591695459870607e-08
2002,2.541108479192644e-08
2003,2.541822929913451e-08
2004,1.9821561281219147e-08
2005,2.7472871977352042e-08
2006,2.3060183096390574e-08
2007,3.435252438066527e-08
2008,3.5762493411084506e-08
2009,3.147006921722095e-08
2010,3.3066552163063534e-08
2011,4.474047088365296e-08
2012,4.4595712012096556e-08
2013,5.466685237820457e-08
2014,5.478576170503402e-08
2015,5.2754494106466154e-08
2016,4.7847954931512504e-08
2017,5.4840327834426716e-08
2018,6.634369498215165e-08
2019,6.658078177679272e-08
