year,ses_DET oies_NOUN,ses_DET noix_NOUN
1800,1.8864987794131594e-08,2.5153315874604232e-08
1801,5.714838380299625e-08,2.6193007984787187e-08
1802,4.475680270843441e-09,1.0741632650024258e-07
1803,0.0,1.1311967540450496e-07
1804,7.4155526164076946e-09,5.190886831485386e-08
1805,5.685755422035754e-09,1.3077237404068853e-07
1806,1.729001475325731e-08,8.645007376628655e-09
1807,2.562259604488304e-08,1.7081730252499483e-08
1808,6.798221985349073e-09,4.75875534533543e-08
1809,5.421673421324158e-08,7.906606835916818e-08
1810,4.680253518074551e-09,2.106114038724627e-08
1811,2.757784400841956e-08,7.7719382929331e-08
1812,1.0668832928217853e-08,4.267533171287141e-08
1813,0.0,5.751483289628823e-09
1814,9.440030979135372e-09,3.4613449884091096e-08
1815,1.0788894222457657e-08,5.664169577812572e-08
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,1.556873407970727e-09,2.490997452753163e-08
1818,3.5763532135746345e-09,2.026600220972341e-08
1819,0.0,6.210630232317271e-09
1820,1.6613073583471305e-08,1.5426425470366212e-08
1821,9.861488403650753e-09,2.2681422962023134e-08
1822,2.0051231786055723e-09,4.110502516141423e-08
1823,3.261286707356703e-08,2.2730179516372573e-08
1824,1.9368560089105813e-08,1.6842225392110777e-09
1825,7.044354433105582e-09,9.157660585401572e-08
1826,3.5231937367541377e-09,2.8185549671988497e-08
1827,2.8573547083965423e-08,2.7651818612639545e-09
1828,1.3758452155343548e-08,1.1923991571904935e-08
1829,8.57317605795771e-10,2.0575622983187714e-08
1830,7.305785310052215e-09,1.4611569953970616e-08
1831,1.091384405071949e-08,9.354723662369224e-09
1832,1.7588959622116818e-08,2.4353944860777688e-08
1833,8.108539617524002e-09,1.9692168451435066e-08
1834,6.534171426153534e-09,3.4537763538011745e-08
1835,2.0420337421001022e-08,3.100866052818674e-08
1836,1.68018754465038e-08,5.2421851748363224e-08
1837,9.74104708006962e-09,3.339787557621321e-08
1838,8.2058102535143e-09,1.3886755745318169e-08
1839,7.690622583211848e-09,2.51693106356754e-08
1840,8.280594876453051e-09,8.917564464638872e-09
1841,2.5682194149112547e-09,2.5682193260934127e-08
1842,4.695785538189057e-09,1.8783142152756227e-08
1843,7.088293507706567e-09,2.3036953678001737e-08
1844,1.0977122322231025e-08,2.195424420037284e-08
1845,1.339254718235594e-08,2.176288982358443e-08
