year,quelques_DET os_NOUN,quelques_DET noces_NOUN
1800,1.1947824418712116e-07,0.0
1801,9.524730337773235e-08,0.0
1802,1.432217686669901e-07,0.0
1803,1.8723257144692695e-07,0.0
1804,1.4089550992579802e-07,0.0
1805,1.4498677014529449e-07,0.0
1806,3.054569219784753e-07,0.0
1807,1.8220512254529808e-07,5.693910232196231e-09
1808,1.3369836437959748e-07,2.2660739951163578e-09
1809,1.4457795316502597e-07,1.129515236897305e-08
1810,1.521082393374229e-07,0.0
1811,9.025476321866677e-08,0.0
1812,4.6142702103679767e-07,0.0
1813,2.8469842527911737e-07,0.0
1814,1.2272040805783035e-07,0.0
1815,1.4025562222741428e-07,0.0
1816,1.3210342864056202e-07,0.0
1817,5.7604317760251433e-08,0.0
1818,1.478225941653477e-07,0.0
1819,1.635465967098071e-07,1.035105001712111e-09
1820,9.730514705097448e-08,1.1866481131050932e-09
1821,2.021605176594221e-07,2.9584463767662328e-09
1822,1.6943290859217086e-07,2.4061478143266868e-08
1823,1.788766308408185e-07,9.882686891060644e-10
1824,1.002112401948807e-07,8.421112696055388e-10
1825,2.2629988016831248e-07,4.4027217427355936e-09
1826,1.1538459609994334e-07,1.7615968683770689e-09
1827,1.7881509517536642e-07,0.0
1828,2.0179062154568328e-07,2.7516904310687096e-09
1829,1.8689523528792051e-07,2.571952872898464e-09
1830,1.73251471835556e-07,1.0436835840010872e-09
1831,1.60589427755653e-07,0.0
1832,1.7453660161592666e-07,2.705993873419743e-09
1833,3.139163355925234e-07,9.266902800675325e-09
1834,2.566996055719528e-07,0.0
1835,2.2840526270329065e-07,3.781543966852041e-09
1836,2.2380097464136384e-07,0.0
1837,1.864714720412053e-07,6.957891152126194e-09
1838,1.7042836830682973e-07,1.199310784016916e-08
1839,1.9925704286549717e-07,1.3982950353153e-09
1840,1.248458971758737e-07,2.5478754661634184e-09
1841,1.9775289583634503e-07,8.988767952189392e-09
1842,1.5160678845660414e-07,6.037438549100216e-09
1843,1.6244004896748265e-07,0.0
1844,9.550096724542101e-08,6.037417232818143e-09
1845,1.5010813214644259e-07,0.0
1846,1.1240642328047556e-07,4.0981511517657054e-09
1847,1.1163972857275439e-07,5.393223645455691e-10
1848,9.654265958891628e-08,8.045221711050488e-10
1849,1.2569122276318012e-07,0.0
1850,9.165144820855176e-08,6.788996032014438e-10
1851,1.470471966413811e-07,1.9348316282474798e-09
1852,1.542999292780678e-07,3.906327261660181e-09
1853,2.5261271474619207e-07,3.5831591027601917e-09
1854,1.4028294259560425e-07,1.0391328686409906e-08
1855,1.5496256366986927e-07,1.0613874223963649e-09
1856,1.0923869453449697e-07,5.177189232874468e-10
1857,1.2106142244228124e-07,8.298565390418844e-09
