year,leurs_DET ombres_NOUN,leurs_DET nombres_NOUN
1800,4.0245305132913245e-07,1.131899196593622e-07
1801,4.7147415216386435e-07,7.857902284413854e-08
1802,2.774921767922933e-07,5.370816325012129e-08
1803,2.9645157328950233e-07,7.801356893821776e-08
1804,7.48970826691675e-07,6.179627254354614e-08
1805,3.894742519605643e-07,8.244345273134002e-08
1806,4.437770462217827e-07,1.729001475325731e-08
1807,4.640536701572273e-07,5.693910054560547e-08
1808,3.376450194991776e-07,7.478044494746428e-08
1809,2.7560172632945523e-07,3.8403519253549234e-08
1810,5.452495202007412e-07,7.020380055067221e-08
1811,4.913870199629855e-07,1.2535384286138651e-08
1812,4.0808285461935156e-07,1.7603574065105931e-07
1813,4.744973740589131e-07,7.764502640839055e-08
1814,2.0138733702879108e-07,2.2026739543434815e-08
1815,1.834112079990291e-07,9.440282155992463e-08
1816,2.456660155303325e-07,1.3905623319487859e-08
1817,1.9927979177936095e-07,1.0275364881184856e-07
1818,2.789555555438028e-07,4.6492590666247224e-08
1819,2.6809218178769356e-07,5.693077620438913e-08
1820,3.441279510241202e-07,2.7292905713238724e-08
1821,3.717781043022228e-07,2.958446521095226e-08
1822,2.1254305693219067e-07,6.817418807258946e-08
1823,3.0735156908434647e-07,2.7671524294170524e-08
1824,3.14107514221007e-07,6.484256687144807e-08
1825,3.1259322064158823e-07,4.578830403723089e-08
1826,3.1356423391137866e-07,5.813269687848788e-08
1827,2.599270931824549e-07,5.1616730445402936e-08
1828,2.054595471534526e-07,7.796455736563956e-08
1829,2.2204525595981295e-07,4.2865881511033876e-08
1830,2.5778985435209734e-07,9.080046936560393e-08
1831,2.8064171164743357e-07,1.0290196383877515e-07
1832,2.5030442563078736e-07,1.1094574703385263e-07
1833,4.332277026009024e-07,8.108540083817672e-08
1834,2.725682985982303e-07,1.2228235868327886e-07
1835,2.6924593043986533e-07,8.24376584773745e-08
1836,3.83082767285714e-07,1.1962934864939712e-07
1837,2.1082409862316354e-07,5.844628336859614e-08
1838,2.3102511903516643e-07,5.6178240503967913e-08
1839,2.2302806046425872e-07,5.9427538667833346e-08
1840,2.484178631689815e-07,5.7327198987877637e-08
1841,2.414126285543716e-07,6.292137566532574e-08
1842,2.7570968352819136e-07,9.458654082195039e-08
1843,1.7602594937216054e-07,5.434358302247588e-08
1844,1.937462112966415e-07,4.555505905834423e-08
1845,2.0981657655738672e-07,7.477505126196604e-08
1846,2.0139485279457858e-07,4.976326195560432e-08
1847,1.715045074845989e-07,5.986478157637976e-08
1848,1.8986722638558717e-07,4.746680865030939e-08
1849,2.413271555923302e-07,7.29009101974043e-08
1850,2.3354145817222616e-07,3.4623881539630474e-08
1851,2.547528294982726e-07,6.449438516575867e-08
1852,1.5169571421225214e-07,3.125061875941526e-08
1853,1.875186601552059e-07,5.2553001506083774e-08
1854,1.605460289155758e-07,3.6889218457680784e-08
1855,2.1440025221863834e-07,3.3964397516683675e-08
1856,1.8741424590018596e-07,2.2261913201759853e-08
1857,2.430991585811171e-07,1.757343248698362e-08
1858,1.8644905352971364e-07,4.1106879677954566e-08
1859,2.4187823566279576e-07,3.0043822096814665e-08
1860,2.4579477031494434e-07,2.1055046678375433e-08
1861,2.5371884593283767e-07,6.790987533422665e-08
1862,2.6927199492376985e-07,3.298130135664934e-08
1863,2.547256574558787e-07,1.3485476124674989e-08
1864,2.1863960020240825e-07,5.561884386384719e-08
1865,2.325181140960808e-07,5.412870995868957e-08
1866,1.7175614175357623e-07,3.0166799280806345e-08
1867,1.572310885933348e-07,3.8337212515671126e-08
1868,1.8919717703624883e-07,7.953197345145213e-08
1869,2.0852626114731265e-07,9.327521455215759e-08
1870,1.8979701899013435e-07,6.422134424255432e-08
1871,2.071129596714627e-07,1.3807530230280918e-08
1872,1.5904502514985097e-07,5.744972275678606e-08
1873,2.0172834780396443e-07,5.38740403399629e-08
1874,1.899925727855134e-07,8.06572235667602e-08
1875,1.705015080233352e-07,5.950388154429831e-08
1876,2.2793475173976674e-07,6.831996701706089e-08
1877,1.9111081517309003e-07,3.525345027011184e-08
1878,1.8117266176176372e-07,6.582606898453136e-08
1879,1.5700965771969777e-07,4.398714081865762e-08
1880,2.1243071257615043e-07,6.289489218325173e-08
1881,1.7849618805243495e-07,4.5321300490286376e-08
1882,2.3293848006034068e-07,4.4591080827771634e-08
1883,1.801011642044159e-07,2.3381554747903266e-08
1884,2.1521532111989927e-07,5.479408482500503e-08
1885,1.7918867367683333e-07,5.027595945117369e-08
1886,1.7682491604276152e-07,6.324394824508417e-08
1887,1.6844626049561384e-07,5.2884289503118964e-08
1888,2.01631548790715e-07,2.599652049184442e-08
1889,1.9421923624918236e-07,2.6313573542324775e-08
1890,1.6910316480434062e-07,2.2940351840361473e-08
1891,1.8995175565805766e-07,4.206985337873448e-08
1892,1.861748177844902e-07,6.393882379107652e-08
1893,2.001485350788812e-07,5.850495576886772e-08
1894,1.6573048089441045e-07,5.5453544867134497e-08
1895,1.594932781401326e-07,4.032471756509892e-08
1896,1.9401225070936334e-07,3.774098406017501e-08
1897,2.6569814615129417e-07,4.7196380137393135e-08
1898,1.986082498461883e-07,4.1305989850748404e-08
1899,1.9788730476477667e-07,4.698441458117486e-08
1900,2.4190307312821346e-07,3.114631841327764e-08
1901,1.631911787924878e-07,4.5827658556873985e-08
1902,1.4190720687423664e-07,4.6156667488084224e-08
1903,1.7280705044697697e-07,2.9161189907256357e-08
1904,1.91874119259694e-07,5.858341456388416e-08
1905,2.0952682433517111e-07,5.367189581662046e-08
1906,2.304594604041199e-07,3.806696707853163e-08
1907,2.005708950036933e-07,4.577130618965697e-08
1908,2.391846525284791e-07,3.7817696751929475e-08
1909,2.266405285666906e-07,3.74066881358992e-08
1910,2.8056789780350755e-07,5.557916560317011e-08
1911,2.0377033127516597e-07,3.8838732119295116e-08
1912,2.83392514788261e-07,5.8345517472968567e-08
1913,2.099983982262188e-07,5.302989614097697e-08
1914,2.437614696759738e-07,4.3528835647066444e-08
1915,2.5210830045807597e-07,3.7698438148936475e-08
1916,3.032539552805247e-07,3.4061130804730055e-08
1917,2.730639714343397e-07,8.115153848908818e-08
1918,3.101321466303375e-07,5.513460621386912e-08
1919,2.71631520831761e-07,1.0404868877600393e-07
1920,3.074326198060362e-07,4.619061444444128e-08
1921,2.7261889634644376e-07,6.58829005240058e-08
