year,veuillez_VERB être_VERB
1800,1.5720822865716855e-08
1801,2.3811826510566902e-08
1802,1.5664880947952042e-08
1803,1.950339267864365e-08
1804,2.7190359741524617e-08
1805,1.990014353303593e-08
1806,3.1698359492793315e-08
1807,1.9928686256776018e-08
1808,1.1330369531492579e-08
1809,3.162642681076022e-08
1810,1.8721014516387413e-08
1811,2.2563690915688994e-08
1812,1.3336040716183106e-08
1813,5.751483289628823e-09
1814,4.09068032780624e-08
1815,1.3486117778072071e-08
1816,9.270415546325239e-09
1817,2.6466847380390846e-08
1818,4.0532004197402216e-08
1819,3.726377961754679e-08
1820,4.153268484685668e-08
1821,2.7612166775270452e-08
1822,3.0076847679083585e-08
1823,3.656594316225892e-08
1824,3.621078370485975e-08
1825,4.138558296062911e-08
1826,1.761596823968148e-08
1827,1.935627425009301e-08
1828,1.6510141920278443e-08
1829,2.5719528951029247e-08
1830,3.1310507964121825e-08
1831,5.6128341086036926e-08
1832,3.111892965534935e-08
1833,1.2741991017861665e-08
1834,3.360431088950122e-08
1835,5.52105419160398e-08
1836,1.2769425072889362e-08
1837,2.0873672568200163e-08
1838,2.019891853777267e-08
1839,2.027527834513876e-08
1840,3.694419525857029e-08
1841,1.9903701353740644e-08
1842,2.0124795163667386e-08
1843,2.7171791039393156e-08
1844,2.4149669819450992e-08
1845,4.6315890678272353e-08
1846,2.4588906022415813e-08
1847,1.6718993300912643e-08
1848,3.218088728829116e-08
1849,1.6758830323482243e-08
1850,1.425689166723032e-08
1851,3.0957306051959677e-08
1852,2.474007199104733e-08
1853,1.3735443005202796e-08
1854,3.117398605922972e-08
1855,3.02495415382964e-08
1856,2.9509978460851016e-08
1857,1.3180074365237715e-08
1858,3.2787628612140907e-08
1859,5.397703795040343e-08
1860,3.478659671429796e-08
1861,1.4147891302940252e-08
1862,3.433669570895859e-08
1863,2.4973104473247076e-08
1864,3.068625886726295e-08
1865,4.094954597633205e-08
1866,4.670988396071607e-08
1867,3.54255238477208e-08
1868,3.7049055379156925e-08
1869,2.539429999615095e-08
1870,2.6376625328339287e-08
1871,2.9739295470676552e-08
1872,3.8702971494330995e-08
1873,2.573982005316111e-08
1874,3.4055271491695294e-08
1875,3.032409345848919e-08
1876,5.74371412653818e-08
1877,2.1646855863366454e-08
1878,5.07283441919526e-08
1879,4.887460036684388e-08
1880,3.144744731287119e-08
1881,1.6036767025440213e-08
1882,2.7952617998039386e-08
1883,4.486730631469982e-08
1884,4.027035238607368e-08
1885,1.6758652687798303e-08
1886,4.4528899678653033e-08
1887,2.0239665943222462e-08
1888,2.028996703984376e-08
1889,2.4434033463194282e-08
1890,2.1629475099871343e-08
1891,3.059625619528106e-08
1892,3.447681784507495e-08
1893,2.4017824618027817e-08
1894,2.079507988028695e-08
1895,4.333402436884626e-08
1896,3.007484750128242e-08
1897,2.330685333618021e-08
1898,3.904264822551795e-08
1899,2.2110313580014918e-08
1900,3.218453059616877e-08
1901,1.7325090917452712e-08
1902,2.798861853392509e-08
1903,2.052083658554693e-08
1904,4.7296699889898264e-08
1905,2.5287719473965353e-08
1906,1.7490227488536902e-08
1907,3.80570401858904e-08
1908,2.504808405134895e-08
1909,5.005895076237721e-08
1910,3.740905452076504e-08
1911,1.8621309383348716e-08
1912,3.3861238701859975e-08
1913,3.712092766505748e-08
