year,ses_DET oeufs_NOUN,ses_DET noeuds_NOUN
1800,6.854278495893595e-07,6.288328791015374e-08
1801,8.619880809135338e-07,2.6193008650921e-08
1802,9.264658160645922e-07,6.489736392722989e-08
1803,3.2453644394081493e-06,1.501761204281138e-07
1804,7.34139717906146e-07,8.15710812229753e-08
1805,2.3311597452391197e-07,4.5486043376286034e-08
1806,7.780506727783632e-08,5.187004603612877e-08
1807,1.822051274302794e-07,1.1387820908481672e-08
1808,1.7448769229488903e-07,5.4385775882792586e-08
1809,1.0165637065462363e-07,2.25903047379461e-08
1810,1.4976810946976116e-07,2.574139479349924e-08
1811,7.521230127593981e-08,2.0056614147279106e-08
1812,5.067695596494559e-08,1.0668832928217853e-08
1813,8.339650969801937e-08,6.039057609541487e-08
1814,1.3530711440168375e-07,6.293354282149721e-09
1815,5.39444717784221e-08,4.045835311217161e-08
1816,1.8309069993449612e-07,1.3905623319487859e-08
1817,2.2263290322399598e-07,1.401186100480345e-08
1818,3.0041366372302036e-07,5.960588467246453e-09
1819,2.3910925150971707e-07,1.3456364911235141e-08
1820,4.9839219862235495e-08,9.493184904840746e-09
1821,5.0293590514449704e-08,9.861488514673056e-09
1822,6.015369535816717e-08,3.5089655625597516e-08
1823,7.016707892493201e-08,5.929612356680991e-09
1824,7.831634896149353e-08,2.273700427934955e-08
1825,5.1952114388242876e-08,2.1133063299316746e-08
1826,9.7768624973682e-08,7.927186018719112e-09
1827,7.558163755971847e-08,9.217273055917019e-10
1828,6.51233389437067e-08,1.1006761724274838e-08
1829,5.3153690893203986e-08,1.1145129263923081e-08
1830,7.723258477199124e-08,1.6698937344017395e-08
1831,3.741889442743229e-08,6.236482441579483e-09
1832,4.0589908545385356e-08,6.764984572527055e-09
1833,2.89590715851773e-08,1.042526565075974e-08
1834,4.947301368574131e-08,1.3068342852307069e-08
1835,4.0840674842002045e-08,7.563087933704082e-09
1836,6.048675027514605e-08,1.5457725766054864e-08
1837,5.635891620059397e-08,5.5663127440652715e-09
1838,5.7440673995046154e-08,5.049729523420865e-09
1839,5.663094793106893e-08,2.0974426639952526e-09
1840,3.3759350426265655e-08,3.1848443882154243e-09
1841,5.521671653241356e-08,3.852329122366882e-09
1842,1.0062397848287219e-07,2.683306021822318e-09
1843,4.961805377678985e-08,3.5441467538532834e-09
1844,3.293136835447186e-08,1.6465684371524958e-09
1845,4.296775690804111e-08,3.348136878855712e-09
1846,4.332331005052481e-08,1.1123552745573306e-08
1847,5.3932236454556914e-08,2.1572894581822766e-09
1848,3.700802103656642e-08,4.02261068899179e-09
1849,4.5248841340495005e-08,2.513824481908955e-09
1850,3.530277759011824e-08,1.3577992064028876e-08
1851,2.3862922748918436e-08,3.8696632564949596e-09
1852,5.0131199635927715e-08,5.208436348880241e-09
1853,6.628844229084052e-08,6.569124799682413e-09
1854,1.922395914677466e-08,3.117398783558656e-09
1855,3.078023524949458e-08,3.714855978387277e-09
1856,2.226191442300518e-08,3.6240324075009767e-09
1857,2.8800904106063285e-08,4.393358177257056e-09
1858,1.5659764096565e-08,3.914940760463281e-09
1859,3.920973368209957e-08,5.092173349652285e-09
1860,7.140407021211104e-08,1.373155145145688e-09
1861,2.923897507445261e-08,4.2443675241088386e-09
1862,4.292087130153277e-08,1.3553959066214816e-09
1863,3.096664924484571e-08,2.4973103585068657e-09
1864,1.7740493851725603e-08,1.4384183844029508e-09
1865,2.400490611842443e-08,2.8241067262513297e-09
1866,3.259960479340407e-08,2.432806400776144e-09
1867,2.426405742994575e-08,1.94112459439566e-09
1868,2.7169306804353255e-08,3.951899252285784e-09
1869,3.076617005604021e-08,1.953407657850903e-09
1870,2.1789385407089412e-08,2.2936195165357276e-09
1871,1.911811864374613e-08,1.0621177271019633e-09
1872,2.3584624031514068e-08,1.8142017887967654e-09
1873,3.1725821969530443e-08,2.9930022904522957e-09
1874,3.764003819739514e-08,1.1949218281515073e-09
1875,4.1194994082616176e-08,2.2886108563824337e-09
1876,2.8416270225761764e-08,4.232210137899983e-09
1877,3.896434142003358e-08,4.329371083855449e-09
1878,9.058633199110488e-08,6.6429977074733415e-09
1879,2.993569458986656e-08,3.665595160740054e-09
1880,3.016387850607316e-08,3.8507077526617195e-09
1881,3.2770783919833235e-08,2.091752326904839e-09
1882,3.926677161203429e-08,1.3310770263785798e-09
1883,3.5388296737437486e-08,2.5277355764075082e-09
1884,3.6969503014461225e-08,4.621187876807653e-09
1885,1.740321664556177e-08,1.2891271383708158e-09
1886,4.646494033977433e-08,6.453463874400711e-10
1887,4.1132223627116105e-08,2.6115698492645834e-09
1888,2.4728396663675767e-08,4.4384300679212174e-09
1889,3.445825286219062e-08,2.5060546970934183e-09
1890,2.6872984115744458e-08,1.3108772956016423e-09
1891,2.42220359325529e-08,3.824531802365527e-09
1892,4.2625884599800656e-08,6.268512375839919e-10
1893,4.865149016985981e-08,6.158416554491453e-10
1894,3.843939100356408e-08,1.8904617871129403e-09
1895,2.1065151400989635e-08,3.611168697403855e-09
1896,2.6536631059226323e-08,1.7691086373616827e-09
1897,4.836172218247725e-08,1.7480140668268973e-09
1898,2.4330926717830437e-08,3.3950129374460403e-09
1899,4.69844163575317e-08,5.527578395003729e-10
1900,3.6856476093305446e-08,3.114631885736685e-09
1901,2.4590450786732276e-08,2.235495566438317e-09
1902,3.0934789674308405e-08,3.928227076954727e-09
1903,2.8081145186931167e-08,3.2401321625741275e-09
1904,3.9772227289347484e-08,4.299700151477737e-09
1905,3.044847735056422e-08,1.0321518084666081e-09
1906,3.240836221607424e-08,1.0288369045596824e-09
1907,3.599990411329301e-08,4.6285588695127444e-09
1908,3.3397444809679655e-08,4.4202499438483756e-09
1909,3.850688656825696e-08,2.2003934230241384e-09
1910,3.420256600161764e-08,2.137660271017694e-09
1911,3.2454281040372734e-08,4.25629931299909e-09
1912,3.854971808436858e-08,2.6047106693738442e-09
1913,4.4014814126747126e-08,2.6514948570088848e-09
1914,3.415339328016742e-08,0.0
1915,4.712304846332671e-08,5.890381071793627e-09
1916,2.8567400889301098e-08,6.592477230782379e-09
1917,3.618920063619413e-08,3.289927441585405e-09
1918,2.6418664589300533e-08,3.44591288836682e-09
1919,4.143531701084058e-08,1.012863304339362e-08
1920,6.284952558388568e-08,5.300562211374427e-09
1921,3.634918815942356e-08,3.0290989716519334e-09
1922,3.762747063928984e-08,4.426761179843197e-09
1923,4.0340601970001444e-08,5.307974060286824e-09
1924,4.1253197746726755e-08,2.578324886925998e-09
1925,7.258797296572084e-08,9.898360353588487e-09
1926,3.678225690695314e-08,3.343841648018042e-09
1927,1.4493991917774451e-07,5.574612438330462e-09
1928,3.770593604013328e-08,2.2852082448565625e-09
1929,1.3034275525569683e-07,6.684243825105796e-09
1930,5.461873797685257e-08,6.302162347537887e-09
1931,7.413481917240006e-08,1.0264820993199919e-08
1932,4.38381477785299e-08,0.0
1933,5.735331098932761e-08,4.588264879146209e-09
1934,7.66821095510295e-08,4.7926320689839486e-09
1935,5.385727686046948e-08,7.180970484910176e-09
1936,4.9711331051582874e-08,7.274828739411987e-09
1937,3.903246770242674e-08,5.036447148221157e-09
1938,2.722695080503712e-08,3.8895642262559704e-09
1939,7.799965739963e-08,6.117620188206274e-09
1940,4.3108308034334186e-08,1.0143131667916805e-08
1941,8.559357667081713e-08,1.1806010835613279e-08
1942,9.102635334379272e-08,1.8205270180260413e-08
1943,4.064529335323641e-08,2.9032352077962287e-09
1944,5.462416652335378e-08,1.2852744646352221e-08
