year,pouvons_VERB être_VERB,pouvons_VERB etre_VERB,pouvons_VERB naître_VERB
1800,9.715467967907898e-07,0.0,0.0
1801,5.595779271061474e-07,2.3811825844433088e-09,0.0
1802,4.900870180790662e-07,0.0,0.0
1803,5.168399184185546e-07,0.0,0.0
1804,5.413353392214049e-07,2.4718509461507665e-09,4.943701892301533e-09
1805,6.652333581769199e-07,8.528632911009026e-09,0.0
1806,3.630903222529014e-07,2.881669125542885e-09,0.0
1807,4.839823759539286e-07,0.0,0.0
1808,4.328201441694546e-07,0.0,0.0
1809,2.8689686359939515e-07,0.0,0.0
1810,4.844062573283736e-07,0.0,0.0
1811,3.08370431412186e-07,0.0,7.521229861140455e-09
1812,4.800974693353055e-07,2.6672082320544632e-09,0.0
1813,3.824736438673426e-07,0.0,5.176335093892703e-08
1814,2.517341783914162e-07,0.0,0.0
1815,4.693168875746778e-07,0.0,0.0
1816,6.535643137794978e-07,0.0,2.3176038865813098e-08
1817,5.355644248083991e-07,0.0,0.0
1818,5.85329814839497e-07,0.0,0.0
1819,5.558513862524705e-07,1.035105001712111e-09,0.0
1820,5.363649506762158e-07,0.0,0.0
1821,6.400105689863267e-07,0.0,0.0
1822,5.213320264374488e-07,0.0,2.0051231786055723e-09
1823,5.237824325377005e-07,1.3835761869529506e-08,9.882686891060644e-10
1824,5.136878939993039e-07,0.0,0.0
1825,5.547429395846848e-07,0.0,8.805443041381977e-10
1826,5.19671061738336e-07,0.0,8.807984341885344e-10
1827,4.6455056690319907e-07,9.217273055917019e-10,0.0
1828,5.576758894676459e-07,1.8344602503717056e-09,9.172301251858528e-10
1829,5.12675910613325e-07,0.0,0.0
1830,5.7506963457854e-07,2.0873671680021744e-09,0.0
1831,6.033797035343014e-07,0.0,0.0
1832,5.425517883850262e-07,0.0,0.0
1833,4.96937673233333e-07,0.0,0.0
1834,6.095448839005257e-07,1.8669061851994684e-09,1.8669061851994684e-09
1835,4.621046798547468e-07,0.0,7.563087933704082e-10
1836,5.833610998706718e-07,6.720750067579218e-10,2.016224964762614e-09
1837,5.176671038498171e-07,0.0,0.0
1838,4.298582325645839e-07,6.312161904276081e-10,6.312161904276081e-10
1839,5.642120299853559e-07,0.0,0.0
1840,5.872852852917276e-07,0.0,1.2739377330817092e-09
1841,6.15088538324926e-07,0.0,0.0
1842,7.218093287519878e-07,1.341653010911159e-09,2.0124795163667386e-09
1843,6.928806897121831e-07,0.0,5.906911071384968e-10
1844,6.619204668822931e-07,1.097712254427563e-09,0.0
1845,6.796717570978217e-07,5.580227946389016e-10,1.674068439427856e-09
1846,6.030136319168378e-07,5.854501328173001e-10,2.3418005312692003e-09
1847,5.765356263509602e-07,2.1572894581822766e-09,1.0786447290911383e-09
