year,plusieurs_DET oeufs_NOUN,plusieurs_DET noeuds_NOUN
1800,2.5153315874604232e-08,1.5720821977538435e-08
1801,1.4287095950749062e-08,9.524730337773235e-09
1802,2.0140561218795483e-08,2.4616241489638924e-08
1803,1.950339267864365e-08,3.315576790896557e-08
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,0.0,5.685755422035754e-09
1806,5.76333825108577e-09,1.4408345627714425e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,4.5321479902327155e-09
1809,2.259030518203531e-09,1.129515236897305e-08
1810,4.680253518074551e-09,9.360507036149102e-09
1811,0.0,2.0056614147279106e-08
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,2.3176038865813098e-09
1817,1.0898113522728181e-08,1.2454987263765815e-08
1818,0.0,4.768470951432846e-09
1819,4.140420006848444e-09,1.035105001712111e-09
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,1.97229765852569e-09,0.0
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,0.0,9.882686891060644e-10
1824,2.5263338088166165e-09,3.3684450784221553e-09
1825,8.805443041381977e-10,2.641632912414593e-09
1826,0.0,3.5231937367541377e-09
1827,0.0,0.0
1828,0.0,0.0
1829,6.001223074036943e-09,0.0
1830,2.0873671680021744e-09,9.39315203396518e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,1.7588959622116818e-08,2.705993873419743e-09
1833,1.1583628500844156e-09,0.0
1834,2.8003592777992026e-09,1.8669061851994684e-09
1835,7.563087933704082e-09,2.2689263801112247e-09
1836,2.016224964762614e-09,1.3441500135158435e-09
1837,3.478945576063097e-09,0.0
1838,6.312161904276081e-10,0.0
1839,2.7965900706306e-09,0.0
1840,6.369688665408546e-10,6.369688665408546e-10
1841,3.2102742686390684e-09,1.2841097074556274e-09
1842,2.0124795163667386e-09,1.341653010911159e-09
1843,5.906911071384968e-10,3.5441467538532834e-09
1844,1.097712254427563e-09,5.488561272137815e-10
1845,1.674068439427856e-09,1.674068439427856e-09
1846,0.0,5.854501328173001e-10
1847,3.775256551818984e-09,5.393223645455691e-10
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,1.3577992064028876e-09
1851,3.8696632564949596e-09,6.449438760824933e-10
1852,6.510545436100301e-10,0.0
1853,1.1943863675867306e-09,5.971931837933653e-10
1854,5.195664454227256e-10,4.1565315633818045e-09
1855,0.0,1.5920811335945473e-09
1856,5.177189232874468e-10,3.1063134287023786e-09
1857,1.9526036343364694e-09,4.881509085841174e-10
1858,9.787352039936081e-10,4.893676019968041e-10
1859,5.092173349652285e-10,0.0
1860,9.154367819341758e-10,0.0
1861,0.0,9.431927461278633e-10
1862,4.066187830886747e-09,4.517986262886353e-10
1863,4.994620828036034e-10,0.0
1864,5.274200631788517e-09,0.0
1865,4.706844358715045e-10,4.706844358715045e-10
1866,9.731225825149181e-10,4.865612801552288e-09
1867,0.0,0.0
1868,4.93987406535723e-10,4.93987406535723e-10
