year,bons_ADJ airs_NOUN,bons_ADJ nerfs_NOUN
1800,9.432493897065797e-09,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,4.475680270843441e-09,4.475680270843441e-09
1803,7.801356893821776e-09,0.0
1804,2.9662210465630778e-08,0.0
1805,8.528632911009026e-09,0.0
1806,1.4408345627714425e-08,1.152667650217154e-08
1807,4.555128185756985e-08,0.0
1808,9.290903335568146e-08,2.2660739951163578e-09
1809,4.292158095609011e-08,0.0
1810,2.106114038724627e-08,0.0
1811,3.259199843341776e-08,7.521229861140455e-09
1812,0.0,0.0
1813,8.627225156487839e-09,5.751483289628823e-09
1814,2.2026739543434815e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,2.9580593974287694e-08,0.0
1818,5.960588467246453e-09,0.0
1819,7.24573512300708e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,4.941343334508019e-09,0.0
1824,1.8526447931321854e-08,0.0
1825,2.7296874094417944e-08,0.0
1826,1.4973572604048968e-08,0.0
1827,2.7651818612639545e-09,0.0
1828,3.66892045633449e-08,0.0
1829,2.6576845613135447e-08,0.0
1830,1.878630406793036e-08,0.0
1831,6.236482441579483e-09,0.0
1832,1.0823975493678972e-08,2.705993873419743e-09
1833,4.6334514003376626e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,8.31939672707449e-09,8.31939672707449e-09
1836,5.376600054063374e-09,0.0
1837,2.0873671680021744e-09,0.0
1838,3.787297142565649e-09,0.0
1839,5.5931801412612e-09,6.9914751765765e-10
1840,5.095750932326837e-09,6.369688665408546e-10
1841,3.852329122366882e-09,0.0
1842,6.708265054555795e-10,0.0
1843,1.1813822142769936e-09,5.906911071384968e-10
1844,6.037417232818143e-09,0.0
1845,2.0646844234306627e-08,0.0
1846,1.7563504428608212e-08,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,1.005529792763582e-08,0.0
1850,6.788996032014438e-09,0.0
1851,0.0,0.0
1852,5.859490670445666e-09,0.0
1853,6.569124799682413e-09,0.0
1854,2.5978321716024766e-09,0.0
1855,3.1841622671890946e-09,0.0
1856,6.212626857404757e-09,2.0708756931497874e-09
1857,2.7336451324799782e-08,0.0
1858,6.8511463169329545e-09,0.0
1859,2.34239969643113e-08,0.0
1860,2.746310290291376e-09,0.0
1861,2.8295783494058924e-09,4.715963730639317e-10
1862,4.066187830886747e-09,0.0
1863,5.9935452156878455e-09,0.0
1864,6.712618905169165e-09,4.794727948009836e-10
1865,1.0825742080555756e-08,0.0
1866,6.3252967308358166e-09,4.865612912574591e-10
1867,7.76449837758264e-09,0.0
1868,1.4819621974027086e-08,4.93987406535723e-10
1869,7.325278605918584e-09,0.0
1870,1.7202146374017957e-09,0.0
1871,9.559059321873065e-09,0.0
1872,1.2094678591978436e-09,0.0
1873,5.986004469882289e-10,0.0
1874,5.974609140757536e-10,0.0
1875,5.721527140956084e-10,0.0
1876,8.464420275799966e-09,6.04601479992084e-10
1877,5.566334504436554e-09,0.0
1878,4.22736201599605e-09,6.039088673581716e-10
1879,1.221865097988939e-08,6.10932526790009e-10
