year,voudriez_VERB être_VERB
1800,2.829747991484055e-08
1801,0.0
1802,4.475680270843441e-09
1803,1.5602713787643552e-08
1804,3.213406074564773e-08
1805,3.695740957709859e-08
1806,2.5935023018064385e-08
1807,1.7081731584767113e-08
1808,0.0
1809,4.0662548883574345e-08
1810,9.126494404654295e-08
1811,4.763445815569867e-08
1812,3.467370746079723e-08
1813,2.0130190847567064e-08
1814,3.1466772298927026e-08
1815,0.0
1816,1.3905623319487859e-08
1817,1.5568733857662664e-08
1818,1.9073883805731384e-08
1819,1.6561680027393777e-08
1820,2.3732962262101864e-08
1821,6.607196922914227e-08
1822,4.912551787583652e-08
1823,5.237824041159911e-08
1824,3.8737120178211626e-08
1825,2.8177417732422327e-08
1826,3.170874407487645e-08
1827,5.2538457140371975e-08
1828,3.118582370120748e-08
1829,3.5150023336427694e-08
1830,6.78394300734908e-08
1831,2.9623292263636358e-08
1832,5.817886972181441e-08
1833,8.224376557564028e-08
1834,2.42697808516823e-08
1835,8.24376584773745e-08
1836,3.49478987970997e-08
1837,3.896418832027848e-08
1838,4.1660268124132926e-08
1839,2.586845759822154e-08
1840,2.4841785517537573e-08
1841,3.4028907691663335e-08
1842,4.159124245006751e-08
1843,5.316219997553162e-08
1844,3.402907822191992e-08
1845,5.022205229465726e-08
1846,2.2832555401919308e-08
1847,2.588747349818732e-08
1848,3.298540818263973e-08
1849,3.267971848686102e-08
1850,3.4623880651452055e-08
1851,3.740674614505224e-08
1852,3.190167419120371e-08
1853,3.762317035693741e-08
1854,5.0397943596180994e-08
1855,3.767925349507095e-08
1856,5.487820686767009e-08
1857,3.3194261561675376e-08
1858,5.04048642824273e-08
1859,3.920973412618878e-08
1860,3.982150076353719e-08
1861,2.87673795895671e-08
1862,2.1234535907410645e-08
1863,4.0955889346605545e-08
1864,4.2193605054308136e-08
1865,4.330296832222302e-08
1866,4.6223323835192787e-08
1867,2.814630661873707e-08
1868,2.0747471296544973e-08
1869,3.076617005604021e-08
1870,3.956493799250893e-08
1871,9.559059321873065e-09
1872,2.4189358072135292e-08
1873,2.6338419445437466e-08
1874,2.9275584623178474e-08
1875,1.5448122780981066e-08
1876,9.673623679873344e-09
1877,2.4120781816350245e-08
1878,3.01954443671093e-08
1879,2.932476128592043e-08
1880,1.7328185109022343e-08
1881,1.9523021421719022e-08
1882,2.7952617998039386e-08
1883,2.401348808689363e-08
1884,2.0465261485469455e-08
1885,1.160214413431504e-08
1886,2.3877817056927597e-08
1887,9.793386546164129e-09
1888,1.4583413587843097e-08
1889,2.4434033463194282e-08
1890,1.5075089621063853e-08
1891,1.0198752065093686e-08
1892,1.3163876211308434e-08
1893,1.539604177480669e-08
1894,8.822155450616265e-09
1895,1.5648398132839247e-08
1896,1.1204354777305525e-08
1897,9.322741689743452e-09
1898,3.508180057565369e-08
1899,2.1004797901014172e-08
1900,1.4015843596837385e-08
1901,1.4530721514915967e-08
1902,9.820567470342212e-09
1903,1.2420506401156217e-08
1904,3.0097901060344157e-08
1905,2.0126959654476195e-08
1906,1.0288369267641428e-08
1907,1.7999951751335175e-08
1908,8.349361202419914e-09
1909,7.701377313651392e-09
1910,1.068830179917768e-08
