year,aux_ADP ombres_NOUN,aux_ADP nombres_NOUN
1800,3.3956975542537293e-07,6.0682373259624e-07
1801,2.071628817379434e-07,4.500435011323134e-07
1802,3.75957142750849e-07,3.7819498288627074e-07
1803,2.5939511694161865e-07,3.9786920069673215e-07
1804,2.719036085174764e-07,7.514427053934014e-07
1805,1.563582765484739e-07,4.3780318037534016e-07
1806,5.734521737466025e-07,2.737585589329683e-07
1807,2.733077053562738e-07,9.281073403144546e-07
1808,2.1074488509853495e-07,4.962702289112997e-07
1809,2.9819202396197397e-07,4.518061098579551e-07
1810,2.784750754436516e-07,8.07343721209719e-07
1811,3.083704367412565e-07,6.969673336243432e-07
1812,1.9203898737885083e-07,6.347955832097796e-07
1813,2.8182267830523244e-07,5.751483058702433e-07
1814,2.2026740165159708e-07,5.884286338186939e-07
1815,1.5104452044667482e-07,6.203613940325425e-07
1816,1.62232268507978e-07,1.0915914572251495e-06
1817,3.285002998509867e-07,5.122113752031865e-07
1818,1.2517236314124602e-07,3.516747426601796e-07
1819,2.2254758214046433e-07,3.819537561788877e-07
1820,2.2071654814936892e-07,3.607410254957699e-07
1821,2.3075882138456905e-07,5.167419787621697e-07
1822,2.4261990461127425e-07,4.752141791186659e-07
1823,1.3440454527113843e-07,2.935158139871774e-07
1824,2.7115983591841086e-07,2.6779139261634555e-07
1825,2.2453879733319582e-07,3.1171268233265437e-07
1826,2.695243153105764e-07,5.020550899459408e-07
1827,1.603805539485137e-07,3.7237783762078536e-07
1828,2.0270785094922417e-07,3.9257449202523276e-07
1829,2.4262087805482224e-07,3.4892827277532845e-07
1830,1.9308146059771047e-07,5.834191201259387e-07
1831,1.8865359452391317e-07,5.877884825533641e-07
1832,1.9077257062960484e-07,4.491949907592385e-07
1833,1.9808004303456528e-07,4.6566186340246674e-07
1834,2.2029492385833294e-07,3.4351074651439717e-07
1835,1.9739659506967655e-07,4.3941540184277983e-07
1836,2.506839715255005e-07,2.957129998648611e-07
1837,1.6907674549315743e-07,3.7920506557043154e-07
1838,2.0388283350492031e-07,4.955047252508393e-07
1839,2.838538879501584e-07,4.915006912575848e-07
1840,1.5223556193433296e-07,5.643544440658843e-07
1841,1.3483151750648403e-07,5.085074459287853e-07
1842,1.757565382121129e-07,4.5616201305165305e-07
1843,2.0792326643759296e-07,6.846109861236016e-07
1844,2.3271500471100381e-07,5.762989365720728e-07
1845,2.142807487004461e-07,5.719733735531918e-07
1846,1.4870433107105896e-07,5.550067152526594e-07
1847,1.8714486405002617e-07,6.876360014729244e-07
1848,2.260707328005651e-07,6.218956463133196e-07
1849,2.3043391195187723e-07,8.077756277202752e-07
1850,2.382937571709931e-07,5.66881169561384e-07
1851,1.7671462249069236e-07,6.713865967622468e-07
1852,2.330775272785246e-07,6.432419168422854e-07
1853,2.0244848708550478e-07,5.15377735155198e-07
1854,2.5406798753735416e-07,4.769619890154786e-07
1855,2.3722009245830122e-07,4.7072531472736046e-07
1856,2.4695192823998013e-07,4.5559265426931006e-07
1857,2.5676736936652844e-07,5.608853825833648e-07
1858,2.6425850219169433e-07,5.720707025869132e-07
1859,2.2049110826038998e-07,3.6612726361795467e-07
1860,2.1421221241268995e-07,5.973224879163297e-07
1861,2.235366759473223e-07,7.592701347647335e-07
1862,2.3222448808368767e-07,3.52854726881624e-07
1863,1.7481173297806407e-07,5.009604420180835e-07
1864,2.152832876411992e-07,6.923586908236246e-07
1865,2.0474772699508037e-07,3.906680685616948e-07
1866,1.4742806730971836e-07,5.201339963178953e-07
1867,2.761249753291395e-07,5.143979979749247e-07
1868,2.1834242813767446e-07,5.335063839595477e-07
1869,1.7580669198213883e-07,6.079981291762238e-07
1870,1.7718210232331444e-07,5.281058870210131e-07
1871,1.5188283830624982e-07,4.4821367839453785e-07
1872,1.681160338717902e-07,5.291422042752458e-07
