year,voulons_VERB être_VERB,voulons_VERB etre_VERB,voulons_VERB naître_VERB
1800,2.986956246786576e-07,0.0,0.0
1801,3.119349116786907e-07,0.0,7.143547975374531e-09
1802,2.394488944901241e-07,0.0,0.0
1803,2.7694815685208596e-07,0.0,0.0
1804,4.572924297008285e-07,0.0,0.0
1805,2.7291625315228885e-07,2.842877711017877e-09,0.0
1806,3.313919592073944e-07,0.0,0.0
1807,2.3345032218458073e-07,2.8469551160981155e-09,0.0
1808,2.22075257738652e-07,2.2660739951163578e-09,0.0
1809,3.162642769893864e-07,0.0,0.0
1810,3.6739990605383355e-07,0.0,0.0
1811,1.7549537290051376e-07,0.0,0.0
1812,3.7340916492212273e-07,0.0,0.0
1813,2.6169249167651287e-07,0.0,0.0
1814,2.73760917934851e-07,0.0,6.293354282149721e-09
1815,3.317584855722089e-07,0.0,0.0
1816,4.472975376756949e-07,0.0,0.0
1817,3.7832023735973053e-07,0.0,0.0
1818,4.875761305811466e-07,0.0,0.0
1819,3.6539205439112266e-07,2.070210003424222e-09,0.0
1820,2.586892833278398e-07,0.0,0.0
1821,4.713791383892385e-07,0.0,9.86148829262845e-10
1822,5.032859462517081e-07,0.0,0.0
1823,3.6763594835065305e-07,0.0,0.0
1824,4.6231909323068976e-07,0.0,0.0
1825,3.8479785757772333e-07,0.0,0.0
1826,5.416910653366358e-07,0.0,0.0
1827,4.866720360041654e-07,1.8434546111834038e-09,0.0
1828,4.366015389223321e-07,4.586150570418113e-09,0.0
1829,8.213102660192817e-07,4.286587973467704e-09,8.57317605795771e-10
1830,6.366469733620761e-07,1.0436835840010872e-09,0.0
1831,3.1650148457629257e-07,0.0,0.0
1832,2.8683535902018775e-07,0.0,0.0
1833,3.8573483607251546e-07,0.0,0.0
1834,4.3312223851899034e-07,0.0,0.0
1835,4.900880981040245e-07,6.050470346963266e-09,0.0
1836,4.6910835749258695e-07,6.720750067579218e-10,0.0
1837,3.360661366968998e-07,0.0,0.0
1838,3.5853079793923825e-07,6.312161904276081e-10,0.0
1839,3.3978568581005675e-07,6.9914751765765e-10,0.0
1840,4.2422126966812357e-07,6.369688665408546e-10,0.0
1841,4.0000017520469555e-07,1.2841097074556274e-09,0.0
1842,4.4140384147794975e-07,6.708265054555795e-10,0.0
1843,4.459717786176043e-07,1.1813822142769936e-09,0.0
1844,6.421616944862762e-07,0.0,0.0
1845,4.475342905152502e-07,5.580227946389016e-10,0.0
1846,4.824108827961027e-07,5.854501328173001e-10,0.0
1847,4.56806048987346e-07,1.6179670936367074e-09,0.0
1848,4.666228505811887e-07,1.045878850192139e-08,0.0
1849,4.985751616004563e-07,0.0,0.0
1850,3.5166999623470474e-07,6.788996032014438e-10,0.0
1851,2.6571686362331093e-07,0.0,0.0
1852,3.9844539401201473e-07,0.0,0.0
1853,3.6428784255804203e-07,1.7915795513800958e-09,0.0
1854,4.463075811145245e-07,3.63696517347023e-09,0.0
1855,4.77093635709025e-07,7.960405667972736e-09,0.0
1856,4.354016027718899e-07,1.5531567143511893e-09,0.0
1857,3.8807996816103696e-07,0.0,0.0
1858,4.1106878256869095e-07,4.893676130990343e-09,0.0
1859,4.0177246773964725e-07,1.018434669930457e-09,0.0
