year,grands_ADJ ombres_NOUN,grands_ADJ nombres_NOUN
1800,3.144164484325529e-09,4.96778000069753e-07
1801,0.0,1.6906396638205479e-07
1802,0.0,1.1189200677108602e-07
1803,0.0,1.618781624301846e-07
1804,0.0,1.1123329102247226e-07
1805,0.0,8.52863308864471e-08
1806,0.0,6.339671898558663e-08
1807,0.0,1.708173016368164e-07
1808,0.0,1.0650547466184435e-07
1809,0.0,1.4683698168482806e-07
1810,0.0,3.416585059312638e-07
1811,0.0,1.8301660986708157e-07
1812,0.0,4.640942279365845e-07
1813,0.0,7.764502640839055e-08
1814,0.0,1.9824065589091333e-07
1815,0.0,4.5852800667489646e-08
1816,0.0,1.1819779643928996e-07
1817,0.0,4.981994905506326e-08
1818,0.0,8.225612191381515e-08
1819,0.0,1.9563483988349617e-07
1820,0.0,1.0798498095709874e-07
1821,0.0,1.2228245793721726e-07
1822,0.0,2.0753024898567674e-07
1823,0.0,5.0401702367253165e-08
1824,8.421112696055388e-10,4.463189640091514e-08
1825,0.0,5.811592274085342e-08
1826,0.0,1.3300056878051691e-07
1827,0.0,1.087638210606201e-07
1828,0.0,9.264024214417077e-08
1829,0.0,7.887322084343396e-08
1830,0.0,1.847319879288989e-07
1831,0.0,1.8241711075006606e-07
1832,0.0,5.141388470519814e-08
1833,1.1583628500844156e-09,1.0656938087549861e-07
1834,0.0,7.934351486937885e-08
1835,0.0,2.2386740283764084e-07
1836,0.0,2.3253795689015533e-07
1837,0.0,6.136859838079545e-07
1838,0.0,3.1371445174954715e-07
1839,1.3982950353153e-09,1.2654570014092315e-07
1840,0.0,2.0446699977583194e-07
1841,0.0,1.0208672307499e-07
1842,0.0,1.838064633830072e-07
1843,0.0,2.634482427765761e-07
1844,5.488561272137815e-10,1.1965063606567128e-07
1845,0.0,1.0714038012338278e-07
1846,0.0,1.609987805295532e-07
1847,0.0,1.8822350966729573e-07
1848,0.0,1.1746023886871626e-07
1849,0.0,1.6339859598701878e-07
1850,0.0,6.78899567674307e-08
1851,1.9348316282474798e-09,9.932135469625791e-08
1852,0.0,1.2695564066689258e-07
1853,0.0,1.540758347573501e-07
1854,0.0,2.675767234450177e-07
1855,0.0,1.937032010346229e-07
1856,0.0,1.418549828713367e-07
1857,0.0,1.2154957573784486e-07
1858,0.0,9.88522543821091e-08
1859,0.0,1.5632971894774528e-07
1860,0.0,1.0115576287716976e-07
1861,0.0,7.969978810251632e-08
1862,0.0,1.4096117695316934e-07
1863,0.0,1.4684185600799537e-07
1864,0.0,1.4815709903359675e-07
