year,ses_DET os_NOUN,ses_DET noces_NOUN
1800,8.552127290784028e-07,5.596612866476391e-07
1801,9.072305573454287e-07,5.000483529471467e-07
1802,7.563899941942509e-07,5.236545632669731e-07
1803,9.08858091008824e-07,4.622303997336985e-07
1804,9.689655620093163e-07,8.527885533293755e-07
1805,9.864785930346898e-07,6.481761185561652e-07
1806,8.443290759885258e-07,7.434706423836701e-07
1807,6.120953521815409e-07,5.039110577698125e-07
1808,6.752900318929278e-07,7.681990679131445e-07
1809,5.512034633170515e-07,3.975893605456804e-07
1810,6.248138575415396e-07,5.967323080113829e-07
1811,6.342904299572183e-07,7.922362499357405e-07
1812,9.948686425786946e-07,6.588004062280106e-07
1813,5.607696256237915e-07,8.425923212485031e-07
1814,6.167487032193719e-07,4.782949165615946e-07
1815,7.255531357941436e-07,3.614279528996178e-07
1816,7.50903652146917e-07,5.353665084584236e-07
1817,8.126879436076706e-07,5.246663334901314e-07
1818,9.513099641367262e-07,6.723543881648197e-07
1819,6.6246719043761e-07,6.531512485308255e-07
1820,8.342136208483453e-07,7.345351651366627e-07
1821,8.530187258770638e-07,6.478997844894252e-07
1822,9.664693578770311e-07,6.01536939370817e-07
1823,8.014859353977499e-07,6.581869591570921e-07
1824,1.1099026053784655e-06,4.934771951070616e-07
1825,1.1226939804487301e-06,6.586471137381977e-07
1826,8.552552621665654e-07,5.637110143119628e-07
1827,5.834533851611923e-07,5.456625760125178e-07
1828,9.906085551847355e-07,3.980778870982249e-07
1829,7.827309715935371e-07,5.624003525106502e-07
1830,8.088547573947835e-07,5.458465339724938e-07
1831,8.24774804897288e-07,3.9289839603995347e-07
1832,8.726830209582204e-07,6.345555902953492e-07
1833,1.0170425888134105e-06,4.204857060319256e-07
1834,1.210688665764792e-06,6.020772687076459e-07
1835,1.101941954573249e-06,5.952150203825113e-07
1836,1.413373730940748e-06,6.257018165811701e-07
1837,1.0075026182221336e-06,6.004659680591828e-07
1838,9.77753888520283e-07,5.011856472059151e-07
1839,7.389989367112548e-07,5.10377708984322e-07
1840,1.0427180185956786e-06,4.6689818278267126e-07
1841,9.784915988575449e-07,4.276085356913484e-07
1842,9.525736395232798e-07,5.084864964643998e-07
1843,9.8881692522923e-07,5.251243990755938e-07
1844,9.69828791497207e-07,5.104361835428506e-07
1845,9.413844423988849e-07,5.072427470276253e-07
1846,7.786486833083472e-07,5.222214998212849e-07
1847,7.000404274037919e-07,5.339291551109682e-07
1848,6.162640051599055e-07,4.963901574228657e-07
1849,7.960444108334741e-07,3.812633784239239e-07
1850,8.404777069870306e-07,4.0598197426078286e-07
1851,8.971169123128675e-07,4.39206782942847e-07
1852,6.705861785860634e-07,4.257896617509971e-07
1853,8.856375011134787e-07,4.789489291834315e-07
1854,9.284652158214612e-07,5.793166071299538e-07
1855,8.936882238685939e-07,5.896007060357533e-07
1856,8.381869101015127e-07,5.099531326102635e-07
1857,8.977095333762009e-07,4.447054835488018e-07
1858,8.16754530674757e-07,5.52985410962048e-07
1859,8.677063121353967e-07,4.893578544606925e-07
1860,7.30060826015233e-07,4.989130242272211e-07
1861,9.214993141881678e-07,5.050797193817402e-07
1862,8.828145059425196e-07,5.959223665641389e-07
1863,8.440909287088516e-07,4.27040088180064e-07
1864,9.690144935348144e-07,4.7276016879038707e-07
1865,8.444078716252079e-07,4.306762448891277e-07
1866,8.587806696880307e-07,4.262276836475287e-07
1867,9.987086322382766e-07,4.59561242394102e-07
1868,7.093659117884954e-07,4.3421491646711274e-07
1869,8.096875028229533e-07,4.614925708246176e-07
1870,8.297168356818929e-07,3.715663638992339e-07
1871,1.0047634111387538e-06,3.2925650561566044e-07
1872,7.565221338268202e-07,4.3722263098899816e-07
1873,6.63847885107316e-07,3.8729450202446003e-07
1874,6.6796130759883e-07,3.9253181949305826e-07
1875,6.368059501937751e-07,3.656055915790546e-07
1876,6.680846080797664e-07,5.26607889739239e-07
1877,6.716710103660262e-07,4.552024639448149e-07
1878,6.03304947333072e-07,5.163420708775845e-07
1879,6.976849711293198e-07,5.321222401599712e-07
1880,5.564272607117005e-07,4.839056009231513e-07
1881,4.929562908984053e-07,5.034150742933008e-07
1882,6.628763546956407e-07,4.978228356211645e-07
1883,6.104481347080082e-07,4.4045792435554176e-07
1884,5.558629077029309e-07,4.918264258080285e-07
1885,5.356323349303693e-07,4.3056845844269276e-07
