year,leurs_DET oies_NOUN,leurs_DET noix_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,2.3404069793286908e-08,7.411289004721766e-08
1804,4.943701892301533e-09,1.4831105232815389e-08
1805,5.685755422035754e-09,4.8328921309348516e-08
1806,0.0,2.305335300434308e-08
1807,2.8469551160981155e-09,2.8469550272802735e-08
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,3.6144488291256494e-08,3.840352036377226e-08
1810,1.1700633351097167e-08,1.6380887757350138e-08
1811,0.0,0.0
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,8.627225156487839e-09,8.627225156487839e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,3.7081662185300956e-08
1817,1.556873407970727e-09,0.0
1818,2.384235386898581e-08,0.0
1819,0.0,8.280840013696888e-09
1820,3.322614716694261e-08,1.542642635854463e-08
1821,1.2819934447350079e-08,1.7750679148775816e-08
1822,2.0051231786055723e-09,1.303330066093622e-08
1823,8.894418535021487e-09,7.906149512848515e-09
1824,1.431589158329416e-08,1.0947446504872005e-08
1825,7.924898959288385e-09,6.163809906922779e-09
1826,3.5231937367541377e-09,8.807984341885344e-10
1827,1.3825909306319772e-08,7.373818444733615e-09
1828,1.4675682002973645e-08,2.7516904310687096e-09
1829,3.3435387791769244e-08,5.143905745796928e-09
1830,2.0873671680021744e-09,1.6698937344017395e-08
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,5.411987746839486e-09,2.1647950987357945e-08
1833,3.4750886612755494e-09,3.8225974385852624e-08
1834,5.600718555598405e-09,1.120143711119681e-08
1835,0.0,1.1344631900556124e-08
1836,3.36037508930076e-09,1.4785650037651976e-08
1837,5.5663127440652715e-09,1.3219992656132717e-08
1838,1.3886756633496589e-08,9.468243300503332e-09
1839,9.788065469251706e-09,2.3771015822404706e-08
1840,0.0,9.554533164646273e-09
1841,3.852329122366882e-09,1.6051371787284552e-08
1842,0.0,9.391571076378114e-09
1843,1.7720733769266417e-09,1.358589513111852e-08
1844,5.488561272137815e-10,1.1525978393933656e-08
1845,6.138250796539069e-09,9.48638767539478e-09
1846,5.269050973311096e-09,1.4050803409659807e-08
1847,8.089835468183537e-09,3.235934187273415e-09
1848,2.172209789819135e-08,1.930853166243196e-08
1849,0.0,1.508294644736452e-08
1850,6.788996032014438e-10,6.1100964288129944e-09
1851,7.739326512989919e-09,3.2247193804124663e-09
1852,2.278690836021724e-08,1.3021090872200602e-08
1853,1.0749477752369785e-08,1.5527023222716707e-08
1854,6.754363734984281e-09,4.1565315633818045e-09
1855,4.2455496895854594e-09,1.539011762474729e-08
1856,3.6240324075009767e-09,1.2425253714809514e-08
1857,3.905207268672939e-09,1.122747050885664e-08
1858,7.34051397444091e-09,1.1744822003834088e-08
1859,2.036869339860914e-09,8.14747713739905e-09
1860,1.373155145145688e-09,1.373155145145688e-09
1861,1.8863854922557266e-09,5.187560159214399e-09
1862,1.0391368654438793e-08,8.584174260306554e-09
1863,2.9967726078439227e-09,2.4973103585068657e-09
1864,9.589456340108882e-09,1.4384183844029508e-09
1865,1.2237795665726026e-08,8.47231973466478e-09
1866,5.838735717134114e-09,1.216403244796993e-08
1867,9.7056229719783e-10,6.308654931785895e-09
1868,2.9639244392143382e-09,1.3831647383000245e-08
1869,4.883519366671862e-09,1.1720446280172325e-08
1870,4.587239033071455e-09,1.7202147262196377e-08
1871,4.248470908407853e-09,9.559059765962274e-09
1872,7.256807155187062e-09,9.675742651538144e-09
1873,3.591602570907071e-09,4.190203295451056e-09
1874,5.974609140757536e-10,2.3898437007119355e-08
1875,1.0298748520654044e-08,6.865832347102696e-09
1876,1.209202959984168e-09,9.673623679873344e-09
1877,3.0924081073635534e-09,1.1751150275074451e-08
1878,7.2469061862534545e-09,5.435179861734696e-09
1879,3.665595160740054e-09,1.588424591858484e-08
1880,6.417846254436199e-10,4.492492600149944e-09
1881,1.6036766581351003e-08,4.8807553554297556e-09
1882,9.983077475794744e-09,7.320923423037584e-09
1883,5.687405213450347e-09,4.423537092179686e-09
1884,9.902545450302114e-09,5.281357573494461e-09
1885,3.86738152613475e-09,1.160214413431504e-08
1886,5.808117542471791e-09,1.355227396970804e-08
1887,5.876032105334161e-09,1.3057849246322917e-09
1888,3.804368819970705e-09,2.53624587998047e-09
1889,6.265136853755848e-09,4.385595886446936e-09
1890,3.9326319978272295e-09,6.554386366985909e-09
1891,7.0116419337296065e-09,8.92390783491237e-09
1892,6.268512375839919e-09,1.8805537127519756e-09
1893,6.158416554491453e-10,3.695050043717174e-09
1894,4.411077725308132e-09,5.041231432301174e-09
1895,3.611168697403855e-09,3.611168697403855e-09
1896,3.5382172747233653e-09,1.179405795248556e-09
1897,8.740070001067579e-09,6.409385022720926e-09
1898,8.487532454637403e-09,1.4711722506888236e-08
1899,8.291367592505594e-09,8.291367592505594e-09
1900,7.26747462209687e-09,5.19105292084987e-09
1901,1.0059729937950124e-08,7.265360757457984e-09
1902,9.820567692386817e-10,7.856454153909453e-09
1903,7.020286574288548e-09,7.560307935250421e-09
1904,3.7622376325430196e-09,5.374625189347171e-09
1905,1.5482277682110634e-09,1.1353670226199597e-08
1906,7.716276506641861e-09,1.0802787109298606e-08
1907,1.1828539925318182e-08,3.0857059130084963e-09
1908,2.4556945366072114e-09,5.40252820258047e-09
1909,4.950885035270858e-09,8.801573692096554e-09
1910,1.6032452032632705e-09,6.947395991829808e-09
1911,4.788336838146279e-09,4.788336838146279e-09
1912,5.730363294986773e-09,1.041884239993962e-08
1913,9.545381374209683e-09,1.4318072061314524e-08
1914,7.366418142140674e-09,1.0714790221744153e-08
1915,8.246533234057551e-09,1.1780762143587253e-08
1916,3.2962386153911893e-09,1.538244731591476e-08
1917,2.1932848870420685e-09,6.57985488317081e-09
1918,1.1486376294556067e-09,8.040463406189247e-09
1919,1.3811772170413406e-08,5.524709134618888e-09
1920,3.028892692213958e-09,3.786115865267448e-09
1921,3.0290989716519334e-09,1.3630945261411398e-08
1922,3.6889677978990676e-09,2.87739485571592e-08
1923,1.3800733000834953e-08,5.307974060286824e-09
1924,3.867487219366694e-09,1.5469948877466777e-08
1925,9.898360353588487e-09,1.3197813508725176e-08
1926,3.343841648018042e-09,6.687683296036084e-09
1927,7.804457524684949e-09,6.689535148041159e-09
1928,2.2852082448565625e-09,5.713020723163709e-09
1929,4.4561625500705304e-09,1.2254447234738564e-08
1930,7.352522590764465e-09,1.1553964007759987e-08
1931,3.4216069977333063e-09,1.0264820993199919e-08
1932,4.383814644626227e-09,2.1919073223131136e-09
1933,2.2941324395731044e-09,3.4411986593596566e-09
1934,3.5944740517379614e-09,9.585264137967897e-09
1935,9.574627313213568e-09,1.3165112555668657e-08
1936,0.0,4.849885826274658e-09
1937,5.0364472592434595e-09,7.554670666820584e-09
1938,2.5930428915188486e-09,6.482607339819424e-09
1939,7.647025235257843e-09,3.058810094103137e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,8.854508237732261e-09,1.1806010391524069e-08
