year,mes_DET airs_NOUN,mes_DET nerfs_NOUN
1800,9.432493452976587e-09,8.803660733747165e-08
1801,3.333655596016172e-08,1.0000966921275278e-07
1802,2.2378401354217203e-08,5.370816325012129e-08
1803,3.1205427575287104e-08,1.2872239096850535e-07
1804,5.19088700912107e-08,1.9774808057704263e-07
1805,1.7057266488151868e-08,1.307723724863763e-07
1806,8.068673551520078e-08,8.933174200365102e-08
1807,0.0,8.825560815495237e-08
1808,6.798222074166915e-08,6.798221763304468e-08
1809,1.1295152813062259e-08,7.454800510231507e-08
1810,6.552354792077608e-08,1.263668423234776e-07
1811,5.515568801683912e-08,4.512738271955641e-08
1812,1.0668832928217853e-08,7.20146218213813e-08
1813,4.313612333994854e-08,1.4666282766029326e-07
1814,2.5173417128598885e-08,8.496028414128887e-08
1815,1.0788894222457657e-08,6.203614244526534e-08
1816,1.8540831092650478e-08,1.2283301309423678e-07
1817,1.5568733857662664e-08,6.071806135654612e-08
1818,0.0,2.4438412293825706e-07
1819,4.140420006848444e-09,6.728182566639873e-08
1820,3.678609061807947e-08,7.475882934926403e-08
1821,2.465372084259343e-08,1.272131981977509e-07
1822,1.0025615893027862e-08,1.4336630727029842e-07
1823,2.9648061450338048e-08,1.2056878340160893e-07
1824,2.6105450245950124e-08,9.515857257724747e-08
1825,1.496925317034936e-08,1.2415674977006574e-07
1826,1.76159691278599e-08,1.3123896858147077e-07
1827,1.3825909916942436e-08,4.1477727363847805e-08
1828,2.2013523448549677e-08,7.154394854325119e-08
1829,2.0575622983187714e-08,1.2259641835044022e-07
1830,2.2961039292113128e-08,1.408972893912619e-07
1831,9.354723218280014e-09,2.1515864090382308e-07
1832,2.5706942574643676e-08,2.8007036334543045e-07
1833,2.548398292390175e-08,1.4942880888213494e-07
1834,5.600718555598405e-09,1.6615464581981598e-07
1835,1.663879345414898e-08,1.2932879656091245e-07
1836,2.419469957715137e-08,8.66976779256845e-08
1837,7.653680356156656e-09,1.3498308604198428e-07
1838,1.7042836475411605e-08,8.963270214934482e-08
1839,6.9914749545318955e-09,6.711816191717901e-08
1840,3.184844388215424e-08,7.643626265263492e-08
1841,1.733548060656176e-08,1.2455864162319585e-07
1842,7.379091560011375e-09,1.5496092942157702e-07
1843,2.4218335781256428e-08,8.505952125981153e-08
