year,devais_VERB être_VERB,devais_VERB etre_VERB,devais_VERB naître_VERB
1800,2.2323567350213125e-07,0.0,0.0
1801,1.3572740442668874e-07,0.0,0.0
1802,1.656001700212073e-07,0.0,2.2378401354217203e-09
1803,1.1507001573818343e-07,0.0,1.950339223455444e-09
1804,2.2988213288499537e-07,0.0,0.0
1805,1.3645812657614442e-07,0.0,2.842877711017877e-09
1806,1.7578182109900808e-07,0.0,1.152667650217154e-08
1807,1.4804166426074516e-07,0.0,2.8469551160981155e-09
1808,8.837688625362716e-08,0.0,0.0
1809,1.4683698168482806e-07,0.0,0.0
1810,1.4508785284306214e-07,0.0,0.0
1811,1.8803075363393873e-07,0.0,1.2535384286138651e-08
1812,1.7870294755084615e-07,0.0,2.400487453257938e-08
1813,1.3803560250380542e-07,0.0,5.751483289628823e-09
1814,1.9194730782601255e-07,0.0,0.0
1815,1.780167480092132e-07,0.0,0.0
1816,1.9931393069327896e-07,0.0,0.0
1817,2.0706416137272754e-07,0.0,0.0
1818,2.5988165930357354e-07,1.1921177378582115e-09,4.768470951432846e-09
1819,1.490551255756145e-07,0.0,3.1053151161586356e-09
1820,3.085285129600379e-07,0.0,9.493184904840746e-09
1821,3.4515210245444905e-07,0.0,0.0
1822,3.348555708271306e-07,0.0,0.0
1823,4.160611126735603e-07,0.0,3.9530747564242574e-09
1824,3.890554012286884e-07,0.0,4.210556348027694e-09
1825,3.213986587979889e-07,0.0,8.805443041381977e-10
1826,2.88901873091163e-07,0.0,1.4092774947016551e-08
1827,2.7098784016743593e-07,0.0,9.217273166939322e-09
1828,2.7700349392034695e-07,0.0,1.2841221419535032e-08
1829,3.0263311145972693e-07,8.57317605795771e-10,6.858540846366168e-09
1830,5.051428502156341e-07,0.0,0.0
1831,2.4166368461919774e-07,0.0,4.677361609140007e-09
1832,4.559599631193123e-07,0.0,4.058990921151917e-09
1833,4.552366021925991e-07,0.0,1.3900354645102198e-08
1834,4.5459165676220437e-07,9.334530925997342e-10,5.600718555598405e-09
1835,4.09919380217616e-07,7.563087933704082e-10,5.294161553592858e-09
1836,2.863039583189675e-07,0.0,1.3441500135158435e-09
1837,3.2423770335299196e-07,0.0,2.7831563720326358e-09
1838,2.1208863643096265e-07,0.0,8.837027110075724e-09
1839,2.0275278700410126e-07,0.0,3.4957374772659477e-09
1840,3.363195730798907e-07,0.0,1.2739377330817092e-09
1841,3.0947043683227093e-07,6.420548537278137e-10,1.2841097074556274e-09
1842,2.884553964577208e-07,1.341653010911159e-09,2.683306021822318e-09
1843,2.5931339564522204e-07,0.0,5.31621990873532e-09
1844,2.206401603643826e-07,1.097712254427563e-09,4.390849017710252e-09
1845,2.896138369123946e-07,0.0,5.580227946389016e-10
1846,2.728197614487726e-07,0.0,1.1709002656346001e-09
1847,2.691218696782016e-07,0.0,0.0
1848,2.550335409523541e-07,0.0,8.045221711050488e-10
1849,3.1171424552667304e-07,0.0,8.379414939696517e-10
1850,2.2471576244242897e-07,0.0,2.7155984128057753e-09
