year,deux_DET oeufs_NOUN,deux_DET noeuds_NOUN
1800,1.792173778270012e-07,6.288328968651058e-09
1801,1.5239568051939045e-07,1.6668277424969347e-08
1802,1.1636768704192946e-07,5.594600338554301e-08
1803,7.118738443168127e-07,5.655983770225248e-08
1804,1.8786066657838774e-07,3.707776552452913e-08
1805,2.5585899399160894e-08,5.685755422035754e-09
1806,2.305335300434308e-08,0.0
1807,3.701041606518629e-08,2.8469551160981155e-09
1808,3.3991110370834576e-08,2.4926813058101516e-08
1809,2.710836710662079e-08,1.3554183553310395e-08
1810,2.8081521108447305e-08,1.4040760554223652e-08
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,4.3136124450171565e-08,1.1502966579257645e-08
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,4.0458352890127e-08,8.091670444798638e-09
1816,1.622322720606917e-08,0.0
1817,9.029865566390072e-08,1.2454987263765815e-08
1818,1.2517236314124602e-07,1.0729059418679299e-08
1819,4.140420006848444e-09,7.24573512300708e-09
1820,2.3732963150280284e-08,1.0679833017945839e-08
1821,1.7750679148775816e-08,1.0847637454958203e-08
1822,1.1028177482330648e-08,2.3058916553964082e-08
1823,4.644862983127496e-08,9.882686891060644e-10
1824,1.0947446504872005e-08,4.210556348027694e-09
1825,2.905796137042671e-08,7.924898959288385e-09
1826,2.9947145208097936e-08,2.642395191543301e-09
1827,1.3825909916942436e-08,4.608636583469661e-09
1828,1.9261833017480967e-08,2.7516904310687096e-09
1829,1.2002446148073886e-08,1.1145129263923081e-08
1830,1.2524203230057651e-08,2.0873671680021744e-09
1831,2.494592976631793e-08,1.870944643656003e-08
1832,5.411987746839486e-09,2.705993873419743e-09
1833,1.7375443306377747e-08,2.3167257001688313e-09
1834,1.120143711119681e-08,3.733812370398937e-09
1835,2.3445572594482655e-08,2.2689263801112247e-09
1836,1.7473950453261722e-08,2.016224964762614e-09
1837,9.74104708006962e-09,1.530736071231331e-08
1838,1.009945904684173e-08,3.787297142565649e-09
1839,1.5381245721535208e-08,6.9914749545318955e-09
1840,1.7198159785181133e-08,4.458782232319436e-09
1841,1.4767261635739715e-08,3.852329122366882e-09
1842,1.0062397581833693e-08,2.683306021822318e-09
1843,7.088293230150811e-09,1.7720733769266417e-09
1844,1.591682791124427e-08,3.293136707771538e-09
1845,6.696273757711424e-09,6.696273757711424e-09
1846,1.1123552079439492e-08,1.7563503984519002e-09
1847,7.011190739092399e-09,2.6966118227278457e-09
1848,1.0458788002321029e-08,3.218088684420195e-09
1849,1.5920887719289567e-08,4.1897072478036534e-09
1850,1.5614690873633208e-08,2.308258650884909e-08
1851,1.3543821175687754e-08,5.159551008659946e-09
1852,2.6042181744401205e-09,1.9531636308300904e-09
1853,1.4332635966951557e-08,5.3747388761848924e-09
1854,6.754363734984281e-09,6.754363734984281e-09
1855,7.960405667972736e-09,2.1227748447927297e-09
1856,8.28350277259915e-09,4.659470143053568e-09
1857,6.345961978126979e-09,1.4644527812635033e-09
1858,1.1744822003834088e-08,4.893676019968041e-10
1859,3.5645213447565993e-09,2.5460866748261424e-09
1860,5.034902272882391e-09,1.373155145145688e-09
1861,5.187559992680946e-09,9.431927461278633e-10
1862,3.6595690033891515e-08,0.0
1863,1.148762801550518e-08,4.994620828036034e-10
1864,7.1920918109924514e-09,1.4384183844029508e-09
1865,6.118897832863013e-09,1.4120533631256649e-09
1866,3.8924903300596725e-09,1.3623716377253459e-08
1867,9.7056229719783e-10,3.396968040192405e-09
1868,9.385760613156435e-09,9.87974813071446e-10
1869,3.4184632902167778e-09,2.441759683335931e-09
1870,5.160643912205387e-09,2.8670243956696595e-09
1871,4.248470908407853e-09,3.18635318130589e-09
1872,9.071008721939222e-09,7.861540973763681e-09
1873,6.58460502789282e-09,5.9860045809045914e-09
1874,9.559374625212058e-09,6.572069999322139e-09
1875,6.293679688518239e-09,5.721527251978387e-09
1876,5.441413541973361e-09,1.813804439976252e-09
1877,8.658742389755503e-09,2.4739263970730008e-09
1878,1.8117265465633636e-09,3.623453259660181e-09
1879,9.163987568783227e-09,1.832797580370027e-09
1880,6.417846032391594e-09,8.343199908722454e-09
1881,8.367009307619355e-09,6.9725074602899895e-09
1882,3.9932310791357395e-09,0.0
1883,7.583206618200222e-09,4.423537092179686e-09
1884,5.281357573494461e-09,3.300848483434038e-09
1885,1.0957580676151935e-08,1.933690763067375e-09
1886,7.744156427236248e-09,1.936039106809062e-09
1887,3.9173548849191775e-09,3.9173548849191775e-09
1888,7.60873763994141e-09,3.804368819970705e-09
1889,8.14467782106476e-09,1.8795409673089125e-09
1890,1.245333464128251e-08,1.3108772956016423e-09
1891,5.099376032546843e-09,4.461953806433883e-09
1892,1.002961980134387e-08,5.641661360300532e-09
1893,2.0938616618337846e-08,3.695050043717174e-09
1894,1.1972924207626079e-08,5.671385139294216e-09
1895,7.22233739480771e-09,2.4074457982692365e-09
1896,6.486731873867058e-09,2.358811590497112e-09
1897,7.574727511894253e-09,5.826713334045053e-09
1898,7.921696743018458e-09,2.8291773368493978e-09
1899,1.3818945987509323e-08,2.7637891975018647e-09
1900,1.3496738171525635e-08,1.5573159317661123e-08
1901,6.14761275219422e-09,6.706486921359556e-09
1902,1.276673833316977e-08,4.910283735171106e-09
1903,7.560308379339631e-09,2.1600881083827517e-09
1904,5.374625189347171e-09,6.987012746151322e-09
1905,1.8062656703676794e-08,5.160758931310738e-09
1906,7.201858387428928e-09,1.5432553013283723e-09
1907,1.3371392937333582e-08,4.6285588695127444e-09
1908,1.3260750053589732e-08,1.817213934884876e-08
1909,1.3202360427122528e-08,2.2003934230241384e-09
1910,1.0153886287334046e-08,3.206490406526541e-09
1911,2.3409646110472693e-08,3.1922244847493175e-09
1912,1.458637982620914e-08,3.646594803896619e-09
1913,1.007568034561146e-08,2.121195885607108e-09
1914,1.3393487763302403e-08,5.357394972094198e-09
1915,3.534228543156104e-08,1.295883844676382e-08
1916,4.394984820521586e-09,0.0
1917,8.773139548168274e-09,6.57985488317081e-09
1918,1.1486376294556067e-08,9.189101035644853e-09
1919,1.012863304339362e-08,2.762354434082681e-08
1920,8.329454903588385e-09,4.543339038320937e-09
1921,1.287367074054302e-08,3.7863738810983705e-09
1922,1.4018077698629838e-08,5.902348387820666e-09
1923,2.5478275045287546e-08,5.307974060286824e-09
1924,2.7072411756812187e-08,1.289162443462999e-09
1925,2.0896537389347714e-08,8.798542339150117e-09
1926,3.1209186346359274e-08,5.573069228326233e-09
1927,2.3413372574054847e-08,7.804457635707251e-09
1928,1.3711249802206282e-08,6.8556245125250825e-09
1929,2.2280812750352652e-08,1.0026365515614089e-08
1930,2.100720719599991e-08,9.453243521306831e-09
1931,1.9389106320488736e-08,5.7026783295555106e-09
1932,1.7535258800549514e-08,6.575721855917038e-09
1933,4.588264879146209e-09,3.4411986593596566e-09
1934,1.0783422155213884e-08,4.7926320689839486e-09
1935,8.377798899061872e-09,3.4708024898577605e-08
1936,8.487299751891442e-09,1.091224355320719e-08
1937,1.3850230295986421e-08,1.3850230295986421e-08
1938,1.555825723809079e-08,9.075650453382877e-09
1939,1.070583532936098e-08,4.588215141154706e-09
1940,2.2822046474857416e-08,2.2822046474857416e-08
1941,1.4757512545315876e-08,1.1806010391524069e-08
1942,9.102635312174812e-09,9.102635090130207e-09
1943,1.161294105322952e-08,2.9032352077962287e-09
1944,6.4263723231761105e-09,1.2852744646352221e-08
1945,1.9606536838523425e-08,0.0
1946,1.8097434661967782e-08,4.1763312808029696e-09
1947,1.1920871401116528e-08,1.1920871401116528e-08
1948,3.479004129225416e-08,1.195907639583993e-08
1949,1.7670614971265763e-08,5.890205101444224e-09
1950,1.3825970146541522e-08,1.0635361036293034e-08
1951,2.8785785421980847e-08,1.2793682557799002e-08
1952,2.9525451195056007e-08,4.74516177462192e-08
1953,2.2625037843226892e-08,9.69644453618912e-09
1954,2.1499579672124014e-08,1.3681550781186047e-08
1955,1.407841221379158e-08,1.1262729415761896e-08
1956,2.8779767902165077e-08,6.976913269340912e-09
1957,2.650511243817988e-08,7.951533931294108e-09
1958,2.2335057803246627e-08,1.5717262880077243e-08
1959,1.4726421193600459e-08,1.9376869220266713e-08
1960,2.0762499552962055e-08,1.2457500420115508e-08
1961,1.8760030306985698e-08,2.2234108942864594e-08
1962,1.7123282014530616e-08,1.7123282014530616e-08
1963,1.6165133009948818e-08,1.681173777967615e-08
1964,1.3384730435106462e-08,2.1902286206909594e-08
1965,8.755269675919664e-09,8.20806533852192e-09
1966,1.1632056873267516e-08,1.163205709531212e-08
1967,1.5284040255636455e-08,1.5284040699725665e-08
1968,1.1228539820162808e-08,1.1677681044375277e-08
1969,8.175164045720607e-09,8.175163657142548e-09
1970,1.9314645188783786e-08,2.2993624781975086e-08
1971,1.2332154297745035e-08,1.3873672877195986e-08
1972,2.0520588228656322e-08,1.4877425846826497e-08
1973,1.8744892527067236e-08,2.811733956775697e-08
1974,1.63141580800108e-08,1.3501371631807757e-08
1975,2.056132863970106e-08,3.084199162728396e-08
1976,1.656922776760439e-08,2.056869691235974e-08
1977,3.2322300835829765e-08,1.5867311742301382e-08
1978,2.851483826837864e-08,1.7227714366185864e-08
1979,1.4044735929807928e-08,2.808947208166046e-08
1980,2.103505747363954e-08,1.705545149555121e-08
1981,1.707898356073656e-08,2.9097527165511394e-08
1982,2.0484757001781873e-08,3.97280133235256e-08
1983,1.9577480414589843e-08,2.2103606056589342e-08
1984,3.0154843622121064e-08,2.667543874679268e-08
1985,3.729645892125433e-08,2.1656008208914557e-08
