year,deux_DET aînés_NOUN
1800,6.288328968651058e-09
1801,2.1430643926123594e-08
1802,2.2378401354217203e-09
1803,7.801356893821776e-09
1804,2.4718509461507665e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,1.7081731584767113e-08
1808,9.064295980465431e-09
1809,9.036122072814123e-09
1810,4.680253518074551e-09
1811,5.0141535368197765e-09
1812,1.3336041604361526e-08
1813,1.4378708002027452e-08
1814,6.293354282149721e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,2.1796227045456362e-08
1818,2.384235475716423e-09
1819,5.175524897538253e-09
1820,1.1866481131050932e-09
1821,2.5639868894700157e-08
1822,1.2030739071633434e-08
1823,2.3718449426723964e-08
1824,1.0105335235266466e-08
1825,6.163809906922779e-09
1826,4.403992170942672e-09
1827,7.373818444733615e-09
1828,4.586150570418113e-09
1829,6.858540846366168e-09
1830,1.878630406793036e-08
1831,0.0
1832,4.058990921151917e-09
1833,6.950177322551099e-09
1834,9.334530925997342e-10
1835,9.832014313815307e-09
1836,8.064899859050456e-09
1837,2.0873671680021744e-09
1838,1.009945904684173e-08
1839,1.3982950131108396e-08
1840,2.5478754661634184e-09
1841,3.2102742686390684e-09
1842,4.695785538189057e-09
1843,6.497602011990011e-09
1844,1.2074834465636286e-08
1845,3.9061593959388574e-09
1846,2.9272506640865004e-09
1847,5.9325460100012606e-09
1848,3.218088684420195e-09
1849,1.0893239199560867e-08
1850,1.3577992064028876e-09
1851,1.9348316282474798e-09
1852,5.208436348880241e-09
1853,4.777545470346922e-09
1854,2.1302223984775992e-08
1855,2.1227748447927297e-09
1856,2.5885946719483854e-09
1857,5.857811125054013e-09
1858,7.829881631948865e-09
1859,0.0
1860,1.8308735638683515e-09
1861,8.960331143725853e-09
1862,9.939570055905733e-09
1863,9.489779628779615e-09
1864,6.233146443435089e-09
1865,3.765475486972036e-09
1866,9.731225603104576e-09
1867,1.261730986357179e-08
1868,1.0867722721741302e-08
1869,4.395167341186834e-09
1870,8.601073631098188e-09
1871,1.3807530230280918e-08
1872,7.861540751719076e-09
1873,8.380406590902112e-09
1874,4.182226565063729e-09
1875,4.577221712764867e-09
1876,1.209202959984168e-09
1877,1.4843558382438005e-08
1878,1.0870359723469392e-08
1879,1.832797580370027e-09
1880,4.492492600149944e-09
1881,2.091752326904839e-09
1882,9.983077475794744e-09
1883,5.687405213450347e-09
1884,4.621187876807653e-09
1885,5.1565086089944145e-09
1886,1.0325542199041138e-08
1887,5.876032105334161e-09
1888,6.340614699951175e-09
1889,6.891650528029203e-09
1890,4.5880703680722945e-09
1891,8.286486163910922e-09
1892,1.0656471260972467e-08
1893,1.2316833108982905e-09
1894,1.2603078580752936e-09
1895,9.027921521465032e-09
1896,8.255840455717589e-09
1897,1.7480140668268973e-09
1898,1.7540900287826844e-08
1899,7.185851913504848e-09
1900,9.863001082521805e-09
1901,1.0618603774048552e-08
1902,3.928227076954727e-09
1903,5.400220270956879e-09
1904,2.6873125946735854e-09
1905,5.676835002077496e-09
1906,9.773950537805831e-09
1907,8.228549397415463e-09
1908,1.5225305460830896e-08
1909,4.950885035270858e-09
1910,5.34415089958884e-09
1911,1.276889793899727e-08
1912,1.1460726589973547e-08
1913,5.833288518886093e-09
1914,7.36641797560722e-09
1915,9.424609537234119e-09
1916,0.0
1917,2.1932848870420685e-09
1918,1.1486376294556067e-09
1919,7.366278809151083e-09
1920,3.786115865267448e-09
1921,1.2873671018098776e-08
1922,1.549366501762961e-08
1923,3.1847844361720945e-09
1924,1.5469949321555987e-08
1925,7.698724324711748e-09
1926,1.0031524944054127e-08
1927,1.783875902550136e-08
1928,1.3711249469139375e-08
1929,8.912325322185666e-09
1930,1.2604324362008867e-08
1931,7.983749661377715e-09
1932,6.575722188983946e-09
1933,8.02946331646126e-09
1934,4.7926320689839486e-09
1935,9.574627313213568e-09
1936,1.2124714565686645e-08
