year,dix_DET oies_NOUN,dix_DET noix_NOUN
1800,0.0,2.515331676278265e-08
1801,7.143547975374531e-09,1.4287095506659853e-08
1802,3.1329761895904085e-08,4.0281122437590966e-08
1803,1.950339267864365e-08,4.290746247193056e-08
1804,0.0,2.9662210465630778e-08
1805,2.842877755426798e-08,5.685755422035754e-09
1806,0.0,2.0171683878800195e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,0.0,1.3596443970698147e-08
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,1.2535384286138651e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,1.71256075987003e-08
1818,1.668964877410417e-08,0.0
1819,0.0,0.0
1820,0.0,5.933240565525466e-09
1821,0.0,1.3806083387635226e-08
1822,6.015369535816717e-09,0.0
1823,1.9765373782121287e-09,5.929612356680991e-09
1824,0.0,0.0
1825,1.7610886082763955e-09,1.7610886082763955e-09
1826,8.807984341885344e-10,6.1655889282974385e-09
1827,9.217273055917019e-10,4.608636583469661e-09
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,0.0,1.3717081692732336e-08
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0
1832,0.0,6.764984572527055e-09
1833,1.1583628500844156e-09,4.6334514003376626e-09
1834,0.0,9.334530925997342e-10
1835,5.294161553592858e-09,3.781543966852041e-09
1836,1.3441500135158435e-09,2.016224964762614e-09
1837,2.7831562610103333e-09,6.957890930081589e-10
1838,6.312161904276081e-10,0.0
1839,7.690622361167243e-09,2.7965900706306e-09
1840,5.095750932326837e-09,0.0
1841,0.0,0.0
1842,0.0,2.683306021822318e-09
1843,5.906911071384968e-10,5.906911071384968e-10
1844,6.586273748609983e-09,1.097712254427563e-09
1845,1.0602433153650281e-08,1.1160455892778032e-09
1846,1.1709002656346001e-09,0.0
1847,0.0,1.6179670936367074e-09
1848,2.413566457803995e-09,0.0
1849,0.0,2.513824481908955e-09
1850,0.0,1.3577992064028876e-09
1851,0.0,3.8696632564949596e-09
1852,0.0,3.2552727180501506e-09
1853,0.0,5.3747388761848924e-09
1854,1.558699391779328e-09,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,4.881509085841174e-10,0.0
1858,0.0,4.893676019968041e-10
1859,1.5276520048956854e-09,5.092173349652285e-10
1860,9.154367819341758e-10,0.0
1861,0.0,0.0
1862,0.0,3.614389121331385e-09
1863,2.9967726078439227e-09,9.989241656072068e-10
1864,4.794727948009836e-10,4.794727948009836e-10
1865,1.4120533631256649e-09,0.0
1866,0.0,1.4596839292835284e-09
1867,9.7056229719783e-10,1.455843445796745e-09
1868,3.951899252285784e-09,4.93987406535723e-10
1869,3.906815315701806e-09,0.0
1870,0.0,1.7202146374017957e-09
1871,4.248470908407853e-09,5.310588635509816e-09
1872,6.047339295989218e-10,0.0
1873,4.788803575905831e-09,2.3944017879529156e-09
1874,0.0,0.0
1875,0.0,0.0
1876,1.209202959984168e-09,6.04601479992084e-10
